,Predictions_prob_1,Predictions_prob_0,text,uncertainty,already_annotated,already_sampled,drawn,speech_par_id,oscar_label,yuchen_label,final_code
93,0.422872395,0.577127605,"It is especially exciting for me because the budget adopts my program to continue our advances in education. And it is a fitting tribute to Senator Claiborne Pell's last session of Congress because--and I don't think he knows this yet--the budget we agreed to last night contains the biggest increase in Pell Grant scholarships in twenty years. The budget will put 40,000 more young children in Head Start. The budget fully funds our commitment to the technological literacy initiative which will connect every classroom in every school in America to the Information Superhighway by the year 2000. It protects our environment by funding clean air, clean water and safe food. It recognizes that we are both a nation of immigrants and a nation of laws. It builds on our approach to combat illegal immigration at the borders, in the workplace and in the criminal justice system. But it does so without hurting innocent children or punishing legal immigrants. Thank goodness we have turned that around.",0.154255209,FALSE,NA,uncertainty,3235_7,inclusive,exclusionary,inclusive
101,0.723431651,0.276568349,"So, terrible. Hillary and President Obama refused to use the term radical Islamic terrorism. Big problem. Big problem. Hillary wants to release violent criminals and criminal offenders from prison, that's wonderful, enjoy yourselves. I want to work with our police. Our police are so incredible, they're not getting the respect they deserve.",0.446863303,FALSE,NA,uncertainty,2016-08-09-north-carolina-wilmington_126,exclusionary,neither,exclusionary
105,0.328812895,0.671187105,"Secondly, it has the second- or third-highest aggravated assault rate, and everybody knows that the kind of law and order that Mr. Wallace talks about is repression.  That it has nothing to do with justice.  And the whole question of law and order is not only the matter of equal protection of the laws, the equal enforcement of the laws, vigorous enforcement of the laws, but also, may I say, a vigorous push for social justice in this country so that people will have some reason to observe the law and to love the law and to love their country.  The two go together, civil order and civil justice insofar as this candidate is concerned.",0.34237421,FALSE,NA,uncertainty,2118_56,exclusionary,inclusive,inclusive
109,0.398405947,0.601594053,"Today's news shows that we are on the right track, but we have so much more to do. Crime and violence in our country are still too high. Even juvenile crime is starting to go down, but it's still too high. We've taken a special, aggressive effort to deal with the problems of domestic violence and violence against women, but there is still too much of it. There is too much killing, too much violence, too much gang-related criminal activity.",0.203188105,FALSE,NA,uncertainty,3249_6,exclusionary,neither,neither
110,0.811663593,0.188336407,"And yet look what has happened to order in the United States. Look what has happened in terms of that phrase """"law and order,"""" and let me meet that issue very frontally. I hear it said that we must not use the words """"law and order"""" in our speeches, that that's a code word for racism. I couldn't disagree more. My friends, every American has an interest in seeing that the first civil right of every American is protected, and that's the right to be free from domestic violence, and let's protect that right in the United States of America.",0.623327187,FALSE,NA,uncertainty,2163_32,neither,inclusive,exclusionary
115,0.000283636,0.999716364,"Two Saturdays ago, in Washington D.C, Kitty and I joined Jesse Jackson and thousands of Americans in the twenty-fifth anniversary of the March on Washington for Jobs and Freedom. We came together at the Lincoln Memorial in 1988 to remind ourselves and the nation that while America has made great progress in the last quarter century, we have miles to go before we fulfill the dream of equal opportunity for every American. The march for jobs and freedom is not over.  We as a nation have to march on.",0.999432727,FALSE,FALSE,random,2893_7,inclusive,neither,inclusive
116,0.113559136,0.886440864,"But perhaps on no other issue is the dividing line so clear, on no other issue is my opponent's philosophy so completely at odds with mine, and I would say with the commonsense attitudes of the American people, than on the issue of crime. Let's talk common sense for a moment. I believe that the first priority of our law enforcement system must be the peace of our neighborhoods and the safety of ordinary law-abiding citizens.",0.772881728,FALSE,NA,uncertainty,2970_2,exclusionary,neither,neither
125,0.123793193,0.876206807,"As your President, I will do everything in my power to protect our LGBTQ citizens from the violence and oppression of a hateful foreign ideology – beleive me. And as a Republican, it is so nice to hear you cheering for what I just said. Thank you.",0.752413613,FALSE,NA,uncertainty,2016-07-21-national-convention-cleveland_39,exclusionary,inclusive,inclusive
130,0.73623088,0.26376912,"She supports the high taxes and radical regulation that forced jobs out of your community…and the crime policies that have made you less safe…and the immigration policies that have strained local budgets...and the trade deals like NAFTA, signed by her husband, that have shipped your jobs to Mexico and other countries… and she supports the education policies that deny your students choice, freedom and opportunity. She is the candidate of the past. Ours is the campaign of the future.",0.472461759,FALSE,NA,uncertainty,2016-08-08-economic-club-1_5,exclusionary,neither,neither
140,0.506348693,0.493651307,"On crime--we're putting 100,000 police on the streets. We made three strikes and you're out the law of the land. We stopped 60,000 felons, fugitives and stalkers from getting handguns under the Brady Bill. We banned assault rifles. We supported tougher punishment and prevention programs to keep our children from drugs and gangs and violence. Four years now--for four years now the crime rate in America has gone down.",0.012697387,FALSE,NA,uncertainty,3190_9,exclusionary,neither,neither
141,0.48005373,0.51994627,"But, tonight, I want to speak with you frankly about achieving peace here at home.  For this is a time for some straight talk on the issue of crime and violence and riots. Every American has a right to life--to live in safety--free from coercion, threats of violence.  And, all my life I have worked to assure every American the right to live in safety and to make the most of himself.",0.039892539,FALSE,NA,uncertainty,2060_1,exclusionary,neither,exclusionary
143,0.655479692,0.344520308,"I want to tell you why. We have to remember that every person in America, white Americans, black Americans, are interested in the first civil right of every American, and that's to be free from domestic violence. Law and order is something that we all need and that we all want. And I think we have to understand that right off the bat. I think we have to understand, too, if I may go further, that when we talk about law and order being a code word for racism, that those who have suffered most, suffered the most from the riots, from organized crime, are the poor and those who live in the ghettos of our great cities.",0.310959385,FALSE,NA,uncertainty,2172_15,exclusionary,inclusive,exclusionary
148,0.446599443,0.553400557,"Let me begin by thanking the law enforcement officers here in this city, and across this country, for their service and sacrifice in difficult times. The violence, riots and destruction that have taken place in Milwaukee is an assault on the right of all citizens to live in security and peace. Law and order must be restored. It must be restored for the sake of all, but most especially the sake of those living in the affected communities.",0.106801115,FALSE,NA,uncertainty,2016-08-16-west-bend-wisconsin_2,exclusionary,neither,exclusionary
149,0.384519534,0.615480466,"And what it is, is a lack of respect for our nation, it's a lack of respect for our leadership. To all the great men and women of law enforcement I want you to know, we're with you, we support you and we will stand by you. We will restore law order and justice in America—justice.",0.230960933,FALSE,NA,uncertainty,2016-11-02-amphitheater-miami-florida_48,exclusionary,neither,exclusionary
154,0.831747788,0.168252212,"Thank you. But if we're going to make our immigration system work, then we have to be prepared to talk honestly and without fear about these important and very sensitive issues. For instance, we have to listen to the concerns that working people, our forgotten working people, have over the record pace of immigration and it's impact on their jobs, wages, housing, schools, tax bills and general living conditions.",0.663495575,FALSE,NA,uncertainty,2016-08-31-center-phoenix-arizona_10,neither,exclusionary,exclusionary
160,0.877678566,0.122321434,"So my hope is, is that after the election—when the number-one goal is no longer beating me, but hopefully, the number-one goal is solving the country's problems—if they have seen that people who care about this issue have turned out in strong numbers, that they will rethink it, if not because it's the right thing to do, at least because it's in their political interest to do so. Enforcement of Immigration Laws/Immigration Reform Ms. Salinas. Mr. President, you have been the President who has made the largest number of deportations in modern history, more than 1.5 million so far. You've separated many families. There are more than 5,000 children who are American citizens in foster care and in the adoption process. Would you just—since you've granted deferred action, would you like to do something—consider doing something similar to other groups of noncriminal undocumented immigrants such as the parents of U.S.-born children?",0.755357132,FALSE,NA,uncertainty,2012-09-20-question-and-answer_29,inclusive,neither,inclusive
163,0.307810558,0.692189442,"Likewise, our education reforms will help parents send their kids to a school of their choice. We will also give our police and law enforcement the funds and support they need to restore law and order to this country. Without security, there can be no prosperity. We must have law and order.",0.384378883,FALSE,NA,uncertainty,2016-08-08-economic-club-1_50,exclusionary,neither,exclusionary
185,0.140739095,0.859260905,"Hillary Clinton is the ringleader of a criminal enterprise that has corrupted our government at the highest levels, and the American people have one chance to stop it – by sending in your ballots. We are also going to fix our inner cities 45% of African-American children under the age of six live in poverty.",0.71852181,FALSE,NA,uncertainty,2016-10-04-prescott-valley-arizona_41,inclusive,neither,inclusive
192,0.312141962,0.687858038,"I also proposed a new effort to fight street gangs, with mandatory sentences for illegal gang activity. We need an anti-gang office in the Department of Justice. I believe you should have to pass a drug test before you can make bail or get out on parole. I say that for violent crimes we must have tough and certain sentences that make it clear that punishment will be swift and sure. I proposed to give more help to local law enforcement. And for certain particularly heinous crimes--such as the murder of a police officer--I believe we must have a federal death penalty.",0.375716076,FALSE,NA,uncertainty,2971_8,exclusionary,neither,neither
194,0.836666286,0.163333714,"Let those who have the responsibility to enforce our laws and our judges who have the responsibility to interpret them be dedicated to the great principles of civil rights. But let them also recognize that the first civil right of every American is to be free from domestic violence, and that right must be guaranteed in this country. And if we are to restore order and respect for law in this country there is one place we are going to begin. We are going to have a new attorney general of the United States of America.",0.673332573,FALSE,NA,uncertainty,2148_27,exclusionary,neither,exclusionary
195,0.793146371,0.206853629,"It is time for a new policy toward Mexico, a policy steadfastly based on good will, mutual respect, fair treatment, and dignity. If Mexico and the United States are to speak frankly with each other, the sensitive question of immigration is one major area where we must begin. This is a matter that demands the utmost sensitivity and spirit of cooperation on both sides. We are talking here not just about statistics, but human beings, families, the hopes and dreams for a better life.",0.586292742,FALSE,NA,uncertainty,2649_14,neither,inclusive,inclusive
200,0.349115348,0.650884652,"We must fight discrimination with equal justice and increasing opportunity. And the greatest wisdom in these matters is found in the simple principle that we teach our children. Racial discrimination is wrong. It is wrong because our rights are rooted in our humanity, not in our ethnicity.",0.301769305,FALSE,NA,uncertainty,3366_61,neither,inclusive,inclusive
4,0.826056265,0.173943735,"We will promote our America values, our American way of life, and our American system of government which are all the best in the world. My opponent on the other hand wants a 550% increase in Syrian refugees. Her plan would bring in roughly 620,000 refugees from all refugee-sending nations in her first term, on top of all other immigration. Hillary Clinton is running to be America's Angela Merkel, and we've seen how much crime and how many problems that's caused the German people.",0.652112531,FALSE,NA,uncertainty,2016-08-18-charlotte-north-carolina_41,exclusionary,exclusionary,exclusionary
8,0.560253825,0.439746175,"According to a report for the Boston Globe from the year 2008 to 2014 nearly 13,000 criminal aliens were released back into U.S. communities because their home countries would not, under any circumstances, take them back. Hard to believe with the power we have. Hard to believe.",0.120507649,FALSE,NA,uncertainty,2016-08-31-center-phoenix-arizona_79,exclusionary,exclusionary,exclusionary
14,0.862368508,0.137631492,"Her plan would mean generations of terrorism, radicalism, and extremism spreading in your schools and throughout your communities. When I'm elected president, we will suspend the Syrian refuge program. And we will keep radical Islamic terrorists the hell out of your community.",0.724737016,FALSE,NA,uncertainty,2016-11-02-fairgrounds-orlando-florida_50,exclusionary,exclusionary,exclusionary
16,0.445265152,0.554734848,"Now, Hillary Clinton wants a 550% increase in Syrian refugees and countless more refugees from across the Middle East. I want to keep you and your family safe.",0.109469697,FALSE,NA,uncertainty,2016-10-03-center-pueblo-colorado_40,exclusionary,exclusionary,exclusionary
17,0.221677423,0.778322577,"America was shocked to its core when our police officers in Dallas were so brutally executed. In the days after Dallas, we have seen continued threats and violence against our law enforcement officials. Law officers have been shot or killed in recent days in Georgia, Missouri, Wisconsin, Kansas, Michigan and Tennessee.",0.556645155,FALSE,NA,uncertainty,2016-07-21-national-convention-cleveland_32,exclusionary,exclusionary,exclusionary
21,0.873547123,0.126452877,"It was just reported that a man deported from our country 10 times in six years has been charged with raping a 12-year old girl. In August, Texas Police arrested a serial illegal immigrant rapist who had been deported five times, including one 68 year-old woman with a cane who took his offer to drive her home. He left her on the side of a dirt road.",0.747094246,FALSE,NA,uncertainty,2016-10-15-portsmouth-new-hampshire_11,exclusionary,exclusionary,exclusionary
24,0.173543241,0.826456759,"The female San Bernardino shooter, on her--on her statements, and everything that she said: she was here on a fiancée visa, which most people have not even heard of, from Saudi Arabia, and she wanted to support very openly jihad online. These are the people we're taking in. A neighbor saw suspicious behavior--bombs on the floor, and other things--but didn't warn authorities because they said they didn't want to be accused of racial profiling. Now, many are dead and many more are gravely wounded.",0.652913518,FALSE,NA,uncertainty,2016-08-15-university-youngstown-ohio_51,exclusionary,exclusionary,exclusionary
27,0.870356119,0.129643881,"Hillary Clinton wants a 550 percent increase in Syrian refugees pouring into our countries. Her plan would mean generations of terrorism and extremism spreading in your schools and all throughout your communities. When I'm president, we will suspend the Syrian refugee program[applause]",0.740712238,FALSE,NA,uncertainty,2016-11-02-amphitheater-miami-florida_50,exclusionary,exclusionary,exclusionary
35,0.856566046,0.143433954,"In California, a 64-yeard old Air Force Veteran, Marilyn Pharis, was sexually assaulted and beaten to death with a hammer. Her killer had been arrested on multiple occasions, but was never deported. Also in California, my good friend, Jamiel Shaw, lost his amazing son at the age of 17 – he was viciously shot and killed by an illegal immigrant with three gun charges, as well as battery of a police officer – but despite these previous crimes, he had not been deported.",0.713132091,FALSE,NA,uncertainty,2016-10-04-prescott-valley-arizona_32,exclusionary,exclusionary,exclusionary
40,0.195425429,0.804574571,"Now, the second reality that this nation faces is the absolute necessity of finding peace and justice in our own country, in our own cities, in our own nation, and to find it soon.  Ladies and gentlemen, this is called many things.  Some people call it law and order.  Some people just say that we have to crack down on crime.  Other people say that we've got to subdue the violence.  Let me make it clear-cut:  if I am the president of the United States, I will do everything within my power to mobilize the resources of this country to make sure that violence does not take our streets, to put down the rioting, to stop the looting, to stop the sniping, and to do what is necessary for the safety of the American people in their neighborhoods and in their cities!  It will be done! ",0.609149143,FALSE,NA,uncertainty,2023_31,exclusionary,exclusionary,exclusionary
42,0.80246033,0.19753967,"Also reforms on visa rules to enhance penalties for overstaying and to ensure open jobs are offered to American workers first. 8. Restoring Community Safety Act. Reduces surging crime, drugs and violence by creating a Task Force On Violent Crime and increasing funding for programs that train and assist local police who are doing such a great job, believe me. We increase the resources for federal law enforcement agencies and federal prosecutors to dismantle criminal gangs and put violent offenders behind bars",0.60492066,FALSE,NA,uncertainty,2016-10-22-eisenhower-complex-gettysburg_51,exclusionary,exclusionary,exclusionary
53,0.536337629,0.463662371,"What kind of government allows its own people to suffer such horrors? As Secretary of State, Hillary Clinton allowed thousands of criminal aliens to be released because their home countries wouldn't take them back. Among those she allowed to go free was a criminal alien who had previously been convicted for shooting a girl in the head – after his release, he viciously murdered a young girl name Casey Chadwick.",0.072675258,FALSE,NA,uncertainty,2016-10-15-portsmouth-new-hampshire_12,exclusionary,exclusionary,exclusionary
56,0.853112893,0.146887107,"Now, I am ready to do something about law and order.  We are not going to condone violence.  We are not going to condone riots.  Make no mistake about it.  Let me tell you--that is no way to have it.",0.706225786,FALSE,NA,uncertainty,2046_31,exclusionary,exclusionary,exclusionary
58,0.883250468,0.116749532,"A new immigration policy is needed immediately and as well. The common thread linking the major Islamic terror attacks that have recently occurred on our soil--9/11, the Fort Hood shooting, the Boston bombing, the San Bernardino attack, the Orlando attack--is that they have involved immigrants or the children of immigrants. Clearly, new screening procedures are needed. A review by the U.S. Senate Immigration Subcommittee has identified 380 foreign-born individuals charged with terrorism or terrorism-related offenses between 9/11 and 2014, and many more since then, and this year is a record for identification. It's gotten worse, far worse.",0.766500936,FALSE,NA,uncertainty,2016-08-15-university-youngstown-ohio_45,exclusionary,exclusionary,exclusionary
59,0.660253037,0.339746963,"Our country has enough problems. We don't need more, and these are problems like we've never had before. Thank you. Thank you. As soon as I take office, I will ask the State Department and the Department of Homeland Security to identify a list of regions where adequate screening cannot take place, there are many such regions. We will stop processing visas from those areas until such time as it is deemed safe to resume, based on new circumstances or new procedures. The size of current immigration flows are simply too large to perform adequate screening.",0.320506073,FALSE,NA,uncertainty,2016-08-15-university-youngstown-ohio_48,exclusionary,exclusionary,exclusionary
65,0.334659214,0.665340786,"But, none of this will matter, since we are going to win big on November 8th. Together, we are going to deliver real change that puts America First. We are going to renegotiate our terrible trade deals, end illegal immigration, stop the massive inflow of refugees, reduce surging crime, cut taxes and regulations, unleash job-producing American energy, rebuild our military and take care of our Vets, and repeal and replace the disaster known as Obamacare.",0.330681573,FALSE,NA,uncertainty,2016-10-20-fairgrounds-delaware-ohio_11,exclusionary,exclusionary,exclusionary
69,0.619979437,0.380020563,"There are over 2 million criminal aliens in this county, and we are going to get them out – and we are going to get them out quickly. To the cartels, the gangs, the drug dealers, I have a simple message for you: your days are numbered, and your reign of crime will soon come crashing to an end. We also have to keep our country safe from terrorism. The terrorists who planted the bombs in New York and Jersey, and who carried out the mall stabbing in Minnesota, were foreign nationals admitted into our country – as was the mall shooter in Washington.",0.239958873,FALSE,NA,uncertainty,2016-10-03-center-pueblo-colorado_38,exclusionary,exclusionary,exclusionary
70,0.558776656,0.441223344,"My friends, I believe in the right of dissent and will always fight to protect it. I believe in the right of peaceful protest. But, my friends, in a country whose Founding Fathers had the genius to set up a system that provides a method for peaceful change, I say there is no cause that justifies breaking the law or violence in the United States of America.",0.117553313,FALSE,NA,uncertainty,2192_23,exclusionary,exclusionary,exclusionary
73,0.594612037,0.405387963,"In California, a 64-year-old Air Force veteran, Marilyn Pharis, was sexually assaulted and beaten to death with a hammer. Her killer had been arrested on multiple occasions but was never deported. People asked please, please deport him. This is what happened. This is a crime wave that never ends. I can tell you it's thousands of cases like this.",0.189224074,FALSE,NA,uncertainty,2016-10-28-manchester-new-hampshire_62,exclusionary,exclusionary,exclusionary
77,0.852394474,0.147605526,"According to federal data, there are at least 2 million, 2 million, think of it, criminal aliens now inside of our country, 2 million people criminal aliens. We will begin moving them out day one. As soon as I take office. Day one. In joint operation with local, state, and federal law enforcement.",0.704788947,FALSE,NA,uncertainty,2016-08-31-center-phoenix-arizona_41,exclusionary,exclusionary,exclusionary
78,0.594805565,0.405194435,"We will stop illegal immigration, deport all criminal aliens and dismantle every last criminal gang and cartel threatening our citizens. We will also repeal the Obama-Clinton Defense sequester, and rebuild our badly depleted military. There have been few times in our history where we've needed it more, few times. North Carolina will be at the very center of this effort with brand new advanced fighters flying from Seymour Johnson Air Force Base.",0.18961113,FALSE,NA,uncertainty,2016-11-07-raleigh-north-carolina_97,exclusionary,exclusionary,exclusionary
80,0.743854866,0.256145134,"In California, a 64-year-old Air Force veteran, a great woman, according to everybody that knew her, Marilyn Pharis, was sexually assaulted and beaten to death with a hammer. Her killer had been arrested on multiple occasions but was never, ever deported, despite the fact that everybody wanted him out. A 2011 report from the Government Accountability Office found that illegal immigrants and other non-citizens, in our prisons and jails together, had around 25,000 homicide arrests to their names, 25,000.",0.487709732,FALSE,NA,uncertainty,2016-08-31-center-phoenix-arizona_17,exclusionary,exclusionary,exclusionary
82,0.84492284,0.15507716,"Number three. Number three, this is the one, I think it's so great. It's hard to believe, people don't even talk about it. Zero tolerance for criminal aliens. Zero. Zero.",0.689845681,FALSE,NA,uncertainty,2016-08-31-center-phoenix-arizona_39,exclusionary,exclusionary,exclusionary
86,0.521808209,0.478191791,"Thousands of Americans have been killed by illegal immigrants. Right here in Ohio. Sixty-year old Margaret Costleman was murdered in cold blood by an illegal immigrant. Earlier that day her killer shot another woman in the arm while she was with her children in a nearby park. Police encountered the man more than three weeks before the crime scene, but federal authorities refused to take him into custody, even though people were saying, """"Please, please don't let him out. Please take him in.""""",0.043616418,FALSE,NA,uncertainty,2016-10-27-expo-springfield-ohio_35,exclusionary,exclusionary,exclusionary
95,0.721950163,0.278049837,"90 year-old Earl Olander was brutally beaten to death in his home by illegal immigrants with criminal records and left on the floor of his home to die. Laura Wilkerson's teenage son, Josh, was tortured and beaten to do by an illegal immigrant he offered to give a ride home. His body was viciously burned.",0.443900326,FALSE,NA,uncertainty,2016-10-23-fairgrounds-naples-florida_22,exclusionary,exclusionary,exclusionary
107,0.33344633,0.66655367,"Let there not be the slightest doubt that if I am president of these United States, I will do everything within my power to mobilize the resources of this country to see to it that our streets are safe, that violence is put down, that rioting is stopped, that respect for the law will be the pattern of the day.  You can be assured of it.  But you can all be assured of something else:  that just as I will see that those who break the law and those who are the criminals and those who are guilty of violence and looting and burning, just as they shall be punished and suppressed, so shall I wage relentless war on the inequities and the deprivation that make far too many of our citizens, white or black, wherever they may be.",0.333107341,FALSE,NA,uncertainty,2015_24,exclusionary,exclusionary,exclusionary
111,0.820255998,0.179744002,"I want to create safe zones in the Middle East. My plan suspends visas when we can't perform effective screening, and it puts forward a new ideological screening program to keep out people from our country who don't support our values. After all, that is what taking the oath of citizenship is all about.",0.640511996,FALSE,NA,uncertainty,2016-08-23-arena-austin-texas_22,exclusionary,exclusionary,exclusionary
112,0.589613698,0.410386302,"These are valid concerns expressed by decent and patriotic citizens from all backgrounds, all over. We also have to be honest about the fact that not everyone who seeks to join our country will be able to successfully assimilate. Sometimes it's just not going to work out. It's our right, as a sovereign nation to chose immigrants that we think are the likeliest to thrive and flourish and love us.",0.179227396,FALSE,NA,uncertainty,2016-08-31-center-phoenix-arizona_11,exclusionary,exclusionary,exclusionary
118,0.456009761,0.543990239,"And the same goes for government benefits. The Center for Immigration Studies estimates that 62 percent of households headed by illegal immigrants use some form of cash or non-cash welfare programs like food stamps or housing assistance. Tremendous costs, by the way, to our country. Tremendous costs. This directly violates the federal public charge law designed to protect the United States Treasury. Those who abuse our welfare system will be priorities for immediate removal.",0.087980479,FALSE,NA,uncertainty,2016-08-31-center-phoenix-arizona_91,exclusionary,exclusionary,exclusionary
119,0.861207779,0.138792221,"Then there is the case of 90-year old Earl Olander, a Minnesota farmer who was brutally beaten by illegal immigrants and left to bleed to death in his home. Earl's body was found with his hands bound behind his back with duct tape. A blunt force injury to his head. His killers had criminal records but they did not meet the Obama administration's priorities for removal.",0.722415558,FALSE,NA,uncertainty,2016-10-27-expo-springfield-ohio_36,exclusionary,exclusionary,exclusionary
122,0.58793195,0.41206805,"I am going to end illegal immigration, stop the massive inflow of refugees, keep jobs from pouring out of our country, renegotiate our disastrous trade deals, and massively reduce taxes and regulations on our workers and our small businesses. My economic agenda is very simple: jobs, jobs, jobs. The problems we face as a country are immense, and it is going to take bold action to turn things around.",0.175863901,FALSE,NA,uncertainty,2016-10-05-pavilion-henderson-nevada_5,exclusionary,exclusionary,exclusionary
129,0.816032008,0.183967992,"President Obama has commuted the sentences of record numbers of high level drug traffickers, many of them kingpins, and violent armed traffickers with extensive criminal histories. Hillary Clinton promises to continue and expand this approach, turning our streets back over to gangs, drug cartels, and armed career criminals. Over the last few years this administration has been steadily dismantling the federal criminal justice system. Tens of thousands of drug dealers have been released from prison early, including many illegal immigrants--regardless of their history of violence, or ties to transnational gangs and cartels.",0.632064016,FALSE,NA,uncertainty,2016-10-15-center-bangor-maine_15,exclusionary,exclusionary,exclusionary
