"","Predictions_prob_1","Predictions_prob_0","text","speech_par_id","uncertainty","already_annotated","already_sampled","drawn","low_pride_bb","low_pride_yl","agree"
"11",0.000276419,0.999723581,"We want to say to the cities of America, we want to empower people to take control of their own destiny again. We want to bring free enterprise back to the inner cities and the poor rural areas. We want to invest in rural health clinics and urban health clinics. We want to help our kids stay alive. We want to help them stay away from AIDS, from unwanted pregnancies, and help them move into a bright new future with a good education and a good economic opportunity and empowerment and responsibility for all. That's what we stand for.","3059_16",0.999447162,FALSE,FALSE,"random",0,0,1
"12",0.000221738,0.999778262,"Congress didn't pass what I recommended this year, but let me look them right in the eye. We're going to keep the pressure on them next year; if they don't pass it, the next year. We're going to get that kind of tax relief, and the Congress is going to do it, because the American people know it's right.","2494_6",0.999556524,FALSE,FALSE,"random",0,0,1
"13",0.639610607,0.360389393,"These are the forgotten Americans and they have been silent--silent, but now they are waking up, and now their voices are beginning to be heard and now that voice is going to sweep across America and it is going to drown out the voices of those that would destroy America and it is going to build a new America, I can assure you. It is this voice of America that you are contributing to tonight. Republicans and Democrats, Independent voters, all of you are joining. All of you who want new leadership, all of you who recognize its necessities, you are joining to this great crusade to provide for that leadership.","2149_15",0.279221214,FALSE,NA,"uncertainty",1,1,1
"14",0.648777216,0.351222784,"Some was sheer waste. Some was ruthless exploitation by greedy men. And all of it wrought a change in the face of America.","1363_4",0.297554432,FALSE,NA,"uncertainty",0,0,1
"15",0.412310953,0.587689047,"There are six countries in Africa which are members of the United Nations which do not have a single American diplomat in residence in them.  We spent less than 5 percent of our development loan fund meant for underdeveloped countries last year in Africa.  I could go on and itemize it and the result is that on the admission of Red China not one of the sixteen new African countries voted with us.  More countries in Asia voted against us than voted with us.  We are second in outer space, but this administration has failed to recognize, has failed to recognize that in these changing times, with a revolution of rising expectation sweeping the globe, the United States has lost its image as a new, strong, vital, revolutionary society.","1656_6",0.175378093,FALSE,NA,"uncertainty",1,1,1
"16",0.477310711,0.522689289,"My fellow Americans, we are better off than we were four years ago and not just in economic terms--for this is not just about the economy. This is about what kind of America we want our children to live in. And I think every day--every day I think, what do I want my country to be like when we start that new century? What do I want my country to be like when my daughter is my age, when her children are my age?","3248_34",0.045378578,FALSE,NA,"uncertainty",0,0,1
"17",0.398381423,0.601618577,"He does not speak for millions of decent Southerners and Northerners who reject bigotry and hate, who despise the extremists of both right and left, and who believe in progress and education and justice and a better life for all. I say to you solemnly in the 1930s the reactionary forces of Germany thought they had found a man to speak for them, and a few years later, helped by an economic depression, that man had destroyed not only his creators but German democracy, the European balance of power, the world political system. And the result was the carnage of World War II.","2045_27",0.203237155,FALSE,NA,"uncertainty",0,0,1
"18",0.463730187,0.536269813,"Let's look at the forgotten Americans who are not getting the increases. Twenty million Americans are retired. They have a little life insurance, a little pension. Most of them a little Social Security. And they have found the prices of their groceries and of their food raised 10 percent in the last four years, and it has driven some of them below the poverty level as a result.","2167_23",0.072539626,FALSE,NA,"uncertainty",0,0,1
"19",0.621647436,0.378352564,"There will be a time to fix the blame for all that has happened - especially in the case of Fannie Mae and Freddie Mac, and the abuses and political deal-making that corrupted those institutions. But our duty right now is to fix the problem, and that is the business that will shortly take me back to Washington. Following September 11th, our national leaders came together at a time of crisis. Now, with this measure, we have another chance to come together to prove that Washington is once again capable of leading this country.","2008-10-01-remarks-independence-missouri_3",0.243294873,FALSE,NA,"uncertainty",0,0,1
"20",0.000281233,0.999718767,"So now, help me take that kind of leadership and help me change America to make life better for every single family in our great country. We are going to win Wisconsin, and we are going to win the presidency because our ideas are right for America, this generation and generations to come.  May God bless the United States of America, the greatest country on the face of the Earth. Thank you very, very much. ","3127_25",0.999437534,FALSE,FALSE,"random",0,0,1
"21",0.346904023,0.653095977,"Senator Riegle and one of the gentlemen with good lungs in the audience talked about health care. Let me tell you, my fellow Americans, we will never restore security to the American people; we will never get ahold of the government deficit; and we will never rebuild our manufacturing base until we finally become the last advanced country in the world to control health care costs and provide basic health care to all of our people. It is an urgent national priority. We cannot fix the economy without it.","3056_20",0.306191954,FALSE,NA,"uncertainty",1,1,1
"22",0.000276712,0.999723288,"Today in Las Vegas, I met Dr. James Barber. Three years ago, Dr. Barber paid $27,000 in insurance premiums as an ob-gyn in Henderson, Nevada. Last year's premiums would have been more than $100,000. So he had to stop delivering babies here, and he moved his practice to California. Because the medical liability laws in California have reasonable caps, that good doctor's premiums cost him about $33,000 a year. I also met one of his former patients, Nicole Byrne. Nicole Byrne said that Dr. Barber saved her life during a previous pregnancy. Now she's pregnant again, and she's devastated that Dr. Barber will not be around to deliver her baby. Nicole and Dr. Barber understand you can't be pro-patient, pro-doctor, and pro-plaintiff-attorney at the same time. You have to choose. My opponent made his choice, and he put a personal injury lawyer on the ticket.","2004-10-14-reno-nevada-0_31",0.999446576,FALSE,FALSE,"random",0,0,1
"23",0.624248088,0.375751912,"But the choice before you is not only a difference in the philosophy of government, it is a difference in the psychology of government. This is what I mean: No matter how hard he may try, no man who has helped to build the policies of the past eight years, who has defended them at every turn and defends them all today, who is forced to justify past failures and explain away past defeats--no such man come to the presidency with free hands. Tied as he is to the past, he would find it psychologically impossible to turn this nation around, to regain the momentum that was lost by the administration whose inept leadership he shared.","2205_17",0.248496175,FALSE,NA,"uncertainty",0,1,0
"24",0.626580621,0.373419379,"Let's talk about South Korea for a moment, because it so perfectly illustrates the broken promises that have hurt so many American workers. President Obama, and the usual so-called experts who've been wrong about every trade deal for decades, predicted that the trade deal with South Korea would increase our exports to South Korea by more than $10 billion—resulting in some 70,000 jobs. Like Hillary Clinton's broken promises to New York, these pledges all turned out to be false. Instead of creating 70,000 jobs, it has killed nearly 100,000, according to the Economic Policy Institute. Our exports to South Korea haven't increased at all, but their imports to us have surged more than $15 billion—more than doubling our trade deficit with that country.","2016-08-08-economic-club-1_34",0.253161243,FALSE,NA,"uncertainty",0,0,1
"25",0.384476105,0.615523895,"But if there's one thing I know, it is this, and that is we have come too far to turn back now. The American people have worked too hard to get to this point. And after all that we have been through together, after all that we have fought for together, why would we go backwards? Why would we go back to the very same policies that led us to this mess in the first place?","2012-10-11-2012-fundraiser-miami_11",0.23104779,FALSE,NA,"uncertainty",0,0,1
"26",0.600200763,0.399799237,"I commit to you: I will be a leader. When I'm president, I will take the care that it takes to rebuild our principles and restore the principles that made America so strong. AUDIENCE MEMBERS: Mitt! Mitt! Mitt! Mitt! Mitt! Mitt! Mitt! Mitt!","2012-10-07-st-lucie-florida_37",0.200401527,FALSE,NA,"uncertainty",1,1,1
"27",0.348182174,0.651817826,"You can see that if you're in my business, at the state level. Ten percent of this country's on food stamps now. The Medicaid rolls of states all across the country are going up by 12 to 15 percent a year, as more and more people are living in poverty and without health care.","2991_8",0.303635652,FALSE,NA,"uncertainty",0,0,1
"28",0.000225052,0.999774948,"I'm proud to call Chuck Grassley friend. I know you're proud to call him United States Senator. He's a really fine Senator, and we have done a lot of work together. I—it's important that he remain the chairman of the Finance Committee, and one way to make sure he remains the chairman of the Finance Committee is for the people of South Dakota to elect John Thune to the United States Senate. I know John Thune, and there's no doubt in my mind that he will make a great United States Senator for the people of South Dakota. I want to thank Congressman Steve King from the great State of Iowa for being here.","2004-11-01-city-iowa-0_3",0.999549896,FALSE,FALSE,"random",0,0,1
"29",0.369615997,0.630384003,"We have to build a bridge to the 21st Century with a clean environment. Two-thirds--two-thirds--of our toxic waste sites can be cleaned up in the next four years, all of the worst ones--let me tell you why that's important. We cleaned up more toxic waste dumps in three years than were cleaned up in the twelve years before I became president, but there are still--listen to this--there are still ten million American children living within just four miles of a toxic waste dump. That is wrong. Our kids should be growing up next to parks, not poison, and we need to build that bridge to the 21st Century.","3208_13",0.260768007,FALSE,NA,"uncertainty",0,0,1
"30",0.366737601,0.633262399,"You have to make your judgment tomorrow as to which candidate and which party has associated itself and himself with the great issue of our time.  On other occasions, in other years, this country has elected Republican Presidents and Democratic Presidents.  They do it when they make a decision that that party and that candidate will serve a great national purpose.  In my judgment, and the responsibility ultimately is yours, in my judgment the United States will be best served by a candidate and a party who recognizes the basic issues of our time, and that is that this country has to go back to work again.","1744_4",0.266524797,FALSE,NA,"uncertainty",0,0,1
"31",0.000267725,0.999732275,"Now, I know a couple of weeks ago the Republicans were already celebrating.  Popping those champagne corks in their penthouses.  But I want to tell them something for you and me.  We're the ones that are going to be celebrating on the 8th of November--and we're going to be celebrating, with some good old Milwaukee beer.","2941_1",0.99946455,FALSE,FALSE,"random",0,0,1
"32",0.999514136,0.000485864,"The Labor Department reported that for the year 1950 the average city family went $400 in debt in order to pay for its necessaries, its clothing, its food, its shelter, sending the children to school and so on.  Just exactly as the government is not living within its means, by doing that it so cheapens our money that we can't live within our means.  Where are we all headed unless we restore to the national program, the national activity, the old virtues of thrift and economy that those men knew so well who met right up there on the corner beside that Rock.  Unless we do that, we cannot preserve the kind of America that is necessary to bring us peace in the world.","1182_4",0.999028273,FALSE,FALSE,"random",1,1,1
"33",0.343418124,0.656581876,"I guess my question is, as a lot of people my age are getting ready to graduate, we see the way the economy is right now. We see the spending, the huge deficit. What are you going to do as president — and I'm confident that you'll be the next president — what will you do to help America's college students find jobs or create environments for them to go out and get jobs?","2012-10-10-mount-vernon-ohio_67",0.313163752,FALSE,NA,"uncertainty",0,0,1
"34",0.408288841,0.591711159,"In 1980, history gave us a great challenge: to rescue a nation in crisis and to save America's future. We met that challenge. In 1984, America is being challenged again, this time to shape our future. We must make this nation so strong, so united that when today's young Americans become tomorrow's leaders, they will inherit an America that can remain the great shining light for progress and peace for generations to come.","2807_6",0.183422318,FALSE,NA,"uncertainty",0,0,1
"35",0.647950357,0.352049643,"And what it is, is a lack of respect for our nation, it's a lack of respect for our leadership. To all the great men and women of law enforcement I want you to know, we're with you, we support you and we will stand by you. We will restore law order and justice in America—justice.","2016-11-02-amphitheater-miami-florida_48",0.295900714,FALSE,NA,"uncertainty",1,1,1
"36",0.000234311,0.999765689,"He has long opposed, also, enterprise zones, to help the most economically troubled neighborhoods in the country to use tax incentives to go in to stimulate industry and business there to provide jobs for people. But then, a few weeks ago, he was a--deathbed confession--he said he's for them. Well, if he's for them, then why doesn't he ask Tip O'Neill to let our Enterprise Zone Bill get out of the committee where it's buried in the House of Representatives?","2849_20",0.999531378,FALSE,FALSE,"random",0,0,1
"37",0.651398191,0.348601809,"Now is not the time for these destructive policies that will cripple business growth, destroy jobs and hurt the middle class. Now is the time to take action to address this crisis and take action to put our economy back on a path of growth. Even though Democratic leaders say they don't know what to do, I believe the deep problems afflicting our financial system won't be solved by one political party. There is only one candidate in this race who has a record of reaching across the aisle to work out the bipartisan solutions needed to move our country forward in times of crisis -- and I will bring that same spirit of bipartisan cooperation to the White House. It took members of both parties to get America into this mess, and it will take all of us, working together, to lead the way out.","2008-09-19-bay-wisconsin-0_29",0.302796383,FALSE,NA,"uncertainty",0,0,1
"38",0.527520629,0.472479371,"At the federal level, we've taken strong measures to crack down on big-money drug traffickers and to catch drug smugglers in the act. Yet we all know that we have a long way to go. About one-fourth of our nation's young people continue to abuse drugs or alcohol, and too many children are still getting into drugs every day. And thousands of teenagers are killed every year in auto accidents due to drunk and drugged driving.","2798_3",0.055041258,FALSE,NA,"uncertainty",0,0,1
"39",0.368836516,0.631163484,"Now is the time to keep pushing forward: to educate all our kids, train all our workers, create new jobs, rebuild our infrastructure, discover new sources of energy, broaden opportunity, grow our middle class, restore our democracy, and make sure that no matter where you come from, no matter how you started out, no matter what you look like, no matter who you love, no matter what your last name is, here in America, you can make it if you try. That's what we're fighting for, Wisconsin. That's why I'm asking for your vote. And if you're willing to work with me and knock on doors with me and make some phone calls with me and turn out with me and grab your friends and your neighbors and your coworkers and get them to the polls for me, we'll win Wisconsin. We'll win this election. We'll renew the bonds that tie us together and reaffirm the spirit that makes the United States of America the greatest nation on Earth.","2012-11-03-rally-milwaukee-wisconsin_46",0.262326969,FALSE,NA,"uncertainty",0,0,1
"40",0.38934151,0.61065849,"At home we spend more money than we take in, and by reason of that fact we create deficits which means that every cent you have in your pocket is cheaper by the minute.  A dollar now is figured to be 52 cents in terms of its 1939 value.  A Nebraska lady told a story that 10 years ago she sold a cow--she is a ranch woman--for $75 and put it in government bonds and the other day she cashed it for $100 which was supposed to be a profit, but she found to buy the same cow it would cost her $150.  In that you have a picture of what has happened to our money and what has happened to prices.","1142_3",0.22131698,FALSE,NA,"uncertainty",0,0,1
"41",0.000255962,0.999744038,"I'm proud of your Governor. You've got a great Governor in Tim Pawlenty. He's an innovator. He's a good thinker. He's got a pretty good sense of the politics here in the State. He told me something on the bus. He said, """"You know something, Mr. President, you're going to carry Minnesota."""" And I believe him. Thank you all. Okay. All of us in the political arena love applause, but we've got work to do here today.","2004-09-16-care-blaine-minnesota_6",0.999488075,FALSE,FALSE,"random",0,0,1
"42",0.608314664,0.391685336,"I believe that the first task of society is to protect its citizens' lives and property. I abhor and condemn the violent crime wave which sweeps across this country and the vicious drug plague which preys on innocent citizens and kills our youth. I believe that we must take whatever steps are necessary to strengthen the capability of police and other law enforcement agencies to deal with rampant crime.","2277_24",0.216629328,FALSE,NA,"uncertainty",0,0,1
"43",0.551341577,0.448658423,"I come over here to Brooklyn in this campaign--I come over here to Brooklyn in this campaign to ask your help.  This is an important campaign, because the office of the presidency is important, and on the good judgment, responsibility, sense of vigor, sense of progress, foresight, of the next president of the United States, hangs the lives of all of us.  So I run for the presidency after fourteen years in the Congress, because I believe that it is time this country began to move forward again.  Before I believe that in fourteen years in the Congress, on every piece of legislation which benefits the people, I believe the majority of the Democrats have voted yes and the majority of the Republicans have voted no.","1640_1",0.102683155,FALSE,NA,"uncertainty",0,0,1
"44",0.483819323,0.516180677,"My friends, why would they engage then in such an attack when it is so false? And I will tell you why. Because they want to hide the truth, and the truth is that the older people in this country, the twenty million people who are retired, are among the forgotten men and women in America. Look what's happened to them. Over the past eight years their income stays the same. A little retirement, a little Social Security, a little pension, whatever it may be. And yet over those last eight years they have seen the prices of what they buy go up 20 percent.","2181_28",0.032361353,FALSE,NA,"uncertainty",0,0,1
"45",0.65050703,0.34949297,"And that's why I need you, Wisconsin. To make sure the voices of those children are heard. To make sure your voices are heard. We have come too far to turn back now. We've come too far to let our hearts grow faint. Now is the time to keep pushing forward: to educate all our kids and train all our workers, create new jobs, bring our troops home, care for our veterans, broaden opportunity, grow our middle class, restore our democracy, and make sure that no matter who you are, no matter where you come from, no matter how you started out, no matter what your last name is, you can make it here in America if you try.","2012-11-05-rally-madison-wisconsin_48",0.301014061,FALSE,NA,"uncertainty",0,0,1
"46",0.525557072,0.474442928,"I come here to Massachusetts, which I have represented in the Congress for the past fourteen years, and ask your support tomorrow in the campaign for the presidency.  But I do not come here merely as a citizen of this state.  I come here not merely as a fellow Democrat.  I come here as a concerned citizen who wishes to see this country move forward again.","1745_1",0.051114144,FALSE,NA,"uncertainty",0,0,1
"47",0.498324104,0.501675896,"One erratic act, one unreasoned decision, one emotional outburst on the part of an unstable person in a position of leadership today can unleash on this world a holocaust of catastrophe and disaster that the human mind is unable to comprehend. Make no mistakes about it, my fellow Americans, the world is not short of destructive power.  The world is short today of healing, of reconciliation, of love, and of peace.","2010_15",0.003351791,FALSE,NA,"uncertainty",0,0,1
"48",0.352298464,0.647701536,"But now, I ask for your support; four more years to strengthen America, bring us back, bring economic opportunity to all. And may God bless our great country. And thank you all very, very much.","3110_19",0.295403071,FALSE,NA,"uncertainty",0,0,1
"49",0.569643346,0.430356654,"We're going to end the government corruption and we're going to drain the swamp in Washington, D.C. We are going to renegotiate our terrible trade deals, end illegal immigration, stop the massive inflow of refugees from other countries, reduce surging crime, cut taxes big league and end regulations. Unleash job-producing American energy, rebuild our great military, which sadly has become very depleted, but the greatest people on Earth. We're going to take care of our veterans like they have never been taken care of before. And repeal and replace the disaster known as Obamacare.","2016-10-18-colorado-springs-colorado_4",0.139286692,FALSE,NA,"uncertainty",1,1,1
"50",0.394945866,0.605054134,"A responsible government will not gaze into the sky while millions of Americans live in poverty. Fourteen percent--14 percent--of your New York families live in poverty, below the poverty line. Now, we are not going to abandon them and we are not going to forget them, and we are going to do something about them.","1945_12",0.210108268,FALSE,NA,"uncertainty",0,0,1
"51",0.661915426,0.338084574,"Climate change. Poverty. Extremism. Disease. These problems offend our common humanity. They also threaten our common security. You know this. The question is what we do about it.","2008-09-25-new-york-city_12",0.323830853,FALSE,NA,"uncertainty",1,1,1
"52",0.384104963,0.615895037,"On every issue, from Iraq to health care, from jobs to education, W stands for wrong. Wrong choices. Wrong direction. It's time for a president who will lead America in a new direction.","2004-09-06-racine-west-virginia_16",0.231790073,FALSE,NA,"uncertainty",0,1,0
"53",0.50906867,0.49093133,"This is what Jimmy Carter's economic failures have done. They have hurt individuals and they have hurt families. In January 1977 when Jimmy Carter came to office he inherited an inflation rate of only 4.8 percent. But it is now over 12 percent. It has been as high as 18 percent. Who can feel secure, who can stand confidently on the shifting sands of Carter economics?","2651_3",0.01813734,FALSE,NA,"uncertainty",0,0,1
"54",0.560169648,0.439830352,"Lloyd Bentsen and I have a different vision of America's future.  A different idea of leadership.  And a deeper understanding of what it will take to renew respect for American leadership in a rapidly changing world.","2927_5",0.120339296,FALSE,NA,"uncertainty",0,0,1
"55",0.000239869,0.999760131,"Q. Governor Carter, when we concluded our regular convention last Friday, we endorsed the Carter-Mondale ticket. We did have some preliminary discussion on the Humphrey-Hawkins bill, and also on 14(b) of the Taft-Hartley Act. Our people would like to see you push those two items harder than you have. And take a more firm position than you have today.","2379_0",0.999520262,FALSE,FALSE,"random",0,0,1
"56",0.646959776,0.353040224,"We will set deadlines for decisions, and we'll meet them. We'll put aside partisan politics, as I tried to do in the very first term--and we did get some very good things done early in the first term--and we'll abandon this politics as usual. When we confronted Saddam Hussein, we saw that when America turns its attention to a problem, we can do literally anything. We can mobilize for war. We can mobilize for hurricanes. Let's mobilize for our economy and get this country moving again.","3174_30",0.293919553,FALSE,NA,"uncertainty",0,0,1
"57",0.000248876,0.999751124,"I do want to single out one son of Houston who is at my side now as he has been for many years, and I'm talking about the former Secretary of Treasury, our friend, the """"Son of Houston,"""" Jim Baker. And I don't know where he is. Right here. Come on, Jimmy! Come up here. What a job he has done.","2986_2",0.999502247,FALSE,FALSE,"random",0,0,1
"58",0.665741831,0.334258169,"So, Virginia, we know our ideas work. What about their ideas? We tried those too. After Bill Clinton left office, for 8 years we tried giving big tax cuts to the wealthiest Americans. We tried to strip away regulations so that Wall Street and insurance companies and oil companies were free to do whatever they pleased. And what did we get? Falling incomes, record deficits, the slowest job growth in half a century, and an economic crisis that we've been cleaning up after ever since.","2012-11-03-rally-bristow-virginia_22",0.331483662,FALSE,NA,"uncertainty",1,1,1
"59",0.559623579,0.440376421,"For progress for the people, I put the New Freedom of Wilson, the New Deal of Roosevelt, the Fair Deal of Truman--I put that against the """"Stand Pat With McKinley,"""" """"Return to Normalcy With Harding,"""" """"Keep Cool With Coolidge,"""" """"A Chicken in Every Pot,"""" and """"Had Enough?"""" I think that the Democratic party is best equipped in a time of danger here in Texas and Arkansas, and in a time of danger around the world. There is not a single farmer in this state of Texas, there is not a farmer in the state of Arkansas, whose income has not deteriorated under the administration of Benson and Nixon and the others. There is not a citizen in the United States who looks around the world, who feels he is secure as he was ten years ago, who feels that the strength and prestige for the United States in comparison to that of the Communist world is increasing or decreasing. Is our prestige in Latin America and Asia and Africa, is our military strength in comparison to that of the Communist bloc? Is our position in outer space compared to the Communist position as strong as it was some years ago? I don't think it is. I don't think we have done enough. I think we can do better. I ask your help in this campaign. I think all those who feel that everything that is being done is being done right now, all those who are satisfied to stand still, all those who wish to look back and not forward, all those who have enough the way they are, all those who are satisfied to fall into a position of relative weakness--I hope that they will support the Republican party.","1484_3",0.119247158,FALSE,NA,"uncertainty",1,1,1
"60",0.007726074,0.992273926,"I contrast that call to the dim, silent trumpet that this administration has given forth in the last few years.  In Cuba, the communists have established a satellite.  In Venezuela, angry mobs assault the Vice President of the United States.  In Mexico City, rioting mobs have protested American policy and castigated America itself.  In Panama, anti-American demonstrations have imperiled the Canal.  In Brazil, the newly elected president of Brazil felt it incumbent upon him to make a journey to Havana to call on Mr. Castro in order to get his benediction in that race for the presidency of Brazil, not to Washington--not to Washington--to Havana.  Every report from Latin America, every new dispatch from the south, brings fresh news of unrest and tension, and we have not seen the worst of it.  We have not seen the worst of it.  This struggle is going to go on through all of Latin America, through all of Africa, and through all of Asia for the next decade.","1631_7",0.984547853,FALSE,FALSE,"random",1,1,1
"61",0.000296959,0.999703041,"What are the problems with that? There are two. Number one, he hired a firm to analyze it, and they said the problem with that is you drive unemployment up and incomes down and have a bigger recession for the next or five years, but by the year 2000, you're in great shape. But you forego a lot of investment opportunities between now and then. The second problem is, if you drive the economy down too much, all your revenue estimates are off and you've still got a big deficit.","3003_30",0.999406082,FALSE,FALSE,"random",0,0,1
"62",0.00024041,0.99975959,"I'm for a balanced budget amendment to the Constitution. He's against a balanced budget amendment to the Constitution. One big difference.","3360_21",0.99951918,FALSE,FALSE,"random",0,0,1
