Predictions_prob_1,Predictions_prob_0,text,speech_par_id,uncertainty,already_annotated,already_sampled,drawn,code_bb,code_yl
0.143661962,0.856338038,"President Lopez Mateos, the Chamizal is a very small tract of land.  But the principle is a very great one.  Let a troubled world take note that here, on this border, between the United States and Mexico, two free nations, unafraid, have resolved their differences with honor, with dignity, and with justice to the people of both nations.",1902_28,0.712676075,FALSE,,uncertainty,neither,neither
6.13E-05,0.999938737,"But lower taxes and a balanced budget are not the only key to a better America. We also need to restore the sense of security and personal safety that once allowed communities in all parts of our nation to thrive. And Jack Kemp is an optimist, as you can tell. And as I said in my acceptance speech, I'm the most optimistic man in America.",3312_17,0.999877473,FALSE,FALSE,random,neither,neither
0.000101074,0.999898926,"Vice President Gore. There's one other word that we've heard a lot of in this campaign, and that word is """"honor."""" To me, honor is not just a word, but an obligation. And you have my word: We will honor hard work by raising the minimum wage so that work always pays more than welfare.",2000-08-17-national-convention-los_61,0.999797853,FALSE,FALSE,random,neither,neither
0.100013355,0.899986645,"We're going to rebuild our military, and take care of our vets. We will support the truly great men and women of law enforcement. We are going to save our second amendment which is under siege.",2016-10-27-expo-springfield-ohio_50,0.799973291,FALSE,,uncertainty,neither,neither
0.767429859,0.232570141,"Why did Mr. Clinton promise to help with the costs and then renege on that pledge until Congress forced his hands? And why did Mr. Clinton hold up those funds for eighteen months? Why are you paying millions more in taxpayer dollars to provide drug rehab for illegal aliens in prison? You're paying for it. And worse, why are thousands of Californians the victims of violent crimes committed by people who should have been stopped at the border before they so much as stepped foot into this country?",3339_37,0.534859718,FALSE,,uncertainty,exclusionary,exclusionary
0.118120074,0.881879926,"The result will be millions more illegal immigrants; thousands of more violent, horrible crimes; and total chaos and lawlessness. That's what's going to happen, as sure as you're standing there. This election, and I believe this, is our last chance to secure the border, stop illegal immigration and reform our laws to make your life better. I really believe this is it. This is our last time. November 8. November 8. You got to get out and vote on November 8.",2016-08-31-center-phoenix-arizona_118,0.763759851,FALSE,,uncertainty,exclusionary,exclusionary
5.51E-05,0.999944933,"Now, the next president is going to end the war in Vietnam, or not end it.  And the next president is going to appoint three or more justices of the Supreme Court, including the Chief Justice.  The next president is either going to bring full measure of justice to the black man, the Mexican-American, the left-out white, or he is going to let their resentments build up into dynamite and explosion.  And I intend to be that next president.  And I intend to end that war if it is not done by that time.  And I intend to achieve the peace.  And I intend to appoint forward-looking, progressive-minded judges.  And I intend, as I have all of my life, to bring a full measure of justice to the black man, to the Mexican-American and to the left-outs, because that is the life story of the man that is talking to you here today.  And I intend to get it done.    ",2112_49,0.999889867,FALSE,FALSE,random,neither,neither
0.106583541,0.893416459,We Will Make America Safe Again. And We Will Make America Great Again.,2016-10-20-fairgrounds-delaware-ohio_38,0.786832917,FALSE,,uncertainty,neither,neither
0.397103719,0.602896281,"I'm going to fight for every person in this country who believes government should serve the people – not the donors and special interests. And I am going to fight to bring us all together as Americans. Imagine what our country could accomplish if we started working together as One People, under One God, saluting One American Flag.",2016-10-20-fairgrounds-delaware-ohio_35,0.205792563,FALSE,,uncertainty,exclusionary,exclusionary
0.854328497,0.145671503,"There are over 2 million criminal aliens in this county, and we are going to get them out – and we are going to get them out quickly. To the cartels, the gangs, the drug dealers, I have a simple message for you: your days are numbered, and your reign of crime will soon come crashing to an end. We also have to keep our country safe from terrorism. The terrorists who planted the bombs in New York and Jersey, and who carried out the mall stabbing in Minnesota, were foreign nationals admitted into our country – as was the mall shooter in Washington.",2016-10-03-center-pueblo-colorado_38,0.708656994,FALSE,,uncertainty,exclusionary,exclusionary
0.809261254,0.190738746,"My opponent would rather protect bureaucrats than serve American children. And that's what she's doing, and that's what she's done. We will repeal and replace disastrous Obamacare. You will be able to choose your own doctor again. And we will fix TSA at the airports which is a total disaster!",2016-07-21-national-convention-cleveland_61,0.618522509,FALSE,,uncertainty,neither,neither
5.90E-05,0.99994101,"Here stood Winston Churchill, the man who had risked his political career by opposing the Munich sell-out, who had risen from political oblivion to lead his country in its hour of mortal peril. Now after a victorious war, Churchill was compelled to state the truth once more. Freedom was again in danger. Peace was again in danger. The burst of sunlight brought upon the world by the victory over Hitler was being overshadowed by the dark cloud of Soviet ambition. As Churchill put it, in his most famous line, """"From Stettin in the Baltic to Trieste in the Adriatic, an iron curtain has descended across the continent."""" It was an Iron Curtain that had already shut out the light of freedom and progress from the historic capitals of Eastern and Central Europe. Warsaw, Berlin, Prague, Budapest, Belgrade, Bucharest, Sofia. These great cities rooted in a thousand years of Western civilization, rescued from Hitler, were now dominated by Stalin. And Churchill saw signs of Soviet aggression and expansion elsewhere in Europe and on other continents.",2974_5,0.999882019,FALSE,FALSE,random,neither,neither
0.799035356,0.200964644,"And we will control drugs and we will reduce drug use by 50 percent, and we'll use the National Guard, if necessary, to stop drugs from coming into America. And I will not appoint anybody as surgeon general who wants to legalize marijuana. Don't worry about that.",3356_33,0.598070712,FALSE,,uncertainty,neither,neither
0.331721994,0.668278006,"It means that if you're out in this country illegally, you can stay in public housing, collect welfare, get free medical care, and even invite family members abroad to come and join you. You might even be able to drive here legally. And with a driver's license you might even be able to register to vote under the motor voter law signed by Bill Clinton.",3339_43,0.336556012,FALSE,,uncertainty,neither,neither
0.553326887,0.446673113,"And most of all, we're going after the traffickers. New antitrafficking teams are dismantling their networks. Last year, we charged a record number of these predators with human trafficking. We're putting them where they belong: behind bars.",2012-09-25-york-city-1_14,0.106653775,FALSE,,uncertainty,neither,neither
0.106583541,0.893416459,We Will Make America Safe Again. And We Will Make America Great Again.,2016-07-21-national-convention-cleveland_77,0.786832917,FALSE,,uncertainty,neither,neither
0.593064444,0.406935556,"The enemy seeks to establish sanctuaries in Iraq from which to commit acts of terror. But Iraqi and coalition forces are on the offensive in Fallujah and North Babil and have restored Government control in Samarra, Tall ‘Afar, and Najaf. The enemy wants to make Iraqis afraid to join security forces. But every week, more and more Iraqis answer the call to arms. More than 100,000 soldiers, police, and border guards are already trained, equipped, and bravely serving their country. And well over 200,000 will be in place by the end of 2005.",2004-10-18-marlton-new-jersey_50,0.186128887,FALSE,,uncertainty,neither,neither
0.489263606,0.510736394,"And just last week, Officer Daniel Pratt was killed with an automatic weapon while pursuing a gang of drug dealers. The streets of America don't belong to drug peddlers and crack gangs; they belong to us.  And we're going to take them back.",2899_5,0.021472789,FALSE,,uncertainty,neither,neither
0.11990901,0.88009099,"Ending the war will help us deal with Afghanistan, which we talked about at length this morning. In 2002, I said we should focus on finishing the fight against Osama bin Laden. Throughout this campaign, I have argued that we need more troops and more resources to win the war in Afghanistan, and to confront the growing threat from al Qaeda along the Pakistani border.",2008-10-22-national-security-avail_10,0.76018198,FALSE,,uncertainty,neither,neither
0.731012503,0.268987497,"When I'm president, believe me, it will end. Not only will a wall keep out the dangerous cartels and criminals, but will also keep out the drugs, remember New Hampshire, and the heroin poisoning our youth. Our youth is being poisoned before they get a chance",2016-10-28-manchester-new-hampshire_63,0.462025006,FALSE,,uncertainty,exclusionary,exclusionary
0.208289672,0.791710328,"What about the $2 billion California pays every year to bear the costs of educating illegal aliens. $2 billion. And those costs are not going down, just the opposite. They're going straight up dramatically.",3339_41,0.583420657,FALSE,,uncertainty,exclusionary,exclusionary
0.091713656,0.908286344,"We banned deadly assault weapons, but not one hunter in Colorado, Arkansas or any other state lost his hunting or sporting weapon. Sixty thousand felons, fugitives and stalkers were stopped from buying a gun because of the Brady Bill. We made three-strikes-and-you're-out the law of the land. We passed the death penalty for drug kingpins and cop-killers. In the last month we extended the Brady Bill to prevent anyone convicted of beating up a spouse or a child from buying a handgun, and we required drug testing for all parolees and prisoners as a condition of getting federal prison construction funds.",3249_5,0.816572689,FALSE,,uncertainty,neither,neither
0.175854035,0.824145965,"Candidate Obama said that one of his highest priorities would be to fix immigration in his first year in office. Despite his party having majorities in both houses of Congress, supermajorities, the president never even offered up a bill. Like so many issues confronting our nation, when it comes to immigration, politics have been put ahead of people for far too long.",2012-09-17-los-angeles-california_34,0.64829193,FALSE,,uncertainty,neither,neither
0.470376254,0.529623746,"Overseas ISIS has carried out an absolute atrocity and one after another. Children slaughtered, girls sold into slavery, men and women burned alive, crucifixions, beheadings, and drownings, ethnic minorities targeted for mass execution. Holy sites desecrated. Christians driven from their homes and hunted for extermination. ISIS rounding up what it calls 'Nation of the Cross', 'Nation of the Cross' in a campaign of absolute and total genocide.",2016-08-15-university-youngstown-ohio_6,0.059247492,FALSE,,uncertainty,neither,neither
0.711005508,0.288994492,"Number seven, we will insure that other countries take their people back when they order them deported. There are at least 23 countries that refuse to take their people back after they've been ordered to leave the United States. Including large numbers of violent criminals, they won't take them back. So we say, OK, we'll keep them. Not going to happen with me, not going to happen with me.",2016-08-31-center-phoenix-arizona_75,0.422011016,FALSE,,uncertainty,exclusionary,exclusionary
5.61E-05,0.999943945,"In 1970 there will be five people sitting down to the dinner table where only four sit now.  Then we begin to realize what this kind of agricultural development means to all America, not just to the county or to the state.  It is important to all of us.",1225_5,0.99988789,FALSE,FALSE,random,neither,neither
0.876922154,0.123077846,"And we don't impose religious tests at our borders because we are a country that was founded on religious liberty. And we don't punish newspapers or journalists that try to cover the news or are critical of politicians, or threaten to restrict the First Amendment, because our democracy depends on a free press. And we don't incite violence and turn people against each other. We respect the open exchange of ideas that a democracy depends on.",2016-10-25-coconut-creek-florida_13,0.753844307,FALSE,,uncertainty,neither,neither
5.77E-05,0.999942266,"Thank you so much. What a marvelous turnout. Waukesha knows how to do it. Thank you all very much. Barbara and I are delighted to be here. May I thank our great United States Senator Bob Kasten and say how lucky we are to have him and Eva in Washington, D.C., two of the best. Please get out there and work hard in November. We've got to get more like him in the Senate. Of course, you heard from one of the great governors in this country, Tommy Thompson, your own. I salute him and Sue Ann. I don't believe I've got a better supporter out there than Tommy Thompson.",3074_0,0.999884532,FALSE,FALSE,random,neither,neither
0.908425266,0.091574734,"Hillary Clinton also wants to push to bring in 620,000 refugees in her first term A large number of whom come from large countries where women and gays are horribly brutalized, which will weaken our tolerant way of life. I only want to bring people to our country who share our values and love our people and are capable of loving America.",2016-08-24-coliseum-jackson-mississippi_43,0.816850531,FALSE,,uncertainty,exclusionary,exclusionary
0.709492554,0.290507446,"Paul Bremer, the President's man in Baghdad, and several senior generals have said the administration did not send enough troops to Iraq to manage the aftermath of the war. That failure made it impossible to stop widespread looting and crime, to secure Iraq's borders against terrorists, and to guard one million tons of ammunition and weapons that wound up in the hands of insurgents who are using them against our troops. And the failure left a power vacuum filled by Saddam loyalists... Shi'a extremists... and international terrorists, who were not in Iraq before the war, but have found a haven there now.",2004-10-20-waterloo-iowa-0_9,0.418985107,FALSE,,uncertainty,neither,neither
0.000466493,0.999533507,"We must care about the rights of our fellow man as much as we care about the rights of our own.  For none of us is free unless all of us are free; none is strong unless all are strong; none of us can live in dignity unless all of us live in decency. Our nation's motto--E Pluribus Unum--means """"From Many, One."""" It is in this spirit--this constant striving to build one nation and one people from many nationalities--that has made our land what it is as we leave here this afternoon.",1899_14,0.999067014,FALSE,FALSE,random,neither,neither
6.73E-05,0.999932689,"The vast majority of these royalty owners are working farmers, widows, retirees and others with the most modest of incomes. Even though they typically receive only $50 to $100 per month in royalty checks, these small royalty owners are subjected to the same heavy windfall profits tax rates as Exxon and the other major oil companies. As a result, most royalty owners have had their checks slashed by about 36 percent from what they received before the tax took effect.",2697_1,0.999865379,FALSE,FALSE,random,neither,neither
5.62E-05,0.999943836,"Nationalize health care, and here's what we're in for: long waiting lines, lists for surgery, shortages of the high-tech equipment responsible for so many of the miracles of modern medicine. One example: right now--you've got great facilities in Cleveland--but right now the Cleveland Clinic performs ten coronary bypass surgeries--I see we've got a doctor from the clinic over here. Well, that's great. They perform ten bypass surgeries a day; high tech, high quality, special, excellent surgery without any wait. But if you live across Lake Erie in Canada, the wait for coronary bypass surgery is up to six months. And that's not the kind of system that America wants or America needs.",3070_20,0.999887672,FALSE,FALSE,random,neither,neither
0.281365955,0.718634045,"So on day one, Jack Kemp and I are going to have a real war on drugs. And we'll fight to win. And we're going to start with a plan to use our military power, especially our technological capabilities, to fight this battle, to involve our intelligence agencies, and if necessary, to use the National Guard to stamp out drugs on the border before they get into America.",3307_28,0.437268091,FALSE,,uncertainty,neither,neither
0.129446445,0.870553555,Have to. We have to. Audience: Build that wall. Build that wall. Build that wall.,2016-10-27-expo-springfield-ohio_33,0.741107109,FALSE,,uncertainty,exclusionary,exclusionary
0.71678442,0.28321558,"I'm going to fight for every person in this country who believes government should serve the people – not the donors. And I am going to fight to bring us all together as Americans. Imagine what our country could accomplish if we started working together as One People, under One God, saluting One American Flag.",2016-10-17-bay-wisconsin-0_32,0.433568841,FALSE,,uncertainty,exclusionary,exclusionary
0.60161062,0.39838938,I believe we ought to protect the American flag with an amendment. He's against it. I'm for it.,3351_30,0.203221241,FALSE,,uncertainty,neither,neither
0.793740003,0.206259997,"These families have no special interests to represent them. There are no demonstrators to protest on their behalf. My opponent will never meet with them, or share in their pain, believe me. Instead, my opponent wants Sanctuary Cities. But where was sanctuary for Kate Steinle? Where was Sanctuary for the children of Mary Ann, and Sabine, and Jamiel? Where was sanctuary for all the other -- oh, it is so sad to even be talking about it because we can fix this problem so quickly -- Americans who have been so brutally murdered, and who have suffered so so horribly?",2016-07-21-national-convention-cleveland_45,0.587480006,FALSE,,uncertainty,exclusionary,exclusionary
0.639645102,0.360354898,"We Americans have such an idea in the Declaration of Independence, which tells us that all men are created equal.  No man's race or creed or color should count against him in this economic or civil or any other rights.  Only second-class Americanism tolerates second-class citizenship.  It's time to get rid of what remains of both, and that includes rewriting the unfair provisions of the McCarran Immigration Act.",1269_18,0.279290205,FALSE,,uncertainty,neither,neither
0.343893162,0.656106838,"7. End Illegal Immigration Act. Fully-funds the construction of a wall on our southern border, don't worry about it. Remember I said Mexico's paying for the wall. With the full understanding that the country Mexico will be reimbursing the United States for the full cost of such wall. Ok. We are going to have the wall; Mexico is going to pay for the wall. Mexico's by the way I met with the President of Mexico 2 ½ months ago, wonderful meeting, wonderful person. But I told him this is a two-way highway not a one-way highway.",2016-10-22-eisenhower-complex-gettysburg_49,0.312213677,FALSE,,uncertainty,exclusionary,exclusionary
0.58476154,0.41523846,"And you send me the partial-birth abortion bill and I will sign it, I will not veto it. Whether we're pro-life or pro-choice, Dr. Koop, for example, happens to be pro-choice, says there's never any need for this terrible, terrible, terrible procedure. It should not happen and I will sign to ban that procedure forever in the United States of America.",3374_6,0.16952308,FALSE,,uncertainty,neither,neither
0.238924556,0.761075444,"Together, We Will Make America Wealthy Again. We Will Make America Strong Again. We Will Make America Proud Again.",2016-08-30-arena-everett-washington_39,0.522150888,FALSE,,uncertainty,neither,neither
0.782024607,0.217975393,"So when you think about voting, early this week, voting next Tuesday, responsibility for our nuclear weapons is on the ballot. So is immigration. Do we want to round up millions of people who are here working, raising their families, as he has suggested he will do? I don't think so. I think what we want is to bring them out of the shadows so that they can't be exploited by employers like Donald Trump, who refused to hire Americans and hired undocumented workers so he could pay them less. I don't think that's right.",2016-11-03-dade-city-florida_8,0.564049214,FALSE,,uncertainty,neither,neither
0.373706735,0.626293265,"Hillary and our failed Washington establishment, they've spent that six trillion dollars. I mean, I'd love to have that money back, but I'd much rather have all those lives back—rather have all those lives. Love to have those lives back. But the Middle East is in bad shape folks, and it's getting worse, totally getting worse. They've dragged us into foreign wars that have made us less safe. They've left our borders wide open at home and they've shipped our jobs and wealth to other countries. And these are foreign wars that we don't win—we don't win. We don't win anymore, we don't win with trade, we don't win with wars, we don't win anymore. We're going to start winning again, you watch. We're going to start.",2016-11-02-amphitheater-miami-florida_73,0.252586531,FALSE,,uncertainty,exclusionary,exclusionary
0.657191817,0.342808183,"He was released again after the crime, and now he's out there at large. Sarah had graduated from college with a 4.0, top student in her class one day before her death. Also among the victims of the Obama-Clinton open borders policy was Grant Ronnebeck, a 21-year-old convenience store clerk and a really good guy from Mesa, Arizona. A lot of you have known about Grant.",2016-08-31-center-phoenix-arizona_14,0.314383634,FALSE,,uncertainty,exclusionary,exclusionary
0.424842632,0.575157368,"I want to make this system far more simple and transparent. You shouldn't have to hire lawyers to find out how to legally immigrate into the United States. And by the way, I want to shift our diversity visas to instead bring together immediate family members, and I want to structure our temporary worker visa programs so that these meet the needs of our employers. And by the way, if someone gets an advanced degree, I want them to stay here. So I'd staple a green card to their diploma.",2012-09-17-los-angeles-california_36,0.150314735,FALSE,,uncertainty,neither,neither
0.53166801,0.46833199,"As president, I will protect the sanctity of life. I will honor the institution of marriage. And I will guarantee America's first liberty: the freedom of religion.",2012-08-30-national-convention-tampa_54,0.06333602,FALSE,,uncertainty,neither,neither
0.12776832,0.87223168,"Then there is the issue of security. Countless innocent American lives have been stolen because our politicians have failed in their duty to secure our borders and enforce our laws like they have to be enforced. I have met with many of the great parents who lost their children to sanctuary cities and open borders. So many people, so many, many people. So sad. They will be joining me on this stage in a little while and I look forward to introducing, these are amazing, amazing people.",2016-08-31-center-phoenix-arizona_12,0.744463359,FALSE,,uncertainty,exclusionary,exclusionary
0.370567577,0.629432423,"The damage and devastation that can be inflicted by Islamic radicals has been proven over and over – at the World Trade Center, at an office party in San Bernardino, at the Boston Marathon, and a military recruiting center in Chattanooga, Tennessee. And many, many other locations. Only weeks ago, in Orlando, Florida, 49 wonderful Americans were savagely murdered by an Islamic terrorist. This time, the terrorist targeted LGBTQ community – no good and we're going to stop it.",2016-07-21-national-convention-cleveland_38,0.258864847,FALSE,,uncertainty,exclusionary,exclusionary
0.106583541,0.893416459,We Will Make America Safe Again. And We Will Make America Great Again.,2016-08-30-arena-everett-washington_40,0.786832917,FALSE,,uncertainty,neither,neither
