,Unnamed: 0,Speech_id,par_id,text,party,term,comp,label,drawn,high_pride_yl,low_pride_yl,auth_yl,high_pride_bb,low_pride_bb,auth_bb,disagree
12,12,3232,17,"Now, let me say one other thing. Mr. Lampson's opponent and a lot of other people made a lot of headway four years ago, going out to Texans and to people in my home state and around the country saying, well, that fool President's trying to take your gun away. That's what that Brady Bill's all about. That's what that assault weapons ban's all about. He wants to take your gun away. He's going to interfere with your Second Amendment rights. And you know, no one knew in 1994, and it was pretty scary.",dem,1996,FALSE,not populist,randomly,0,0,0,0,0,0,0
13,13,3365,23,"Let me say a word--I don't see any seniors here. But if one shows up, I want you to pass this on. He talks about Medi--well, Medi-scare, we call it--he talks about Medicare and what Bob Dole would do to Medicare and what I would do to student loans.",rep,1996,FALSE,not populist,randomly,0,0,0,0,0,0,0
14,14,1945,22,"Let's say to these men of little faith, the doubters and the critics, who sometimes become frustrated and other times become bitter--let's say, """"Let's turn the other cheek,"""" and say, """"God forgive them, for they really know not what they do."""" Here in New York, the leading state in the union, let all the people of all religions, of all ancestries, regardless of how they spell their name, of all colors, of all faiths--yes, of all parties--let us, as good Americans first, do not what is just good for the Democratic party, or the Republican Party. Let us on November 3rd go and do what each of us in our own conscience tells us is best for our beloved America.",dem,1964,TRUE,not populist,randomly,0,0,0,0,0,0,0
15,15,2012-10-11-rally-miami-florida,36,This is the choice that we now face. This is what the election comes down to. This is why I'm running for a second term as President.,dem,2012,FALSE,not populist,randomly,0,0,0,0,0,0,0
16,16,2004-09-22-remarks-latrobe-pennsylvania,32,"Audience members. Boo-o-o! The President. He wants the Government to decide. When it comes to health care, I want you to decide. More than half of the Americans who are currently uninsured are small-business employees and their families. We've got to change law to allow small firms to pool together so they can purchase insurance at the same discounts that big businesses get.",rep,2004,TRUE,not populist,randomly,0,0,0,0,0,0,0
17,17,2016-09-16-symposium-washington-dc,12,"We're going to fight for the parents struggling to balance family and work and push for affordable child care, paid family leave, and yes, finally, equal pay for women. We'll fight for the young girls who want a fair chance in life, which is why we'll make universal pre-k available so that every child -- no matter what they look like or where they live -- can rise up and be prepared to fulfill their academic destiny. We are also going to do a lot to emphasize STEM education, particularly for girls and women, and I thank the agenda for making that a priority!",dem,2016,TRUE,not populist,randomly,0,0,0,0,0,0,0
18,18,3090,11,"Now, I want you to listen closely to him this fall, but you're going to do that, because on issue after issue he takes one position and then another. He's been spotted in more places than Elvis Presley on these issues. Let me give you some specifics. Take the issue, the question of whether to stand up to Saddam Hussein, the defining test of American leadership in the post-Cold War world. Two days after Congress followed my lead--and I had to fight to get them to do that--he said, and I quote, """"I guess I would have voted with the majority if it was a close vote. But I agree with the arguments the minority made.""""",rep,1992,FALSE,not populist,randomly,0,0,0,0,0,0,0
19,19,2016-11-07-grand-rapids-michigan,21,"And now, now we've got to come together and we have to prove we can meet the chal-lenges of our time. We've got to get the economy working for everybody, not just those at the top. If you believe, as I do, that America thrives when the middle class thrives, then you have to vote tomorrow.",dem,2016,TRUE,not populist,randomly,0,0,0,0,0,0,0
20,20,2939,7,They want you to forget that when the South Dakota legislature flew to Washington they wouldn't talk to them.  Remember that? They want you to forget that the value of farm exports is down $15 billion over the course of the past eight years.,dem,1988,TRUE,not populist,randomly,0,0,0,0,0,0,0
21,21,2492,19,"We have our problems, but in the last two troubled years we've come a long, long way. Our long national nightmare is over; four million new jobs have been created in less than two years; inflation cut more than half; trust has been restored in the White House; America is at peace. At home as well as abroad; we are putting our old angers aside; we are putting our old problems behind us and healing our wounds.",rep,1976,FALSE,not populist,randomly,1,0,0,1,0,0,0
22,22,3116,18,"I need this change in Congress. The only defense I've had to help the taxpayer is vetoing thirty-three bills in the United States Congress, standing up for fiscal discipline. I'll tell you what, though: You give me that line-item veto; Congress can't do it. Then watch us get the job done. ",rep,1992,FALSE,not populist,randomly,0,0,0,0,0,0,0
23,23,2004-09-24-remarks-racine-wisconsin,8,"Listen, what I'm doing is I'm telling you thanks for the grassroots activists. All of the people who have put the signs and get on the telephones and encourage people to register and vote, thank you for what you're doing, and thank you for what you're going to do as you're coming down the stretch. We're going to carry the State of Wisconsin.",rep,2004,FALSE,not populist,randomly,0,0,0,0,0,0,0
24,24,907,4,"What ought to be done by government for the public welfare should be done. There should be no wistful dragging of the feet or turning backward to a dead, irrelevant past.  Government should be competent. Its personnel must not be under the heavy hand of purely political selection or influence. It must not be afraid of raising and spending money for worthy purposes, but it must detest and fear waste and dishonesty as ever present threats to the whole moral basis of government by the consent of the governed because people don't consent voluntarily to be cheated or abused. ",dem,1952,TRUE,not populist,randomly,0,0,0,0,0,0,0
25,25,2975,39,"As I mentioned earlier, a generation of wise men, bipartisan, of many different views, worked together forty years ago to lay the foundations of the post-war era. Now that we are facing a new world, a different era, it is time once more for Americans to come together. Because by working together, we can extend the horizons of a free and peaceful world.",rep,1988,FALSE,not populist,randomly,0,0,0,0,0,0,0
26,26,1903,45,"We're going to win because we have faith and because we have the support of the people and because we're builders and because we look forward to leaving this world a better place than we found it. Thank you for inviting us here. I wish I could stay all day, but I have two other engagements along the road down here in Arkansas and back in Texas tonight. But if you will invite me back sometime, I'll bring my boat and we'll have a good sail together.",dem,1964,TRUE,not populist,randomly,0,0,0,0,0,0,0
27,27,2075,46,"I want to tell you--I am not here to give speeches for mayors, but there isn't a mayor in America that has the resources that he needs for the jobs that need to be done.  And that is why we need federal aid to these cites.  And federal aid to the cities is helpful.  The property tax is breaking people in many of our cities.  And you know it.  The fairest tax is the progressive income tax.  That is the fairest one. ",dem,1968,FALSE,not populist,randomly,0,0,0,0,0,0,0
28,28,2063,19,"Three weeks from today, this nation will decide its future, not by force of arms, or by a coup d'etat, by the quiet, powerful force called the shuffle of ballots, entering the ballot box.  And I ask every person of voting age, and those who are not, to encourage all who are, to play your part in it. I entered politics some twenty years ago or more.  And the people who came into politics with me were called """"Humphrey's Diaper Brigade"""".  That's right.  We were a pretty young crowd.  And we are still around--a little the worse for wear, and maybe a little the better for some experience.",dem,1968,TRUE,not populist,randomly,0,0,0,0,0,0,0
29,29,1977,15,"It is not easy to keep the peace in the world, but for twenty years we have kept the peace.  We have turned back Communist aggression more than once.  We will continue to stand guard at freedom's gate.  This nation is respected because we use our strength with restraint, and we use our responsibility with judgment.",dem,1964,FALSE,not populist,randomly,1,0,0,1,0,0,0
32,32,2795,1,"I had an opportunity on the way here--on the plane--to talk to Ambassador Reg Bartholomew, who, although injured himself, expressed to me his pride on behalf of the dedicated Americans serving with him. And then, he was in the hospital and he said to me, """"We mustn't let things like this push us out of doing what we must do throughout the world."""" So, I know in this moment of anger and sorrow, our prayers are with those who are bereaved, and our commitment to peace remains firm. And I'm proud that our Americans in the Foreign Service, who are serving all over the world, are of the caliber and the quality that they are.",rep,1984,TRUE,not populist,randomly,0,0,0,0,0,0,0
33,33,2004-11-01-remarks-burgettstown-pennsylvania,10,The American President must lead with clarity and purpose. The role of the President is not to follow the path of the latest polls. The President must lead based on principle and conviction and conscience.,rep,2004,FALSE,not populist,randomly,0,0,0,0,0,0,0
34,34,1401,19,"This year, the soil bank is retiring over twelve million acres and earning a half million farmers more than $260 million dollars. When next year it retires forty to fifty million acres, overproduction will start coming under control. That means better times for every farmer.",rep,1956,FALSE,not populist,randomly,0,0,0,0,0,0,0
35,35,2000-10-30-remarks-muskegon-michigan,5,"Or we can just repeat the past like a broken record — letting the wealthiest Americans gorge themselves on tax cuts they don't need, and draining away the surplus you worked so hard to build. And I'm not going to let us be dragged back to sky-high deficits that would drive interest rates through the roof, and drive the economy back into a ditch. These are fundamental choices — not just about numbers and budgets, but about the character of our society.",dem,2000,TRUE,not populist,randomly,0,0,0,0,0,0,0
37,37,2012-10-05-rally-fairfax-virginia,25,"Now, my opponent has a different view. The other night, he said he'd repeal Obamacare as soon as he took office. Audience members. Boo!",dem,2012,TRUE,not populist,randomly,0,0,0,0,0,0,0
38,38,2070,14,"The crisis of our cities has come into full bloom.  There had been a festering crisis there for a long time, but now it is here and it cannot be ignored.  We are going to have to decide whether our cities are to be livable or whether we shall have to abandon them and we can't afford to abandon them because where shall we live?  We have to ask ourselves where are the next 100 million Americans going to live and how are they--how will they live?  There will be an additional 100 million Americans, you know, in the next twenty-five years.  Where are they going to live and under what conditions?",dem,1968,FALSE,not populist,randomly,0,1,0,0,1,0,0
39,39,2012-11-02-rally-lima-ohio,18,"Ruling out compromise, pledging to rubberstamp the Tea Party's agenda in Congress, not change. Trying to change the facts when they're inconvenient to your political campaign, that's definitely not change. That's what Governor Romney has been doing these last few weeks.",dem,2012,FALSE,populist,randomly,0,0,0,0,0,0,0
40,40,3293,21,"And more than anything else, you have to decide where we're going in the issues that will affect whether we can grow together. We did pass health care reform, but our balanced budget plan would give insurance to families who are between jobs for six months; would insure another million children; would give free mammograms to women on Medicare; would give respite care to the nearly two million American families caring courageously for a family member with Alzheimer's--all paid for. You get it in our balanced budget plan. They cannot do it. You have to decide.",dem,1996,TRUE,not populist,randomly,0,0,0,0,0,0,0
