,speech_par_id,text,bart_label,annotated_at,yuchen_label,,
10,2012-10-17-rally-athens-ohio_47,"I think that was a mistake. I think bringing our troops home—after all the sacrifices they've made in a distant country, all the sacrifices their families have made, it is time to make sure that we're doing some nation-building here at home. That's what I believe.",neither,1/27/21 0:19,neither,,
11,2008-09-22-green-bay-wisconsin_16,"I'll make our government open and transparent so that anyone can ensure that our business is the people's business. As Justice Louis Brandeis once said, sunlight is the greatest disinfectant. As President, I will make it impossible for Congressmen or lobbyists to slip pork-barrel projects or corporate welfare into laws when no one is looking because when I am president, meetings where laws are written will be more open to the public. No more secrecy.",neither,1/27/21 0:20,neither,,
12,1023_1,"And I like also to talk about--occasionally--about our Democratic platform and our program for the future. Fortunately, I don't have to explain our Democratic platform in this brief--all too brief--stop here this afternoon because you know what the Democratic platform stands for, and you know that one of the great advantages of being a Democrat is that you can stand on the Democratic platform. I am glad there are so many kids here who have read the Democratic platform. At least they know that we don't have any termites in our plank. We don't have any hatchet men hacking away at the pillars of our platform, either. We have been working on strengthening our Democratic program these past twenty years, adjusting it to changing needs, as needs have required. We want to carry on this forward work--these gains of the past twenty years--gains in the field of labor relations, in the field of agriculture, social security and civil rights. Our program calls for consolidating these gains and moving ahead to new accomplishments.",inclusive,1/27/21 0:27,inclusive,,
13,2995_4,"What guides each of you is a belief in a covenant that we all share to enrich the lives of those around you, to fight bigotry, to protect liberty. As the high holidays approach, each of you renews your commitment to your own covenant, and as the shofar marks this period of reflection, let us join together to renew our dedication to the values we share in common. America and Israel share a special bond. Our relationship is unique among all nations. Like America, Israel is a strong democracy, a symbol of freedom, an oasis of liberty, a home to the oppressed and the persecuted.",inclusive,1/27/21 0:28,neither,0,inclusive of Jews
14,2592_7,"The greatest black nation on earth, Nigeria, four years ago wouldn't let the Secretary of State of the United States cross their borders. Now they're among our staunchest allies. Their president was here not long ago--elected in free and open democratic elections with a government patterned after the Constitution of the United States. And recently, we've opened up a new trade, new advice, new counsel, new cooperation, in a peaceful way, one billion people in the People's Republic of China, the largest nation on earth. And we haven't lost, at the same time, trade advantages which are growing by leaps and bounds with the people of Taiwan.",neither,1/27/21 0:29,neither,,
15,1091_6,"I am here because this is indeed a campaign of all America and for all Americans. I am here because you have hope and faith in your country. On the basis of many years' experience in dealing with many nationalities and their leaders throughout the world, I know we can develop programs designed to lead our country to a secure peace.",neither,1/27/21 0:29,neither,,
16,3287_69,"Think of how sad it is that in the Holy Land, the home of the world's three great monotheistic religions, people still cannot lay down their hatred of one another. Think how sad it is that in the home of my ancestors--Ireland--full of young, brilliant people bursting at the seams for new opportunity in Northern Ireland, people still cannot lay down their religious differences and their arguments about incidents that occurred centuries ago. Think about how sad it is that in Bosnia, people who are biologically indistinguishable kill one another's children with reckless abandon. Or in Rwanda, Burundi, the Hutus and the Tutsis--both of them with no money really to speak of to further their dreams and help their children--instead of cooperating, slaughter each other at record rates.",neither,1/27/21 0:33,neither,,
17,2016-08-15-university-youngstown-ohio_54,"That is why one of my first acts as president will be to establish a commission on radical Islam, which will include reformers voices in the Muslim community, who will hopefully work with us. We want to build bridges and erase divisions. The goal of the commission will be to identify and explain to the American public the core convictions and beliefs of radical Islam, to identify the warning signs of radicalization, and to expose the networks in our society that support radicalization. This commission will be used to develop new protocols for local police officers, federal investigators and immigration screeners. And while I'm at it, we should give a hand to our great police officers and law enforcement officials. Thank you. Thank you.",neither,1/27/21 0:35,neither,,
18,1398_38,"We cannot encourage economic strength in other lands if we, for political expediency, again let loose forces of inflation that would weaken our own economy. We cannot urge unity of purpose upon all free nations if we ourselves were to think and act, not as one people, but as a divided and discordant nation. And we cannot claim the trust of hundreds of millions of people across Asia and Africa if we, in a free America, do not ourselves hold high the banner of equality and justice for all. All this is what I meant when I said, three years ago: """"Whatever America hopes to bring to pass in the world must first come to pass in the heart of America.""""",inclusive,1/27/21 0:36,neither,0,"""equality and justice for all"" seemed a bit more inclusive than vague references to ""all Americans"", but I can be convinced otherwise"
19,2817_1,"You know, last night we had a little sparring in the political arena. But whether I won them or not, I know now that I have won the fruits of victory, because I get to be with all of you. And I can truthfully say, """"Nothing could be finer than to be in Carolina in the morning.""""",neither,1/27/21 0:36,neither,,
20,2016-10-31-park-cincinnati-ohio_11,"And think about the difference between electing a president who will do nothing and president who will tackle the epidemic of gun violence in America. As Gabby knows so well, 33,000 Americans a year are killed guns. Thousands more are injured. It's an average of 90 people a day dying. Here in Ohio more people are killed by guns than die in car crashes. We have seen moviegoers gunned down in theaters, little children killed in their classrooms, clubgoers massacred in Orlando, nine faithful people murdered at Bible study in Charleston, South Carolina. And we've seen far too many young African American men and women killed by gun violence, which is now the leading cause of death for young black men. And when we think about that, we think of Dontre Hamilton or Jordan Davis or Trayvon Martin and others. I've had the great honor of getting to know their mothers, who have turned their grief into action and their mourning into a movement.",neither,1/27/21 0:37,neither,,
21,2004-11-01-remarks-burgettstown-pennsylvania_37,"The President. There is a mainstream in American politics, and John Kerry sits on the far left bank. He can run from his record, but he cannot hide.",neither,1/27/21 0:37,neither,,
22,1025_3,"You know, I used to think of upstate New York as being predominantly Republican, but I guess that was before it was so hard to tell what the Republican party is and what it stands for. It's getting too close to supper time to feel very critical about anything or to speak very harshly about anybody, but it is pretty hard to ignore the fact that less than two weeks before election, we don't yet know what the Republican party's position really is on most anything. We know, for example, where they stand, however, on the question of a new labor relations law--they stand right where they have been standing for the past five years. When we look at some of the other major issues, we find in one case after another that we just don't know what their position is. We don't know on the issue of civil rights, for example, whether what the Republican candidate really believes is what he says when he is in the South or what he says when he is in the North or what he used to say when he was in the Army.",neither,1/27/21 0:37,neither,,
23,2610_14,"And I can tell you this: that had it not been for the Constitution of the United States, we would not have the largest and most influential and perhaps the most economically sound black nation on earth, Nigeria, now a democracy, an ally of ours, whereas shortly before I became president, the Secretary of State of the United States was not permitted to come into that country on an official visit. And it was done with the influence of the people there. I don't want to claim credit for it. But when they got ready to have a change from a military government, one of the kindest and best and most unselfish military governments I ever saw, into a freely elected assembly, with a Prime Minister that visited me in this room not long ago, they used the United States Constitution as a pattern after which they could predicate their own government.",neither,1/27/21 0:38,neither,,
24,2003_6,"I know that the man that you honor tonight is one whose life has been characterized by service and, believe me, there is no higher calling than to serve someone else, to be a man of tolerance, to be a person of reason, to be one who has patience, or understanding, not only of the needs of others, but a need and understanding of his limitations, his own great assets, and of his own service. I have a feeling that if we can get the American people to listen in this fateful year of 1968, to listen and to think, to reason to reason rather than to just be caught up in the passions of the moment, that we are going to come out all right. I am not unmindful of the conflicts and of the tensions and, in some places, the bitterness that erupts into violence.  But you know and I know that none of that will provide an answer to anything.  There is no problem in this nation that will be solved by uncontrolled passion and emotion, by violence, either of the mob or of an individual, by hate and bitterness.",neither,1/27/21 0:39,neither,,
25,2004-10-09-remarks-chanhassen-minnesota_33,"In a world of change, there's some things that will not change, the values we try to live by, courage and compassion, reverence and integrity. In times of change, we'll support the institutions that give our lives direction and purpose, our families, our schools, our religious congregations. We stand for a culture of life in which every person matters and every being counts. We stand for marriage and family, which are the foundations of our society. We stand for the appointment of Federal judges who know the difference between personal opinion and strict interpretation of the law.",neither,1/27/21 0:39,neither,,
26,2012-09-08-rally-seminole-florida_19,"But let me tell you something. When our opponents say this Nation is in decline, they are dead wrong. This is America. We still have the best workers in the world and the best entrepreneurs in the world. We've got the best scientists and the best researchers. We've got the best colleges and the best universities. We are a young nation with the greatest diversity of talent and ingenuity from every corner of the globe. So no matter what the naysayers may say for political reasons, no matter how dark they try to make everything look, there's not a country on Earth that wouldn't gladly trade places with the United States of America.",neither,1/27/21 0:39,neither,,
27,2013_36,"And I think we ought to keep them both out of office.  We have had ninety consecutive months of continued economic growth in this country without a single recession, ninety consecutive months in the last eight years since John Kennedy said, let's get this country moving again, and we have kept it moving, with Kennedy and Johnson and Johnson and Humphrey and we are going to keep it moving even better with Humphrey and Muskie. Now, what happened to your family paycheck?  I can tell--if I would go down and talk to the ladies--they keep pretty good tabs on that, fellows--I will tell you what happened.  Let's talk about that take home pay.  Never mind all those fringe benefits for a while.  Let's talk about take home pay and we take out of that now, that is the taxes out and that is with inflation out of it and here is what happened.  Personal income and paychecks for a family of four went up three times faster during Democratic years than during the Nixon Republican years when Mr. Nixon was a part of that administration, and the difference was $3000 per family per year. Now, that is too much to pay for Mr. Nixon.    ",neither,1/27/21 0:39,neither,,
28,2016-08-30-arena-everett-washington_15,Freedom from violence is one of the great civil rights issues of our time. So too is the issue of school choice. We will fight for the right of parents to send their kids to the school that they believe gives their kids the best shot at success.,neither,1/27/21 0:40,neither,,
29,2038_30,"Now, I am going to share a little intimacy with you.  I belong to a country club or so, and I have young people, a young man that is my son, that is a businessman.  He goes around with young folks and most of them say they are Republicans.  He said, """"Dad, that bothers me.  Why do they always do that?  I feel like a sort of black sheep.""""",neither,1/27/21 0:40,neither,,
30,1801_3,"Now, I'm going to make a campaign promise.  It's going to be awfully hard to keep.  But Al Cretella, about twice a year, comes down to my office in Washington and brings me a hat.  He tells me that the hatmakers up here in Connecticut believe that at least the top officials of this government ought to wear a hat.  The reason I don't wear a hat is I leave them in airplanes, in cars, and every place.  But I promise to Al when we win this election I will wear a hat if you'll bring me another one.",neither,1/27/21 0:40,neither,,
31,1953_25,"It is a party of freedom, of democracy, and of good faith. Today, it has the confidence of the British people. It also has ours.",neither,1/27/21 0:40,neither,,
32,2070_16,"Those are questions that you are going to have to answer and the man you elect as president is going to help you answer those questions. We have to ask ourselves, will our children grow up--in other words, when one race is pitted against another, where violence, tension and fear are part of the life of our everyday life, will our children grow up in a world where we are bent on burying ourselves in a pile of nuclear weapons and where we raise the level of danger to a point that drives people to madness?  Or are we going to grow up in a society that has pledged itself to the peaceful resolution of its problems?",neither,1/27/21 0:41,neither,,
33,2004-09-24-remarks-racine-wisconsin_34,"In a world of change, some things won't change, the values we try to live by, courage and compassion, reverence and integrity. In times of change, we will support the institutions that give our lives direction and purpose, our families, our schools, our religious congregations. We stand for a culture of life in which every person matters and every being counts. We stand for marriage and family, which are the foundations of our society. I stand for the appointment of Federal judges who know the difference between personal opinion and the strict interpretation of the law.",neither,1/27/21 0:41,neither,,
34,2950_6,"That's as good a summation of the American attitude as I have ever heard. We know who's representing us--and the other day I jotted down some thoughts on what it is you're representing. You're representing the country of the little guy--the country where, no matter what the circumstances of your birth or background, you can go anywhere and do anything. In fact, it's so much the country of the little guy that people rarely use that phrase, because in a true democracy there are no little guys--only fellow citizens equal in the eyes of the law and the eyes of God.",inclusive,1/27/21 0:41,inclusive,,
35,2016-10-22-eisenhower-complex-gettysburg_36,"FOURTH, I will direct the Secretary of Commerce and U.S. Trade Representative to identify all foreign trading abuses that unfairly impact American workers and direct them to use every tool under American and international law to end those abuses immediately. FIFTH, very importantly I will lift the restrictions on the production of $50 trillion dollars' worth of job producing American energy reserves, including shale, oil, natural gas and clean coal and we will put our miners back to work. SIXTH, I will lift the Obama-Clinton roadblocks that allow for this vital energy infrastructure projects to forward. We have roadblocks like you've never ever seen. Environmental blocks, structural blocks, we're going to allow the Keystone Pipeline and so many other things to move forward. Tremendous numbers of jobs and good for our country.",neither,1/27/21 0:42,neither,,
36,2004-09-07-lees-summit-missouri_35,"In this world of change, there are some things that aren't going to change, the beliefs that we—the values we try to live by, our basic beliefs, courage and compassion, reverence and integrity. In times of change, we must support institutions which give us stability, our families, our schools, our religious congregations. We stand for a culture of life in which every person matters and every being counts. We stand for marriage and family, which are the foundations of our society. We support the religious charities and community-based organizations that provide a safety net of mercy and compassion. I stand for the appointment of Federal judges who know the difference between personal opinion and the strict interpretation of the law.",neither,1/27/21 0:43,neither,,
37,2381_1,"A few weeks ago, I spoke to the National Convention of B'nai B'rith, and I expressed my commitment there, in the best terms that I could, to basic human rights throughout the world, to an end to legitimatized boycott that has been permitted by the leaders of our country. A few days later, I was followed by the president of this country, Gerald Ford, who expressed his similar commitment to stamp out the disgraceful circumstances that exist with the Arab boycott. Recently, we have seen a reversal of his position, and I think perhaps a more accurate expression as the House and the Senate have struggled to make illegal and to expose the pressures that are put on American citizens, American businesses, to force them to leave off Jewish participation in the management of these corporations if they want to trade with Arab countries. This administration has gone along, and as you well know, eight or ten different leaders in the executive branch of government, with the acquiescence or instructions of the president, have testified against terminating the Arab boycott. This hurts you especially as Jews, but it hurts me too, and it hurts our country. I see no reason why we should let a foreign nation through economic pressure circumvent or abrogate the Bill of Rights of the United States. ",inclusive,1/27/21 0:44,inclusive,,
38,2005_17,"I have also told you some things about my sense of values and I want to represent them to you tonight so that you may know your candidate and you may know what I believe and why I think winning the presidency so important.  To be sure, no greater honor or greater responsibility could come to anyone, but winning the presidency is not worth the price of silence or evasion, and the most fundamental and precious issue of our time is the issue of human rights and human dignity and equal opportunity. I have not compromised on this issue for twenty years in my public life and I have no intention of starting it at this later date.",neither,1/27/21 0:44,neither,,
39,2004-10-19-petersburg-florida-0_48,"In a time of change, some things do not change, the values we try to live by, courage and compassion, reverence and integrity. In times of change, we must support institutions that give our lives direction and purpose, our families, our schools, our religious congregations. We stand for a culture of life in which every person matters and every being counts. We stand for marriage and family, which are the foundations of our society. We stand for the appointment of Federal judges who know the difference between personal opinion and the strict interpretation of the law.",neither,1/27/21 0:44,neither,,
40,1073_14,"So, for example, Congress passed in 1946 the Employment Act. Its purposes were to enable the government to plan ahead and take precautionary steps to prevent depression. It is part of our insurance program.",neither,1/27/21 0:44,neither,,
41,2262_9,"It is time to remember that those who suffer and die at our hands in a war that is wrong are created in the image of God just as we are. And in remembering that, we can perhaps begin to remember also that America was founded on the faith that all people are created equal--that they are endowed with inalienable rights of life, liberty, and the pursuit of happiness. And it is this faith which I want America to come home to in 1972.",inclusive,1/27/21 0:45,neither,0,"Here too, ""equality"" is what swung me toward inclusiveness (despite the reference to God)"
42,2008-10-29-miami-florida-2_8,"After months of campaign trail eloquence, we've finally learned what Senator Obama's economic goal is: to spread the wealth. In a radio interview revealed this week, he said the same thing -- that one of the quote, """"tragedies"""" of the civil rights movement is that it didn't bring about """"redistributive change."""" You see, Senator Obama believes in redistributing wealth, not in policies that grow our economy and create jobs. He said that even though lower taxes on investment help our economy, he favors higher taxes on investment for quote """"fairness."""" There's nothing """"fair"""" about driving our economy into the ground. We all suffer when that happens, and that is the problem with Senator Obama's approach to our economy. He is more interested in controlling wealth than in creating it, in redistributing money instead of spreading opportunity. I am going to create wealth for all Americans, by creating opportunity for all Americans.",neither,1/27/21 0:45,neither,,
43,2569_10,"And the other request I have to you is to remember that although we've made great strides forward in making available to Americans eight-and-a-half million more new jobs, 1.3 million of those jobs being for black people, we still have an extremely high unemployment rate among young minority citizens of this country. We must provide additional help for them, because as the economic recovery takes place, many people can go back to the jobs they had, but too many young black Americans have never had a job to which they can return. And a $2 billion program on our youth bill now before the Senate must pass. That's the other item on the agenda that I want to discuss with you, and I ask you to join with me as a full partner in getting this legislation passed.",inclusive,1/27/21 0:46,inclusive,,
44,2385_19,"I intend for the Justice Department to pursue policies that will provide equal justice in America. The American people are sick of seeing a double standard of justice. The corporate executive and the petty thief must go before the bar of justice knowing that the law will treat them both fairly, impartially and firmly.",neither,1/27/21 0:46,neither,,
45,3291_8,"In Bosnia, a place where the ethnic groups are divided into three by accident of political and military history, not because they are biologically distinguishable, they're still fighting over their differences. Science has not gotten in the way of believing that they are inherently different. That's what they believe. In Africa today, where Hutus and the Tutsis share poor lands, with poor children who desperately need the product of earnest, sustained, loving, cooperative labor, somehow find it more profitable to slaughter each other and make the land poorer.",neither,1/27/21 0:46,neither,,
46,2714_28,"Last month, in Dallas, Mr. Reagan attacked those of us who are trying to preserve the separation of church and state.  He supports a constitutional amendment instituting school prayer, with the prayers chosen by local politicians.  In Dallas, he said that anyone who opposes that amendment is """"intolerant"""" of religion.",inclusive,1/27/21 0:46,inclusive,,
47,3369_39,"And the Clinton record on Radio Marti, on Radio and TV Marti, is also an insult to everyone who wants to see the return of freedom to Cuba. His own hand-picked chairman of international broadcasts has publicly stated that TV Marti should, quote, """"go away."""" He complains that the Cuban-American community has undue influence on Radio Marti. Well, on November 5, the proud patriotic Cuban-American community is going to use its influence to send a message to Bill Clinton. The only thing that's going to go away is Bill Clinton and his soft-on-Castro team of advisers.",inclusive,1/27/21 0:47,inclusive,,
48,1961_4,"We have collective bargaining that gives our workingman an equal chance. We have equality for all Americans, and special privilege for none. We have some of the best education bills any Congress has ever passed. We have some of the best health care bills any Congress ever passed, and we are going to pass medical care when the Congress gets back there, under social security.",neither,1/27/21 0:47,neither,,
49,2012-09-21-las-vegas-nevada_33,"And sometimes the — the innovativeness just — just inspires me. Why, Debbie Summers , right here in Las Vegas — you probably don't know Debbie — she's in the furniture rental business. You know her. She — furniture rental — she — — she rents a — she rents furniture to conventions that come here and to nightclubs and so forth. I went to her warehouse. It — it looked to me like what she rents are black Naugahyde sofas and — and black coffee tables. And — and after President Obama said not to come here for company meetings, her business totally dived.",neither,1/27/21 0:47,neither,,
50,1402_25,"Q. Dr. J. C. Austin: This is Austin from Chicago, pastor of the Pilgrim Baptist Church for over thirty years. I was in the Democrat party for twenty years, and you brought me out. There are many fine points of your life and your administration I admire. But one stands out above everything else with me.",neither,1/27/21 0:48,neither,,
51,3259_38,"Now, let me give you an example of what can be done. And I want every one of you to think about whether your church, your synagogue, your mosque, your Islamic center could participate in this. Under the law now, it is now legal for every state in the country to say to any employer, including a religious institution, if you will add one person to your work force and you will pay them something about the minimum wage and guarantee them a job for a while, you can have their welfare check as a wage supplement.",inclusive,1/27/21 0:48,neither,0,Inclusive of multiple faiths
52,2078_6,"Last year one million of our black Americans, the Negro Americans, came out of poverty--one million of them.  We have doubled in this country, for example, the number of people, of black Americans, that have been able to finish their high school training and move on into college, in the last five years.  Twelve million Americans that were once relief clients, on welfare, nonproductive, tax-consuming--twelve million of them now in the last eight years have become productive, taxpaying citizens in this country.",inclusive,1/27/21 0:48,inclusive,,
53,3359_53,"Thank you. Give America back to the people. That's it. Trust the people. Trust the people. That's another basic difference. You know, I carry around in my pocket--I've got it right here--a copy of the 10th Amendment of the Constitution. It's only 28 words long. It's been around over 200 years... Article 10 of the Bill of Rights.",neither,1/27/21 0:48,neither,,
54,2948_3,"I'm for an aggressive, no-nonsense approach to cleaning up toxic waste dumps. I'm for strengthening enforcement action against dumpers and streamlining the bureaucracy that sometimes slows down our cleanup efforts. I'm for a ban on the ocean dumping of sewage sludge after 1991, and a strong effort to track disposal of medical waste.",neither,1/27/21 0:52,neither,,
55,2004-10-14-point-oregon-0_40,"These are changing times, but in a time of change, some things do not change, the values we try to live by, courage and compassion, reverence and integrity. In changing times, we will support the institutions that give our lives direction and purpose, our families, our schools, our religious congregations. We stand for a culture of life in which every person counts and every being matters. We stand for marriage and family, which are the foundations of our society. We stand for the appointment of Federal judges who know the difference between personal opinion and a strict interpretation of the law.",neither,1/27/21 0:52,neither,,
56,1932_22,"I want us to wipe poverty off the face of the South--and off the conscience of the nation. I want us to assure our young the best of education at every level and the expectation of a good job in their home state when their school years are through. I want us to assure our aged that when they need hospital care, they will have it, and they will have paid for it in advance, by themselves, and with the help of their employers, under social security.",neither,1/27/21 0:52,neither,,
57,2174_12,"The point is that in jobs, housing, education, and more fundamentally in those intangible but vital factors of motivation and pride and dignity, these people had actual, functioning programs that had changed the lives of tens of thousands of people--and they had done it through voluntary effort. What they have done can be multiplied, and it must be. In the course of that meeting in Detroit, a question that strikes at the heart of America's need was trenchantly put--in three simple words--by a remarkable young Negro school teacher, Mrs. Carole Williams. She was describing what had led her, a year ago, to establish a Volunteer Placement Corps for graduates of Detroit's ghetto high schools.",neither,1/27/21 0:53,neither,,
58,2005_54,"And what happened to the savings after the war was over?  The savings from the war went into tax reductions and you had three recessions in eight years and no real development in this nation. VOICE FROM THE FLOOR:  You also note that because of the fact that so many black people have been hired by private industries as extras for the war boom, wouldn't you say that this would throw off more black people and create more riots than if you continue the war economy as it is?  Wouldn't this cause more riots--and more funds would be needed for riot control?",neither,1/27/21 0:57,neither,,
59,2393_3,"I appreciate this opportunity to meet with you who for more than thirty years have done so much to advance the cause of social justice in America. After next January the 20th, I intend to work with you to restore to our government competence, compassion, and a commitment to equal justice that we have been so often lacking in the last eight years, and you can depend on that. I was told that in the history of your party I'm the first Southerner to come and speak to your annual banquet. And I hope that I won't be the last Southerner to come here. We've had in our country too much of stereotypes, and if I do become president, one of the things I hope to accomplish will be to break down many of the old stereotypes about liberals, conservatives, about obstacles that have been in the path of progress and have discouraged serious political discourse throughout the country for too many years. In New York State there has been an opportunity, a climate, an atmosphere for tough constant debate about issues that are so crucial to the welfare of our people.",inclusive,1/27/21 0:58,neither,0,"""social justice"" and ""equal justice"""
60,2923_19,"These partnerships are the key to opening the door of home ownership to young families and first-time homebuyers in communities all over America. And the housing community is ready to work with us. I know, because I've seen it happen in my own state.",neither,1/27/21 0:58,neither,,
61,2012-09-17-cincinnati-ohio-0_47,"Audience members. No! The President. Now, rebuilding our economy is essential. But our prosperity at home is also linked to our policies abroad. And current events—the events of the past week—obviously remind us of that. Now, 4 years ago, I promised to end the war in Iraq, and we did. I said it's time for us to start winding down the war in Afghanistan, and we are. We've got a new tower rising above the New York skyline, even as Al Qaida is on the path to defeat and Usama bin Laden is dead.",neither,1/27/21 0:58,neither,,
62,3039_22,"In the Civil War, Abraham Lincoln was beset on all sides by people who said, """"Give up the United States of America. Let it go. Let this country be divided. Who cares? It's not worth all the sacrifice."""" And he literally laid down his life for the proposition that we were one nation, indivisible, under God--that all people were created equal. And he said, """"We can do better than this."""" We can do better.",inclusive,1/27/21 0:58,inclusive,,
63,1808_13,"Some of these you could well say are not religious beliefs.  Some of these ideals that I have described are and can be held by men who have no religious faith.  But let me say that, based on what I have seen in my travels about the world, America must never forget that this critical period of the sixties is going to be a test of faith as much or even more than it is a test of arms.  And on our side will be our faith in God, the faith of all men and all women in this country in God, and on our side that faith will prove to be decisive.",neither,1/27/21 0:59,neither,,
64,2004-09-04-remarks-erie-pennsylvania_27,"Now, this is a changing world. We've got plans to stand side by side with the people and the families of America so they can realize their dreams. But in a changing world, some things won't change, the values we try to live by, courage and compassion, reverence and integrity. In a changing world, we must support the institutions that give us purpose, our families, our schools, and our religious congregations.",neither,1/27/21 0:59,neither,,
65,2997_39,"Millions of energetic young men and women serving their country by teaching the children, policing the streets, caring for the sick, working with the elderly or people with disabilities, building homes for the homeless, helping children to stay off drugs and out of gangs--giving us all a new sense of hope and real limitless possibilities. I've offered this plan to help more young people go to college but I've also offered it because I want America to send a message that our society values and honors service to community, just as Harry Truman's GI bill honored the service of my father's generation, who fought and won World War II; just as the Peace Corps, which President Kennedy created with the help of your former president, Father Hesburgh; and Senator Wofford, sent that message to my generation. Just as millions of Americans from all backgrounds and every walk of life are waiting for a summons to service and to citizenship, not just for young people that are going on to college but for young people in our high schools and people of all ages who want to do something for their communities and for their country.",neither,1/27/21 1:00,inclusive,0,"""all backgrounds"" is a bit vague"
66,3304_24,"Our Founding Fathers were concerned about an all-powerful central government, and that's why they included the 10th Amendment, which has been around a couple hundred years. It's part of the Bill of Rights--it's number ten. And we dusted that off a few years ago, a lot of us in Congress, including some Democrats, and said, """"Wait a minute, why are we taking more and more and more power away from the states? Why are we taking more and more power away from the people?"""" We are going to give power back to the states and back to the people, because I think our Founding Fathers had a great deal of wisdom when they wrote that into the Constitution in the first place.",neither,1/27/21 1:00,neither,,
67,2016-10-05-pavilion-henderson-nevada_33,"At the same time, our country is being infiltrated by terrorists. Just two days ago, an immigrant from Bangladesh was charged in another ISIS plot. Hundreds of immigrants from high-risk regions have been implicated in terrorism inside the United States since 9/11.",neither,1/27/21 1:01,neither,,
