,speech_par_id,text,label_bart,label_oscar,agreement,label_yuchen,,final_label
40,1127_37,How well you men of labor must know this to be true!  Workers always and everywhere have been the chosen targets of the demagogue.  How many twisted and ambitious schemers have dreamed of climbing to power on the backs of the workers of the world!  They have had these dreams wherever the backs of men have been bowed by poverty and despair.,populist,not populist,FALSE,populist,,
44,2016-10-12-pavilion-ocala-florida_19,"This corruption and collision is just one more reason why I will ask my Attorney General to appoint a special prosecutor. Our country has never been so low. In addition to a special prosecutor to look into what happened and all of the corruption, and all of the we'll say so called crime.",populist,not populist,FALSE,populist,,
47,2016-08-09-north-carolina-wilmington_28,"Let me get the nomination, please. And then I took a lot of heat from the press, the world's most dishonest people, by the way. Those cameras will not move and show how many people are in this auditorium. Those cameras -- those cameras are not going on the move unless we have a protester, is there a protester up there in the quota? Any protesters?",populist,not populist,FALSE,populist,,
58,2276_0,"Yesterday on """"Meet the Press,"""" my wife said that the current administration was the most corrupt administration in recent history. I agree with that--with one modification. I would leave out the word """"recent.""""",populist,not populist,FALSE,populist,,
60,1243_12,"Now, let us not pretend that, with the Communist menace abroad in the world, we can have the perfect peace for which we so desperately long, but you and I have a right to hope, not fear, for the future.  We have a right to a steady, clear-headed leadership by able and devoted men and women who will work unceasingly and effectively toward a true and lasting peace.  These are harrowing times, and our hearts are troubled by the thoughts of our boys--yours and mine--now in Korea.  We have a right to be deeply worried by the terrifying possibility that the same leadership that allowed us to drift into the Korean war might bungle us into still greater conflict.  We have a right to be distrustful of a leadership that has allowed the Godless red tide of communism to engulf hundreds of millions of people who were our friends and our allies.  We have a right to be suspicious of the judgment of an administration which failed to see the red stain seeping into the most vital offices of our government.",populist,not populist,FALSE,not populist,,
66,3343_39,"They were worried about an all-powerful central government that got so powerful, it could strip your rights away through taxation or not compensate you for private property they might be taking. That's what they were concerned about. This all-powerful central government. And there isn't a person here, regardless of your party, who wouldn't agree that there's been too much power shifted to the federal government. Why not send it back to these outstanding governors we have here today?",populist,not populist,FALSE,not populist,,
70,2273_18,"First of all, I would appoint a secretary of the interior and an assistant secretary who would put the public interest first and foremost--and that would be men and women who know the West and who know where our resources lie. Second, I will appoint to the Federal Power Commission members who will look after the national interest and not the special privileges of the people they are supposed to regulate.  Third, I will appoint an attorney general who will vigorously enforce the antitrust laws and halt the growth of monopoly concentration in our economy. ",not populist,populist,FALSE,not populist,,
74,1241_3,"My only word to them this morning, my special word, is this:  If I am lucky, I have twenty years to enjoy the United States.  If you are lucky, you have sixty.  Now, in those two figures are represented the relative stakes that you young people and my generation have in this country.  You are going to be wherever our country goes, and you must take extraordinary care.  You must study carefully where you want it to go.  Do you want it to go along with an overcentralization of power in Washington, the kind of directing and fraternalistic government that takes more and more power into its own hands and correspondingly robs you of more and more independence, initiative, the earning and the keeping of the profits of your own labor?  If you want to take it into your own hands, then I advise strongly that you examine carefully where we are going today.",populist,populist,FALSE,not populist,,
75,2300_25,"I spelled out what I saw as the greatest single roadblock to peace--Mr. Nixon's unfailing acceptance of General Thieu's orders--his willingness to place the power of this corrupt dictator ahead of freedom for our prisoners, life for our soldiers, and an end to the war. I also outlined my program for peace. It called for an end to the bombing, an end to the shelling, and withdrawal in ninety days' time. It accepted the North Vietnamese offer to free our prisoners as we withdraw.",populist,not populist,FALSE,populist,,
76,1291_5,"Finally, they would have a record of just sheer crookedness in government.  Nine of our principal collectors of Internal Revenue have been relieved for malfeasance in office.  Some are behind bars, unfortunately, I think, for too short a time.  But again, it was only the persistent struggling by committees of Congress that got this government to move.",populist,not populist,FALSE,populist,,
83,2174_2,"It is small wonder that more and more people, and not only the young, are in a mood of open revolt against the machinery and the men of government--against an increasingly impersonal bureaucracy, a top-heavy Washington, a statistical model of services that dehumanize man and perpetuate a cycle of dependency. Program after program aimed at establishing domestic tranquility and securing the general welfare has had almost the opposite effect--less tranquility and more violence, more public welfare and less personal well-being. As government has strained to do more, our people have felt constrained to do less. The more the federal government has tried to solve all of our problems, the more it has seemed to fail.",not populist,populist,FALSE,not populist,,
86,1281_4,"Here I want to make my special salute to the oldest living veteran of the war between the states, Commander James Howard.  I would like to leave here some assurance of my respect and devotion to such a. Now, you know something of the record that this administration has piled up in the last two years, and you know how impossible it is for the opposition candidate to bring that record to you and ask you to give them a new lease on power in Washington on the basis of that record.  Why should they come to you and say, """"Yes, we have failed in leading you toward peace.  Yes, we have spent your money extravagantly and wildly.  We have established expenditures programs that we cannot meet.  We have deficits that have cheapened our money and pushed prices up to an unconscionable height.  We have disloyalty in government.  We have some chicanery and crookedness, some plain thievery in government.""""  How can they come to you with a record like that?  So what do they do?  They have been selling you a campaign of fear and hate.  They create bigotry by accusing others of it.  They have accused me of bigotry.  They have said nobody who has his origins or his kinship with people of eastern or southern Europe could expect any sympathy or decency from me.  I declare to you, I have more friends in those areas than any other American I now.  Those people and I have worked together, fought together.  We are friends.  Why should such a charge be launched against me except in the hope of creating schism, disunity and bigotry?",populist,not populist,FALSE,populist,,
88,3047_7,"He talks about obeying the law, and the CIA and the Justice Department are fighting about which one of them lied to a federal court about the Iraq scandal. He used three political cronies in the State Department to investigate my 23-year-old passport files, which is okay, but then those people started investigating my mother. I'll tell you this. Now, you don't have to worry about my mother. She's handled a lot tougher people than George Bush in her life.",populist,not populist,FALSE,not populist,,
90,2016-10-12-pavilion-ocala-florida_107,"And I said to her in the second debate, I said let me ask you a question. Let me—and by the way, you know that so-called Commission on Presidential Debates, the head guy used to work for Bill Clinton. Did you know that? I just found that out. The head guy worked for Bill Clinton. What a rigged deal this is. But here's the story. I have no respect for that group by the way, I have none. It sounds good. Presidential commission, give me a break.",populist,not populist,FALSE,not populist,,
91,2008-09-22-green-bay-wisconsin_16,"I'll make our government open and transparent so that anyone can ensure that our business is the people's business. As Justice Louis Brandeis once said, sunlight is the greatest disinfectant. As President, I will make it impossible for Congressmen or lobbyists to slip pork-barrel projects or corporate welfare into laws when no one is looking because when I am president, meetings where laws are written will be more open to the public. No more secrecy.",populist,not populist,FALSE,populist,,
92,2212_13,"None of you will pay more, but corporations and the wealthy will finally pay what they owe to their country. Richard Nixon also has a plan for your taxes. It is a secret plan--which is the same kind of plan he promised for peace in Vietnam four years ago.",not populist,populist,FALSE,not populist,,
93,1429_5,"In 1952, you voted very decisively--very emphatically--for a change. Now let's see what difference there has been. Now in Washington there is a very big difference. First, from Washington the mess has disappeared. Only the highest standards, not only of law but of ethics, are tolerated in the executive branch of the federal government; and that is, cleaning up the mess.Instead of running in the red, your government is running in the black. Instead of higher taxes, you have lower taxes. Instead of indifference, neglect and waste, you have honest, efficient government. Instead of the black depression our opponents so confidently predicted in 1952--if you were foolish enough to elect any administration except theirs--we have created, you have created, the greatest prosperity in all history.",not populist,populist,FALSE,not populist,,
99,2008-09-12-dover-new-hampshire_9,"I will cut taxes - cut taxes - for 95 percent of all working Americans. I will reward work through a """"Making Work Pay"""" tax credit of $500 for American workers and $1,000 for working families. Because when I'm President, we'll rewrite the tax code to work for the middle class - not Washington lobbyists. That's change.",populist,populist,FALSE,not populist,,
102,2298_0,"     We have learned today that the chain of scandal and corruption runs to the very heart of Mr. Nixon's White House operation.      What a shocking revelation it is that Mr. Nixon's closest personal advisor, H.R. Haldeman, controlled the Republican fund that was used to hire undercover agents, to forge letters and documents, to wiretap and bug, and to burglarize the private offices of the Democratic party.",populist,not populist,FALSE,populist,,
111,2012-09-28-2012-fundraiser-5_8,"My opponent's plan basically reflects his belief in top-down economics. He thinks that if we just spend another $5 trillion on tax cuts that favor the wealthiest Americans, we get rid of Wall Street regulations, all problems will be solved and jobs and prosperity will rain down on everybody's head and we'll all live happily ever after. Now, the problem, as you are aware, is that we tried that. We tried that in the last decade. It did not work then; it will not work now. Top-down economics does not work. Instead of doubling down on the same trickle-down economics that got us into this mess in the first place, we need to keep moving forward with an economy in which the middle class is getting more secure, the middle class is growing. We succeed when the middle class sees greater opportunity and everybody who wants to work their way into the middle class see ladders of opportunity, where everybody can live up to their God-given potential. We certainly can't go very far with a leader who writes off half the Nation as a bunch of victims.",not populist,populist,FALSE,not populist,,
122,1327_15,"Bob Meyner's record stands in sharp contrast to the wrongdoing that went on under the Republicans before he came to office. You know better than I the sorry record that was climaxed by the revelations of the spectacular frauds committed by former Governor Hoffman. I have some understanding of the problems which Bob Meyner had to face. For just a few years back I, too, was a young Democratic governor having to clean up after a Republican administration in Illinois. I had thought, though, when I read the Hoffman story that our Illinois Republicans just weren't in the same class with yours here in New Jersey. But I confess I did not give their prowess full credit. But the late disclosures of Republican perfidy in Illinois have humiliated every Illinoisan--Democrats and Republicans alike.",populist,not populist,FALSE,not populist,,
127,2016-10-27-expo-springfield-ohio_51,"And we'll appoint justices to the United States Supreme Court, so important, who will uphold and defend the Constitution of the United States. Americans are tired of being told by politicians they have to defer their dreams to another day, but they really mean another decade. It's like our politics are caught in time loop. We keep electing the same people over and over again, Clinton, Clinton, oh, Clinton, the impeachment, the lying, the whole thing.",not populist,populist,FALSE,populist,,
150,3171_35,"And the last one, point four on all this, is that I do believe it's time for the Congress to have the same limitations a president does, not in length of term, but I'm talking about term limits on the members of the Congress. It's a way to give it back to the people, and I believe that that time has come to do that. Presidents serve eight years, and I think members of Congress should serve twelve and then go on home and let somebody else have a shot at it. Congress was not set up to be a year-round self-perpetuating organization. So we're going to--I'm going to take that case to the American people.",not populist,populist,FALSE,populist,,
156,2016-07-28-democratic-national-convention_72,"And if we're serious about keeping our country safe, we also can't afford to have a president who's in the pocket of the gun lobby. I'm not here to repeal the Second Amendment. I'm not here to take away your guns. I just don't want you to be shot by someone who shouldn't have a gun in the first place.",populist,not populist,FALSE,populist,,
157,2016-10-03-plaza-toledo-ohio_31,"Now, instead of gutting consumer protection, we should be expanding it. And we should build on the Dodd-Frank financial reforms and go even further because Wall Street can never, ever be permitted to threaten Main Street again. And the Wells Fargo scandal sheds light on another threat to consumers that we have to address. When the scam's victims, people like you and me, who had accounts there tried to sue, they were shocked to learn there was a provision in the very fine print of their contracts that kept them from going to court to sue the bank for being cheated. Instead, they are forced into a closed-door arbitration process without the important protections that you get in a court of law. We are not going to let corporations like Wells Fargo use these fine print """"gotchas"""" to escape accountability.",populist,not populist,FALSE,populist,,
161,3178_15,"With the new Congress, we're going to reform government. We're going to get the deficit down, and we're going to do it whether the liberals like it or not. We're going to get a balanced-budget amendment. We are going to give the taxpayers a check-off so they can check off 10 percent of their income tax to be applied against the debt. We're going to fight for a line-item veto to let me have a shot at cutting the spending. And how about giving the Congress back to the people by term limits? The president's term is limited; how about term limits for Congress? Now we're getting down--",not populist,populist,FALSE,populist,,
165,3337_14,"We have seen the FBI tricked into handing over more than 900 confidential, personal files to the White House, into the hands of the director of the office of personnel security--a former bar bouncer who had worked in Bill Clinton's campaign. We have seen the discovery of a six-month gap in the White House log used to control access to FBI background files--raising questions about who in the Clinton White House was looking at those files, and why. We have seen the Justice Department abused to investigate innocent workers at the White House Travel Office, as a cover for putting political friends in charge of it.",populist,not populist,FALSE,populist,,
182,1338_12,"They will not come, I am convinced, from an administration made up of only one group in our society. They will not come from limiting the service of government to the service of the strong, the rich, and the big, making them richer, stronger, and bigger, and relying on their brimming cup to flow over and nourish the rest of society. These answers for our future will not come from a party, a leadership and a philosophy, which has produced no answers in the past.",not populist,populist,FALSE,not populist,,
190,1192_5,"It is, of course, well known, ladies and gentlemen, to you and to many others that there have been differences of opinion, sometimes on important matters, between me and other people in the Republican Party.  Indeed, it would be a miracle if there were not.  The differences between me and Senator McCarthy are well known to others.  But what is more important, they are well known to him and to me and we have discussed them.  I want to make one thing very clear.  The purposes that he and I have of ridding this government of the incompetence, the dishonest and above all the subversive and the disloyal are one and the same.  Our differences, therefore, have nothing to do with the end result that we are seeking.  The differences apply to method.",populist,not populist,FALSE,populist,,
193,1145_10,"Now, as I come to you, as I say, in this role of a political candidate, I still have not come down here to make a particular appeal for your vote.  I have come down to make this one pledge:  if you come to the decision in these coming weeks that the Republicans, with myself at their head, can do a better job than is being done in working toward peace in the world, in raising the prestige of our government at home and abroad, in giving you honest government, in cutting your taxes, in living within your means and in getting rid of all of the crooks from every corner there is of the federal government, then I pledge you this:  we will have one motive, one policy, through the next four years.  And each of you will be at liberty to check up on us any time you believe we are departing from that policy; and that policy will be:  what is good for the United States of America, not for any particular segment.",populist,not populist,FALSE,populist,,
197,1279_12,"You will not unite and the full power of the United States will not be realized until you get behind a great body of men and women--that is what government is, a great body of men and women--who will devise these programs and give you the confidence that they are being executed for your benefit, not for the benefit of someone who wants to stay in power and who is around selling you a program of fear and vilification just to get another four-year lease on power.  Not at all.  They have got to be people whose character is your insurance that they are serving you and not merely trying to rule over you.",populist,not populist,FALSE,populist,,
3,2029_14,"Well, friends, just one final thought:  I have really a message for you out at the steer roast.  I don't want you to have two full meals, but I saw this lovely program and it really a tribute to my family and is a wonderful tribute to you for the way you have put it together.  I saw that picture there of myself and my wife, our five little granddaughters.  I tell you, that's a package, that's a package, and I'm going to make a prediction to you. We can't do it in 1968 because I doubt that they will let me have the Christmas party there in 1968, but we will have the merriest Christmas you ever saw in your life, I'll tell you, in 1969, because we are going to have all of those granddaughters there and I hope a grandson or two by that time, too, if I can encourage my young sons.",not populist,not populist,TRUE,,,
4,2004-09-07-lees-summit-missouri_24,"In order to keep jobs here, in order to make sure people can work, we've got to be wise about how we spend your money in Washington, and we must keep your taxes low. We have a difference of opinion in this campaign. I'm running against a fellow who has already promised $2 trillion of new money, see. And we haven't even gotten to the stretch run yet. It's awfully tempting, coming down the pike, to tell people what they want to hear. It's awfully easy to spend your money. And then they say, """"Well, how are you going to pay for it?"""" He said, """"Oh, just don't worry about it. We'll just tax the rich.""""",not populist,not populist,TRUE,,,
6,2004-09-03-west-allis-wisconsin_41,"The world had spoken, but as he had for over a decade, he ignored this resolution as well as over 10 resolutions. He had no intention of listening to the demands of the free world. As a matter of fact, he deceived the inspectors that were going in to try to get him to adhere to the demands of the free world. We had given him a choice, a final choice. It was his decision to make, and he clearly made his decision. So I had a choice to make: Trust the word of a madman and forget the lessons of September the 11th, or take action to defend the country. Given that choice, I will defend America every time.",not populist,not populist,TRUE,,,
7,1333_15,"Why has all this happened? It has happened because for four years now we have had a government which neither fully understands nor wholly sympathizes with our human needs or the revolution that is sweeping the world. The Republican administration took office on the pledge to make it a business man's government. Well, that's one pledge they kept. President Eisenhower filled two out of every three top ranking offices in his administration with men whose lives have been spent representing business, mostly big business.",populist,populist,TRUE,,,
9,2016-10-12-pavilion-ocala-florida_78,"This system is so rigged. Now, this is all down in the e-mails. She had veto power over what she said.",populist,populist,TRUE,,,
10,2004_55,"I was in the Congress of Korea.  Don't tell me.  I was there.  I remember.  We didn't  ...of peace and I don't know where it went, but it sure didn't go to the poor.  We didn't have any Federal Aid to Education.  We didn't have any War on Poverty.  We didn't have any massive slum clearance.  We didn't have any Model Cities program.  We didn't have any Medicare.  We didn't have a lot of things.",not populist,not populist,TRUE,,,
11,976_2,"The problem every candidate has--whatever his party--is a problem of communication. There are not many people--there are not even many professional politicians--who are going to read every speech, every editorial, every columnist, and every other bit of material which might throw light on how one ought to vote. Indeed, sometimes I wonder if we do not flood the voter in a sea of words when we might better leave him to think about the issues by himself. I have heard of juke boxes where five minutes of silence can be purchased for a nickel. Perhaps a political party might serve the country by purchasing a half hour of silence on the radio and TV networks during which the voters would be asked to think quietly about the choice they are going to have to make on November 4th.",not populist,not populist,TRUE,,,
12,3086_6,"Let me give you another difference. Today, American businesses and consumers spend up to $200 billion just on direct services to lawyers. The Japanese don't spend that much; neither do the Germans. And my opponent doesn't think this is a problem. I really believe it's a disgrace. As a nation, we must sue each other less and care for each other more.",not populist,not populist,TRUE,,,
13,2004-09-04-remarks-erie-pennsylvania_19,"The President. Let me tell you what else needs to change. Our Tax Code needs to change; it's a complicated mess. Americans spend 6 billion hours on paperwork and headache when it comes to this Tax Code. It's full of special interest loopholes. In a new term, I will bring Democrats and Republicans together to reform and simplify the Federal Tax Code.",not populist,not populist,TRUE,,,
14,3367_10,"We cannot afford four more years of scandal and weak leadership. We can't afford it. We've been that way before. I must say it happened on our watch. And the liberals have had their chance. And on November 5, the American voter's going to say it's time for you to go. It's time for you to go.",not populist,not populist,TRUE,,,
15,3050_9,"Now, I tell you all, this is the guy that wants you to trust him with your future? Can you imagine this? I mean, it's like a comedy. At 6:00 at night, after the government office is closed down, these three political appointees, fairly senior officials, in their expensive suits, sneak into this little government document room and bang around with each other for four hours looking for dirty information on my mother? There was a good side to it, you know. It's the only time since Bush has been president that those three hacks worked till 10:00 at night.",not populist,not populist,TRUE,,,
16,1325_18,"We will see to it that small firms get a fairer share of defense and other government contracts Small business has been a neglected stepchild of the Republican administration, and we Democrats propose to bring it back into the family. Several generations ago, the Republican party drifted away from its liberal roots in the Civil War and has been the spokesman of the rich and powerful ever since. And in my book that is all right. Certainly as an important element of society they are entitled to a spokesman. But as the party of bigness, it watches the vanishing family farm and the vanishing small businessman with little concern and no distress. And in my book that is not all right--for the price we will eventually pay for the squeezing out of diversity, enterprise and individuality in our society is the loss of our freedom, just as conformity to standard habits of thought and behavior by..[missing text]..means a loss of our freedom to differ.",populist,populist,TRUE,,,
18,1282_13,"What we need, ladies and gentlemen, is to marshal the brainpower that this country affords, to concentrate it and mobilize some of it in Washington to give us a decent, forward-looking program, and to get away from this campaign of fear and hate.  Here, with your Senator Ives, your Governor Dewey, your Speaker Heck, Congressman Kearney, and the rest of them who have been helping you here, you know what I am talking about, because you have been living under an enlightened program and one that is constantly seeking the betterment of all.  You know that I cannot come before you and engage in a competition of empty political promises.  The opposition has used up all these promises in the past years, and most of them are rather shopworn.",not populist,not populist,TRUE,,,
19,2004-09-10-discussion-portsmouth-ohio_18,"I'm going to first talk a little bit about our economy in a changing world and how we're going to deal with it. And then I'm going to talk about how to keep the country safe. As you get out and gather up the vote, remind people that this economy has been through a heck of a lot recently. We've been through a recession. We've been through corporate scandals, and those corporate scandals hurt us. They did, because a lot of our economy depends upon trust, and when you have people who are supposedly writing good numbers down on paper violating that trust, it causes people to wonder. The message is clear now in America: We're not going to tolerate dishonesty in the boardrooms of this country. We're going to hold people to account. That attack on September the 11th hurt us. Make no mistake about it, it hurt this economy—estimates of a million jobs lost in the 3 months after the attack. That meant people weren't working. That matters to me.",not populist,not populist,TRUE,,,
20,3159_19,"So we must back them up. We must win this war against crime and drugs with our """"Weed and Seed"""" program, backing the law enforcement officers and getting tough anticrime legislation.  But I think the biggest difference as we get down to the polls, and the reason I'm convinced I will win this election, is this: I honestly believe that character counts. I believe that people look to the president of the United States not just in this country but all around the world. And I think his character has a lot to do with how they view our country.",not populist,not populist,TRUE,,,
21,3121_18,"Governor Clinton now says, well, he's seen the light. In this campaign he's proposing at least, and look at the record, $150 billion in new taxes, plus at least a $220 billion in new federal spending. """"But don't worry,"""" he says, """"I'll get it all from the rich, from the top 2 percent."""" ",not populist,not populist,TRUE,,,
22,2903_4,"But most Americans aren't satisfied, and neither am I. We're not satisfied to stand still; we're not satisfied when our economy grows at the lowest rate since World War II. We're not satisfied when rural hospitals are closing down all over America and the only response from Mr. Bush and his Administration is a deafening silence.",not populist,not populist,TRUE,,,
23,2012-09-27-virginia-beach-virginia_8,"Look, my opponent's a big believer in top-down economics. He thinks that if you just spend another $5 trillion on tax cuts that favor the wealthiest Americans, if you get rid of more regulations on Wall Street, that jobs and prosperity will rain down on everybody. The deficit will magically disappear. We'll live happily ever after.",not populist,not populist,TRUE,,,
24,2008-10-06-albquerque-new-mexico_2,"Washington is still on the wrong track and we still need change. The status quo is not on the ballot. We are going to see change in Washington. The question is: in what direction will we go? Will our country be a better place under the leadership of the next president -- a more secure, prosperous, and just society? Will you be better off, in the jobs you hold now and in the opportunities you hope for? Will your sons and daughters grow up in the kind of country you wish for them, rising in the world and finding in their own lives the best of America? And which candidate's experience -- in government and in life -- makes him a more reliable leader for our country and commander in chief for our troops? Who is ready to lead? In a time of trouble and danger for our country, who will put our country first?",not populist,not populist,TRUE,,,
25,2008-09-21-north-carolina-0_11,"What we've seen over the last few days is nothing less than the final verdict on this failed philosophy. And I am running for President of the United States because the dreams of the American people must not be endangered any more. The times are too serious. The stakes are too high. At this moment, in this election, we need real change - change that's more than just a slogan, change that actually makes a difference in people's lives. And that's the kind of change I'll bring to Washington when I'm President of the United States of America.",not populist,not populist,TRUE,,,
27,3053_30,"Don't let people who work for the government quit and go to work for interests, especially foreign interests, lobbying the government just as soon as they walk out one door and into another. These are things I have fought for years. I want people with money in this country to make a lot of money, but I want them to make it the old-fashioned way. No more something for nothing. Make a million dollars by investing and putting the rest of America to work, and you can make all the money you want.",not populist,not populist,TRUE,,,
28,1870_33,"And now I just want to say one thing, my friends. I want to say, in all fairness, he's taken back all three of these things. He says he now supports the President on Quemoy and Matsu. He said he didn't really mean the President did the wrong thing in Paris, and he says, all along I didn't mean what everybody thought I meant about Cuba. I really meant what the President said--we want to give moral support to the cause of freedom.",not populist,not populist,TRUE,,,
30,2025_30,"My friends, this is what this campaign is about.  We are going to have to find from the opposition, we are going to have to continue to pound away on these platforms until the opposition starts to talk to us about what are the real issues.  This dancing around the edges, this flirting around with unreality is no way to aspire to the presidency.  The man you need for president of this United States is not one that knows how to wobble, bob, duck, and weave, not one that knows how to stay away from the cross examination of the press, not one that refuses to face up the hard questions of the day.  The man that you need for president of the United States is someone who will say it like it is and will stand up and take it, and not only take, but will dish it out when it needs to be dished out.",not populist,not populist,TRUE,,,
31,1030_8,"Well, the fact of the matter is that a lot of people have taken up reading of late--that is why we are doing so well. I just want to say that there is nothing more gratifying than the activity of women; that has become so conspicuous. I have been told all sorts of alarming stories that women, perhaps are hostile to the Democratic party at this time because of the high cost of living, because of Korea and so forth, but I have the highest faith in their intelligence; I think they are more concerned--and intimately more concerned with government than the men who are busy with their day to day chores. It is the woman who carries the market basket who is so intimately concerned with the budget, who is so intimately concerned with the welfare and the future of their children. I think if they are reflecting, if they are contemplating about the difficulties that confront our world, they are also--and for that very same reason--the best possible Democrats.",not populist,not populist,TRUE,,,
32,3164_9,"And maybe some New Mexico issues. On defense, we've got a good defense. I have cut defense where we're able to. But I've accepted the recommendations of the respected Colin Powell and Dick Cheney. We're not going to cut into the muscle of our defense. And Clinton wants $60 billion more, throwing a lot of New Mexicans out of work. We cannot let them cut the muscle of our defense. Clinton is not an expert. He has no feeling for foreign affairs or defense. He was the guy that said the Patriot missile was the one that goes down chimneys. Governor, that is Santa Claus. That is not the Patriot missile. That shoots down other missiles. I mean, come on. This guy wants to be commander in chief, and he doesn't know the difference between a Patriot and Santa Claus.",not populist,not populist,TRUE,,,
34,2012-09-22-campaign-rally-milwaukee_5,But he thinks that if we just spend another $5 trillion on tax cuts for the wealthiest Americans all our problems are going to go away. Jobs and prosperity will rain down on everybody. Deficits will magically disappear. It will all end happily ever after.,not populist,not populist,TRUE,,,
35,1168_6,"So the opportunity for you to earn as you please, to speak as you please, is being threatened by wild spending and wilder taxes.  You are being threatened also by the fact that we have got so many Washington bureaucrats who want to move in on you and show you how to run your business, particularly your arms.  They want to tell you what to raise, how much of it, when to plant it, and what to get for it and how much to pay for everything you use on that farm.  Certainly we believe in proper price supports, proper protection of the farmers against disaster, but we certainly want him to run his farm as he thinks it should be run and not the way some long-haired bureaucrat behind a desk in Washington thinks it should be done.",populist,populist,TRUE,,,
36,1719_9,"What?  They are going to take him piggyback. Right down here in the heart of Texas, in Amarillo, I am asking the support of the people of Texas.  I am asking you Democrats to play your part in a great Democratic victory which will pick this country up off of dead center and move it forward in the 1960s.  ",not populist,not populist,TRUE,,,
