,Speech_id,text,party,term,comp,populist_old_keywords,par_id
7207,1789,"When we talk about what we're going to do in this field of foreign assistance, we're helping the Nigerians, and we're helping the Indians, and the other people, remember, we do this not solely for the negative reason that we're trying to keep what we've got, that we're trying to keep communism from spreading in the world; we do it because we Americans traditionally have had a heart.  We have a great humanitarian concern, and one of the reasons that we have developed this concern is because of the contribution made by people that make up the mainstream of American life.  Who are they?  They came from all the countries of the world.  Warm-hearted Italians, people from Europe, from Asia, from Africa, these are Americans.  And because America is the whole world, America will always have a feeling and a concern for misery and hunger and want in the whole world.",rep,1960,True,False,33
6954,1831,"Well, I've never looked at things that way--I've never been able to afford to.  I don't look at them that way and do them that way, and I particularly don't look at them that way and do them that way when I realize I am spending more money.  It's not mine, but yours you're spending.  It's not his either.",rep,1960,False,False,12
54269,2008-10-01-crosse-wisconsin-1,"From the moment I take office, my top priority will be to do everything I can to make sure that your tax dollars are protected. I will demand a full review of this financial rescue plan to make sure that it is working for you. If you - the American taxpayer - are not getting your money back, then we will change how this program is being managed. If need be, we will send new legislation to Congress to make sure that taxpayers are protected in line with the principles that I have put forward. You should expect nothing less from Washington.",dem,2008,False,True,13
23390,2009,"Now, let me divert for just a minute to say something that is very much on my mind. I spoke this to a fraternal order in Washington just last Sunday, the B'nai B'rith, and I said these words and I want to share them with you because there are some people in this country today that think that the way you settle things is just by being militant, and then they define the meaning of that term. They pick and choose the laws that they want to obey and that applies to black and white alike.",dem,1968,False,False,34
45903,1964,"We will end discrimination against older Americans in Federal employment. We will increase benefits under social security to the 20 million now receiving benefits, and to the 2 million receiving old-age assistance. We will expand our housing programs for the 50 percent of our people 65 and over that are living in substandard homes or housing unsuited to their needs.",dem,1964,True,False,9
66509,2008-09-18-rapids-iowa-3,"Those same Congressional leaders who give Senator Obama his marching orders are now saying that this mess isn't their fault and they aren't going to take any action on this crisis until after the election. Senator Obama's own advisers are saying that crisis will benefit him politically. My friends, that is the kind of me-first, country-second politics that are broken in Washington. My opponent sees an economic crisis as a political opportunity instead of a time to lead. Senator Obama isn't change, he's part of the problem with Washington.",rep,2008,False,False,7
59224,2004-10-26-richland-center-wisconsin,"Small businesses ought to be able to pool together, pool risk so they can buy insurance at the same discounts that big companies get to do. You know, there needs to be economies of purchase in the marketplace. If you're a stand-alone small business, it costs you a lot of money to afford health care. If you're able to pool across jurisdictional boundaries, if you get more people to spread the risk, you're able to get insurance at better prices for your workers. That's a commonsense way of helping small businesses.",rep,2004,False,False,27
29160,2364,"But, no, I don't have any embarrassment about it. I think if anyone checks my income tax returns and net worth for the last ten or fifteen years, and they've all been revealed, I believe back to 1965, that you would find out that I paid roughly 25 to 30 percent of my annual income in taxes. Last year was a special case because we had a very large plant that cost almost a million dollars to install...",dem,1976,False,False,17
60340,2004-10-28-saginaw-michigan-0,"You have to wonder why my opponent has taken such different positions at different places and different times in this campaign. I think you'll find two reasons why. Senator Kerry changes positions because he's willing to say anything he thinks will help him politically at the time. And he does so to try to obscure a 20-year record, 20 years of out-of-the-mainstream votes. That leads to an inescapable conclusion. Senator Kerry has been wrong—on the wrong side of the defining national security and domestic policy debates for the last two decades. He can run from his record, but he cannot hide.",rep,2004,False,False,21
18349,2387,"Many in this country, as you well know, can't speak English at all. But they are crammed in the classroom with the same hopes and dreams and aspirations and fears as other children, and they must be treated as individuals. And whatever public officials can do at the local, state, and federal levels, whatever teachers can do, and administrators can do in the education system to deal with children as individuals, different from one another, will help us have a better chance for all of them in life.",dem,1976,False,False,3
3183,2124,"This is the last week of this campaign.  It's been a long uphill road, but we're going to win.  We're going to win for one basic reason: we trust the people, and the people know they can trust us.",dem,1968,False,False,0
45732,2302,"Let us look ahead to the day when the dignity of a job is available to all, and when work will not only sustain our lives but fulfill the human spirit. Let us seek an America that places its highest values not on wealth or power, but on truth and justice. Let us plan to influence the world not by the strength of our arms alone, but by the uplifting force of our example, and by the power of our ideals.",dem,1972,True,False,9
31592,1485,"How is it possible for us to maintain full employment at a time and in a decade when automation will become a byword? I lived with it for a month in West Virginia. I spent some time in McDowell County, West Virginia, which mines more coal than it ever did in history, more coal than any county in the United States, and has more people getting surplus packages from our government than any county in the United States. What is true of McDowell County and true of the coal industry will be true of other industries stretching across the United States. This is going to be a problem for the next president of the United States. These problems which I now discuss and mention, the problem of an abundant agriculture and an inability to distribute it effectively, all of these problems are so-called domestic problems.",dem,1960,False,False,4
48546,2117,"Ladies and gentlemen, the ticket of Humphrey and Muskie wants to carry on in the forward-looking tradition of the Democratic party that has served the well being of this community and this nation, starting with Franklin Roosevelt and coming up to Harry Truman and John Kennedy and Lyndon Johnson and going right up to this very day.   Now, you know I find that Mr. Nixon apparently has decided that he was going to talk.  He made two decisions in the beginning of the race.  The first decision was about his vice president and, ladies and gentlemen, I ask you to compare that Republican ticket of Nixon and Agnew with the Democratic ticket with my vice president of Humphrey and Muskie.  You just compare them and see where you come out.  You know which one has the best man on the ticket.  I have. ",dem,1968,True,False,9
43045,2065,"You and I know that there is some of that gossip.  That is what George Wallace feeds on.  Make no mistake about it.  Now, how do we answer that?  The answer to it is that we don't need to have an economy in this country in which we fight over jobs.  We need to have an economy in this country in which we are looking for people for work. ",dem,1968,False,False,3
54382,2008-11-03-jacksonville-florida-1,"But I know this, Florida, the time for change has come. We have a righteous wind at our back. And if in these final hours, you will knock on some doors for me, and make some calls for me, and go to barackobama.com and find out where to vote. If you will stand with me, and fight by my side, and cast your ballot for me, then I promise you this â€“ we will not just win Florida, we will not just win this election, but together, we will change this country and we will change the world. Thank you, God bless you, and may God bless America.",dem,2008,True,False,32
1918,3172,"I'm delighted to be here. And the decision that people make is going to be a tremendous difference, a vast difference on experience, a difference on philosophy, and, yes, a difference on character. Character matters.",rep,1992,False,False,5
57010,2012-08-30-national-convention-tampa,"I wish she could have been here at the convention and heard leaders like Governor Mary Fallin, Governor Nikki Haley, Governor Susana Martinez, Senator Kelly Ayotte and Secretary of State Condoleezza Rice. As Governor of Massachusetts, I chose a woman Lt. Governor, a woman chief of staff, half of my cabinet and senior officials were women, and in business, I mentored and supported great women leaders who went on to run great companies.",rep,2012,True,False,24
36557,3336,"Call this a character issue if you wish, but it makes a difference to every American because every vote should be an act of trust. You should be proud of the vote you cast for whatever office, for whatever office. And these things do matter to our citizens, particularly young people, who can only make informed choices in an election when there is some connection between the rhetoric and the reality between words and action, between promise and performance. And I think in this case, in this administration, that connection was broken a long time ago.",rep,1996,False,False,34
40603,1585,"I don't believe this country can afford another recession.  The demands placed upon us are too great.  Every time that we fail to meet our problems, every time that we fail to move our economy forward, we fail not only our own people, but we fail all those who look to us for leadership.  My judgment is that there is a very clear choice between the Republican and the Democratic parties.  They stand for different things, and they have stood for different things all through this century.  Woodrow Wilson, running in 1912, said that the Republican party idea of policy is to sit on the lid.  Franklin Roosevelt carried the fight in 1932 and 1936 and Harry Truman carried the fight in 1948, and on the issues which matter, housing, social security, medical care for the aged, minimum wage, development of the resources of this country, I believe the Democratic party looks forward.  I believe it has presented to this country programs which move the economy of this country.",dem,1960,False,False,1
4453,2044,"Very definitely, a man who deliberately courted the most radical extremist elements in his own party and who continues this appeal in his speeches and who will be fully in their debt should he win the presidency--attacks on the courts, vilification of lour law enforcement officials, group against group and race against race. These tactics have stockpiled the ingredients for civil explosion. Now, I mentioned the truth squad. They are here and they are listening to what I have to say. Well, I will tell you something: if they will tell the truth, we will win this election hands down, going away. That is what I can tell you now. ",dem,1968,True,False,19
55094,2012-10-08-rally-san-francisco,I believe we've got to have the best education system in the world. That will create jobs. That's good for business: making sure that everybody has the skills they need to compete and to be good citizens. Education is the reason I'm standing here today. It's why Michelle was able to do everything she's done in her life. It's true for so many of all the folks here.,dem,2012,False,False,22
67392,2016-10-02-charlotte-north-carolina,"""""This is the day the Lord has made. Let us rejoice and be glad in it! I am so",dem,2016,True,False,0
17183,2033,"Now, finally, my friends, the final and the most important thing that is before us is our own country and its future.  Are we going to be a divided nation, conflict and animosity and bitterness and violence?  Are we going to be a nation of people that can live together as friends and neighbors, rather than antagonists and enemies?  We have one candidate in this election who is an outright racist, and appeals on racial prejudice, and he is no friend of labor.  Any laboring man who can find a way to support the former governor of Alabama has little or no regard for the union movement.  He has not been your friend and he has not been good for the working man.  But more importantly, he preaches a doctrine of separatism, a dangerous doctrine.  But at least he does it openly.  ",dem,1968,False,False,46
49771,2710,"But the history of America, the history of education, the history of universities, the history of research has been for over two-hundred years the growing leadership of the federal government, particularly at the graduate level, in order to get it done.  We've all had the same experience, I believe, if we come from modest-income homes.  My dad was a Methodist minister.  My mom was a music teacher.  And I don't have to tell you we didn't have any money.  And the only way I got through law school was the GI Bill.  And I have paid the federal government back three or four or five times over from the higher income I earned as a result of the fact I was able to get through law school.  And I don't regret a single penny of it.  And I believe in the integrity of our educational system.  It is so fundamental to our civilization.  It is so fundamental to the objectives of our society that it is a shared public responsibility that we support them through revenues and support through the governing bodies of these different institutions.  To say that is now some kind of new idea that no one has thought of that would take the public out of public education I find to be bizarre.",dem,1984,False,False,5
42385,3031,"That's what this election is all about. This country is going in the wrong direction. We want to put it right. We want to be faithful to the American dream. We want you to know that we know that we can do better, and that you are better than you've been getting.",dem,1992,False,False,28
12804,959,"Now, it seems to me--if I can be faintly partisan for a moment--that there are two basic things on people's minds as this election approaches. One is peace and the other is prosperity.  And it is clear, too, that the position of the two parties on these issues is exactly the same as it has been for the last twenty years. The Republicans say that they are for peace and prosperity--but they don't want to do anything about it. The Democrats are for peace and prosperity too, and we have been doing something about it and we are going to go on doing something about it. ",dem,1952,True,False,11
21506,3077,"Revolution number two has to do with what we teach in our schools. We must demand more of you, so that you can compete in the world economy. Your math teachers are already relying on new, world-class standards, and you are learning more than your older brothers and sisters. By the time today's fifth-graders enter high school, we will have new standards in science, history, English, geography, civics, and the arts. And to support these standards, we will have a national examination system, and I call it the American achievement tests, so that parents can know how our kids and our schools are doing.",rep,1992,False,False,16
37837,3055,"I want to say that I think we ought to have real family values in this country. And I want to strengthen the family. I would strengthen the family in many ways. One, I would sign the Family and Medical Leave Act that Mr. Bush has vetoed twice. That's another thing where he says we can't do better, but seventy-two other countries will give you a little time off work unpaid if you've got a sick child, a baby is born, or a sick parent. Now, what does that say about the leadership of America when the leader of our country says we can't even do something seventy-two other nations can do? I don't buy it. I think we can do better.",dem,1992,False,False,41
58426,2004-09-10-discussion-portsmouth-ohio,"Second lesson is this is a different kind of war. I know there's a lot of veterans here, and I want to thank you guys for coming. But it's a different kind of war than you faced. It's really different. We're chasing an enemy down that hides in caves or lurks in the corners of cities around the world, and they're patient. They're plenty tough, you know. And they plan and they think and they wait for weakness, and they exploit it, which means that in order to make us more secure, we must not only deal with the enemy but those who harbor the enemy, those who provide safe haven to the enemy.",rep,2004,False,False,103
15533,2179,"In the face of this, U.S. troops in Germany are poorly equipped; other NATO partners have let their contributions fall below the prescribed force levels. The increased Soviet strength would seem to suggest that as a minimum response these forces should be brought up to the strength prescribed before Czechoslovakia. In a larger sense, revitalizing NATO involves much more than troop levels.",rep,1968,True,False,15
11211,2057,I believe the American presidency must be active. I believe the presidency must be open. I believe the president of this country must not abdicate his responsibilities to the people.,dem,1968,True,False,5
48127,1385,"Either the President and the Vice President did not know how serious the situation was in the Middle East, or they did not want the American people to know--at least, till after the election. And only last Sunday--just four years ago--Mr. Dulles said in a television interview that the United States, Britain, and France """"have developed a common policy, and I think it's amazing the degree to which we have had a common policy... and the fact that there are certain minor superficial difficulties as to details about just how you handle tolls, or how much is going to get paid to Egypt and how much isn't, doesn't detract from the fact that we have a common policy."""" The """"superficial difficulties"""" of Sunday became pretty formidable by Tuesday, when Britain and France broke with the United States in the U.N.",dem,1956,True,True,13
5015,2904,"We need tax incentives to get the rig count up. Our national security is at stake.  We need the trained teams of geologists, engineers, and roughnecks in place now--not when another Ayatollah tries to hold America's economy hostage.",dem,1988,True,False,25
28200,2158,"Management of the Commodity Credit Corporation's inventory of grains and other farm commodities to improve farm prices, not depress them; Improvement of programs for the distribution of milk and other food to schools and needy people; Continuation and improvement of the Eisenhower Food for Peace program, emphasizing commercial market development and the export of greater agricultural technology to a hungry, underfed world;",rep,1968,True,False,17
4484,1559,"As one indication of how serious is the debate now taking place, last week, Monday night in the debate, I said that our power superiority is threatened by growing Soviet hydropower, a growth which is so rapid that it threatens to overtake the United States by 1975.  Mr. Nixon said later this week that that statement was false.  He boasts of tremendous power development during the past eight years, and he asserted that the Russians can overtake us only if we did nothing for fifteen years, while they built eight Grand Coulee Dams a year.  That is his charge and what are the facts?  The facts were reported last year by a committee of the U.S. Senate, over which Mr. Nixon occasionally presides.  That committee's findings, and I quote, were """"Although the United States is still far ahead, the Russians could overtake us in 1975, in fifteen years, unless we speed up or they slow down.  Both countries will have,"""" the Senate said, """"an equal power generating capacity which will be 337,500,000 kilowatts in 1975.""""",dem,1960,False,False,15
55461,2008-10-30-columbia-missouri-0,"OBAMA: If you want to know where Senator McCain wants to drive the economy, just look in the rear-view mirror... (LAUGHTER) OBAMA: ... because, when it comes to our economic policies, John McCain, he's ridden shotgun next to George Bush every step of the way, 90 percent...",dem,2008,True,False,17
5172,1766,"Incidentally, after such a welcome as this, I can only say, in the light of an article that was written recently, that Pat and I are going to go away from this town saying, """"We like St. Joseph.""""  And now, if I may ask you to consider with me for a moment--I know that you're standing and some of you can't even hear, or perhaps see--but if you will consider with me for a few moments some of the things we ought to be thinking about as we select the next president and the next vice president of this country.",rep,1960,False,False,5
35102,2821,"So one day I was talking with the marine commandant, the head man, and I said to him--a marine had just saluted me--and I said, """"You know, there ought to be some regulation,"""" I said, """"if I'm commander in chief, as I am now, of the armed forces, there ought to be a regulation that I can return salutes."""" And the general said, """"Mr. President, I think if you did, no one would say anything."""" So, I learned that.",rep,1984,False,False,24
24413,2418,"You at home listening tonight, you are the people who pay the taxes and obey the laws. You are the people who make our system work. You are the people who make America what it is. It is from your ranks that I come and on your side that I stand.",rep,1976,False,False,5
72294,2000-08-17-national-convention-los,"So this is not just an election between my opponent and me, it's about our people, our families and our future, and whether forces standing in your way will keep you from living a better life. To me, this election is about Mildred Nystel, Jacqueline Johnson, Katarina Gutierrez, Ian Malone. It's about millions of Americans whose names we may never know, but whose needs and dreams must always be our calling.",dem,2000,True,False,37
21900,3275,"Compared to four years ago, we have taken unbelievable amounts of dangerous chemicals out of our air. We've lifted the quality of our drinking water. We've improved the safety of our food. We've cleaned up more toxic waste dumps in three years than they did in twelve. We have worked to protect our precious national heritage and beat back their ill-advised plan to actually sell off some of our national parks. Now we have to decide whether we're going to go forward, continuing to clean up waterways that need to do it, continuing to uphold high environmental standards, and cleaning up 500 more of those toxic waste dumps so our children will be growing up next to parks, not poison. Let's don't turn back on environmental protection. Let's go forward and prove we can grow the economy and protect our environment.",dem,1996,False,False,22
56986,2012-08-30-national-convention-tampa,"Mr. Chairman, delegates. I accept your nomination for President of the United States of America. I do so with humility, deeply moved by the trust you have placed in me. It is a great honor. It is an even greater responsibility.",rep,2012,True,False,0
12952,2636,"This evening marks the last step--save one--of a campaign that has taken Nancy and me from one end of this great land to the other, over many months and thousands and thousands of miles. There are those who question the way we choose a president; who say that our process imposes difficult and exhausting burdens on those who seek the office. I have not found it so.",rep,1980,False,False,42
9648,2877,"But my opponent, as a senator, personally led the fight against having a shuttle program at all. He called it a horrible waste. Well, we support the space shuttle, and we've committed America to meet a great challenge--to build a manned space center out in space and to do it within a decade. What this country needs is high tech, not high taxes.",rep,1984,True,False,21
59421,2004-09-02-convention-new-york,Our strategy is succeeding. Audience members. Four more years! Four more years! Four more years!,rep,2004,True,False,37
4978,2910,I want to open the doors of college opportunity for every youngster in America who can do college work.  What did George Bush have to say to those young people and their families?  Not one word.,dem,1988,False,False,5
35516,3256,"Now, when Reverend Thomas said I lived in America's House and he made that remark about the White House--well, that got my attention. But I've tried to make it your house, too. I want to say a special word of thanks to this church for something else, and that is that the chief operating officer of our whole national campaign is a member of this church, Ted Carter, and he's here with me today. Ted, where are you? Stand up. Where's Ted? There he is, back there. He's a very modest person that has such an important job, but you raised him up right here. Congratulations.",dem,1996,True,False,2
