,Unnamed: 0,X,Speech_id,text,party,term,comp,populist_old_keywords,par_id,speech_par_id,length
193,194,193,2133,"VICE PRESIDENT HUMPHREY:  Thank you, thank you.  Thank you.  May I ask this audience, may I ask to let this young man speak.  Are you through?",dem,1968,False,False,17,2133_17,26
194,195,194,2133,"Before this young man leaves, may I say that every man is entitled to his point of view.  I just wish he would address me by my right name, that is all.  VOICES:  Humphrey!  Humphrey",dem,1968,True,False,18,2133_18,35
195,196,195,2133,"VICE PRESIDENT HUMPHREY:  Dear friends, don't let one unhappy and indiscreet moment break up what is a good meeting.  People have a right to their point of view.  I just regret that sometimes it is expressed in terms that are not always as polite as they would like.  We all make mistakes.  I don't stand here in a glass house.  Let me just repeat what I said a moment ago.  We have told the people the truth as we saw it, and we told the people the truth about Vietnam, and that peace, I say again, is closer tonight, thank God.  Hanoi has agreed to proceed with prompt and productive discussions.  The President has taken an action by his order for the cessation of bombing of the North that I believe will have the support of the vast majority of the American people.  I know that I support it.  Now let us hope we make--now let us really hope and reverently pray that the negotiations which are underway in Paris will now be able to move forward towards a truly honorable and lasting settlement.  This is the desire of the American people because the work of this nation is then--has been and continues to be the work of peace, peace here at home amongst ourselves and peace in this troubled world that surrounds us, and let us dedicate ourselves tonight by word and deed and prayer and thought to the attainment of that wonderful objective of harmony at home, peace at home, and a real genuine peace abroad.  This is what we have addressed ourselves to.  ",dem,1968,False,True,19,2133_19,266
208,209,208,2133,"VOICES:  Humphrey!  Humphrey! VICE PRESIDENT HUMPHREY:  That was a pleasant thought--your next president has some awesome responsibilities, and this is why he needs along side of him a man of great integrity, competence, maturity, experience and responsibility.  In this election you are not voting for just one man.  You are voting for president and vice president.  You are voting for a man to be your president and another man that stands a heartbeat away.  You are voting in a time of unprecedented events, of uncertainty, and, my friends and fellow Americans, the first test of a presidential candidate is what kind of a man did he select as his running mate, and I ask you to think of that as you go to that voting box.  I ask you to think about the possibilities that could happen in this country.  I do not like to think of them myself, because they carry with them tragedy, personal tragedy, at least for one, but you must think of your country and so must I, and we must think of the future of this country, and not just of its present moment.  So that its next President must have a working partner with him, and if you elect me as your president, there will be a trustworthy, competent working partner standing along side of me to work with me.  ",dem,1968,True,False,32,2133_32,226
391,392,391,2494,"Thank you very much, Governor Jim Edwards, Senator Strom Thurmond, Congressman Floyd Spence: I can't express deeply enough my appreciation for the hospitality of Jim and Ann and this wonderful turnout here in this just gorgeous mansion and the grounds. I thank you all for your very warm and generous hospitality. It's great to be in South Carolina.",rep,1976,True,False,0,2494_0,58
436,437,436,1823,"Significantly, this kind of effort has been a discernible part of the American character and the American purpose from the beginning of our country.  Early in the 19th century the French observer, De Tocqueville, noted this difference between the American character and the Russian: """"The American struggles against the obstacles that nature opposes to him,"""" he wrote, """"The adversaries of the Russian are men.  The conquests of the American are therefore gained by the plowshare; those of the Russian by the sword.""""",rep,1960,False,False,35,1823_35,82
526,527,526,2331,"Mr. Secretary, all of the distinguished guests at the head table, and all of the distinguished guests on this occasion here in Washington: I consider it a very great privilege to come in to your dinner right at the dessert course and to participate in it in a way that I think not only honors the man we are going to honor, but honors the office of the president of the United States. An award is being made tonight, I understand, for the first time by this organization.  It is Amerito's Outstanding Citizen Award.  All of you know to whom that award is going to be made.  He is sitting here at this head table, along with his wife, and so, consequently, it will be no surprise when I read the citation.  I will speak briefly about him.  He will respond as he receives the award, and then I will have the opportunity to speak to you briefly about the general subject that brings you all here together on this occasion, and annually.",rep,1972,True,False,0,2331_0,173
764,765,764,1957,"Mr. Chairman, Governor Dalton: I'm with good neighbors and good friends whenever I'm in the state of Missouri! Mrs. Johnson and I feel at home with Stu Symington, one of the great and wise men of the United States Senate, and one you are going to return with a landslide majority November 3rd.",dem,1964,True,False,0,1957_0,53
824,825,824,1758,"Now, with regard to that decision, may I tell you what I believe.  One: America must begin by being the strongest nation in the world militarily.  Why?  Not because we want to fight a war, but because we don't...[missing text]...because we know as long as we're strong, we will always use our strength to keep the peace and to keep anybody else from threatening it.  So, point 1: I pledge to you we will keep America strong as she is today--stronger than anybody in the world so that we can keep the peace.",rep,1960,False,False,9,1758_9,93
825,826,825,1758,"Second: In addition to keeping America strong militarily, we must also keep the diplomacy in which we deal with the men in the Kremlin on a firm, realistic basis.  We must not be belligerent because we cannot enjoy the luxury of losing our tempers--the next president certainly can't, because when he loses his temper in dealing with the men in the Kremlin, it might run the risk of setting off the world conflagration that we don't want.  So the next president must be a man of judgment, a man who has had experience, and a man, above all, who knows the men in the Kremlin and the Communist leaders and knows what will work with them and what will not.",rep,1960,False,False,10,1758_10,120
834,835,834,2523,"Thank you very, very much, Bob Taft: You can't imagine the thrill it is, how really humble I feel to be on this platform in this great Karlin Hall with the two greatest governors in the history of Ohio, as well as the finest mayor of a great city; and then a person who is going to follow in the great tradition that he has built on his own record and the great tradition of his father, your Senator, Bob Taft. If I might take just a minute to introduce a member of my family--we have three boys and a daughter, Susan--and our son, Mike Ford, has been here in the state of Ohio all day; he's going to be with me tonight. He's a divinity student up in Boston, Massachusetts. He's out campaigning for his old man. I would like to introduce to you our son, Mike Ford.",rep,1976,True,False,0,2523_0,149
872,873,872,1994,"Thank you, my fellow countrymen. Good night, and God bless you. NOTE: The president's remarks were video taped in the diplomatic reception room at the White House at 1:45 p.m. on November 2 for broadcast at ten o'clock that evening.",dem,1964,True,False,26,1994_26,40
939,940,939,3173,"You remember that Harry Truman--it's not giving 'em hell, it's just telling them the truth, and they think it's hell. That's what Truman said, and he's right. Education: We've got the best program to help these kids, America 2000. It's got a lot of great features. It supports the teachers, not that NEA teachers union. Let's help the teachers. Help the teachers. And one thing it says is, let's help parents choose the school of their choice, private, public, or religious. It worked for the GI bill after World War II, and it can work to make our public schools better. Let the parents choose.",rep,1992,True,False,18,3173_18,105
955,956,955,1002,"Mr. Shapiro and my friends of Kankakee: I heard a rumor that this was Republican territory and that when we came here there wouldn't be anybody to meet us and that we would have to spend all of our time talking to ourselves. Well, you know talking to yourself isn't such a hard job for politicians. I once heard a definition of a politician, as a man who approached every question with an open mouth. But it only goes to show that political predictions can sometimes be wrong. You will be hearing a lot of political predictions in the next few days. I remember some predictions that were made four years ago. I remember them very well because they involved me and they were all bad. But I also remember that I--contrary to the predictions--was elected governor of Illinois by the largest majority in history.",dem,1952,False,False,0,1002_0,145
1003,1004,1003,3167,"On education, we've got a tremendous difference on education. We've got a program called America 2000. We've got the best job-retraining program to help those who need work as we move from a defense economy to a more private sector. I am very proud of our record. And I'll tell you one place where I really differ with Governor Clinton: I want to put the strength with the families. I want to give the parents the choice: public, private, or religious schools. Let the parents choose, and let's help them with their choice.",rep,1992,False,False,15,3167_15,93
1031,1032,1031,2090,"VOICE:  Hubert, can I shake your hand, please? VICE PRESIDENT HUMPHREY:  You will have your chance. VOICE:  Hubert, can I shake your hand?",dem,1968,True,False,9,2090_9,23
1032,1033,1032,2090,"VICE PRESIDENT HUMPHREY:  There were those who decided if a man wanted to fight, he ought to have a chance. VOICE:  I am for you, may I shake your hand, Hubert.  I believe you, I honestly believe you.",dem,1968,True,False,10,2090_10,38
1033,1034,1033,2090,"VICE PRESIDENT HUMPHREY:  Bless your heart, thank you, I will come back and shake your hand just a little bit later.  Thank you very, very much.  And we started our struggle, an uphill struggle.  Now I don't intend to make this a meeting of pathos and sadness.  The simple fact is that we started the struggle because you helped us.  You gave us the tools, you gave us the means, you gave me some of the confidence that I needed.  I once said to a group of my office mates and advisers, I said, """"Listen, if there isn't a living mortal left to campaign for this ticket, it will be me.""""  And I will campaign from one end of this country to the other because I happen to believe that this is a crucial election, and it is an election that goes far beyond just ordinary politics.  And because I believe that I think that that is why you are here tonight.",dem,1968,True,False,11,2090_11,162
1085,1086,1085,2084,Law and Order:  George Wallace didn't have it in Alabama.  He had the highest murder rate in the country.  He had the second-highest rate of aggravated assault.,dem,1968,False,False,1,2084_1,27
1193,1194,1193,2053,"Now listen to what the Washington Post said of Mr. Agnew:  """"Nixon's decision to name Agnew as his running mate may come to be regarded as perhaps the most eccentric political appointment since the Roman emperor Caligula named his horse a consul."""" And I say:  President Agnew, and President LeMay, it could happen, and so before we hear any more talk about the new Nixon's responsible appointments, let columnists carefully consider where President Agnew might lead us. In this campaign, I have never had to drag Ed Muskie kicking and screaming back into the mainstream of my own campaign--or into the twentieth century.  And, to borrow the language of Madison Avenue, no other presidential candidate can make that claim.",dem,1968,True,False,22,2053_22,119
1210,1211,1210,3359,"And one big difference that I have with Bill Clinton: he's getting ready to leave the White House, and I'm getting ready to move in. That's one big difference. And when I move in and Elizabeth moves in--and she does a great job, she'll be a great, great first lady. She'll be a role model for young women all across America, regardless of party.",rep,1996,True,False,11,3359_11,64
1323,1324,1323,1200,"Senator Mundt and my friends of South Dakota: I am here in a capacity that it never crossed my mind I would be in when my friends used to ask me to come out here to shoot pheasants.  I assure you this is a tougher job than tramping up and down the corn rows.  Nevertheless, it is an inspiring job.  The finest thing about campaigning is the opportunity it brings to a candidate to meet Americans face to face, to discuss with them problems of the day and to get their reactions.  I do get reactions from audiences such as this.  Sometimes I get them in the form of letters or telegrams to my train.  Sometimes I get them in what they shout at me as I go along the road, or from the audience, and sometimes that language is the kind that I don't dare later to use over the radio.  Nevertheless, I learn from them, I assure you, far more than I can tell them, I am trying to bring to them what is in my heart and mind as I carry on my duty and responsibility as Republican standard-bearer.",rep,1952,False,False,0,1200_0,192
1401,1402,1401,1566,"We say to you, those of us who seek high office and high responsibility in this somber time in the life of our country, we are reminded what Lincoln said when he left this city to go to Washington: """"My friends, I now leave with a task before me greater than any which has rested upon any president since the time of Washington. Without the assistance of that Divine Being who attended him, I cannot succeed. With that assistance, I cannot fail.""""",dem,1960,True,False,19,1566_19,82
1684,1685,1684,2720,"PLEASE NOTE:  THIS IS A DRAFT DATED SEPTEMBER 13, 1984, BUT THE DATEON THE HEADING IS SEPTEMBER 15, 1984. Thank you, Jeno.  I hope someone has that introduction on tape.  I'd like to use it to start off my campaign speeches from now on.  In fact, I might use it instead of some of my speeches.",dem,1984,True,False,0,2720_0,56
1695,1696,1695,2720,"And to Norwegians, America meant the same thing Carlo Levi said it meant to the impoverished peasants of Eboli:  """"It is a land where a man toils and sweats where he lays aside a little money only at the cost of endless hardship and privation.  At the same time, and with no contradiction, it is an earthly paradise and the promised land."""" Levi wrote about an era now almost fifty years in the past, when the walls of every family in that poverty-stricken town so far from hope held the portraits of two """"guardian angels the Madonna of Viggiano and the hearty grin of President Roosevelt.""""",dem,1984,True,False,11,2720_11,106
1886,1887,1886,3166,"But here's the good news for America: Unemployment has been down for three straight months. And I said the country is growing at 2.7 percent. Let's keep it growing by my plan, not by the Democrats' plan.",rep,1992,False,False,9,3166_9,37
2049,2050,2049,1995,"Yes, my fellow Democrats, we have recognized and indeed we must recognize the end of an era and the beginning of a new day.  And that new day--and that new day belongs to the people--to all the people everywhere in this land of the people, to every man, woman and child that is a citizen of this republic. And within that new day lies nothing less than the promise seen a generation ago by that poet Thomas Wolfe: to every man his chance, to every man regardless of his birth his shining golden opportunity, to every man the right to live and to work and be himself, and to become whatever thing his manhood and his vision can combine to make him. This is the promise of America.",dem,1968,True,False,12,1995_12,128
2100,2101,2100,1981,"Dear Chairman, distinguished platform guests, my neighbors here in the great state of Kansas: One great resource that you have in Kansas is able, dedicated men--men like Harry Wiles who is going to be your next governor. Harry is an action man. He is determined to make Kansas a more prosperous and a stronger state. Kansas citizens can perform no more beneficial service for themselves and their families than to make sure next Tuesday that Harry Wiles is their leader and is elected.",dem,1964,True,False,0,1981_0,83
2155,2156,2155,1956,"Governor Kerner, my old and dear friend Paul Douglas, one of the nation's most effective congressmen, Mel Price, Governor Shapiro, Mayor Fields, Paul Powell, Jim Ronan, and my good friends of Illinois: It is good to be in Illinois and with your neighbors and my friends, Senator Symington, Senator Long, Mayor Gunn of St. Louis, Congresswoman Sullivan, Congressman Frank Karstch. You know, somehow or other, I have a feeling in my bones this afternoon that this is going to be a great Democratic year for Otto Kerner, one of the great governors in this nation; Stu Symington, one of the great Senators in the nation; Sam Shapiro; Leonor Sullivan; Frank Karsten; Mel Price; and, I would hope, Lyndon Johnson and Hubert Humphrey. Standing here by this plaque dedicated to our late beloved President, John Fitzgerald Kennedy, I am aware again of the sense of high purpose that he brought to the presidency of the United States.",dem,1964,True,False,0,1956_0,156
2176,2177,2176,2287,"Thank you very much. Lieutenant Governor Burpage, Sharon Walsh, students and faculty of the University of Minnesota: I have just been told by one of the officials here on the platform that this is the largest crowd ever assembled in the history of this university. And I must say, arriving here as I have one hour late, it is also one of the most patient crowds in the history of this university. ",dem,1972,False,False,0,2287_0,72
2330,2331,2330,2330,"Good afternoon.  I want to talk with you today about an issue that strikes directly at every pocketbook and every savings account in America: the clear and present danger that excessive spending by the Congress might cause a congressional tax increase in 1973. When the Congress votes to increase spending above the federal budget, there are only two alternatives: either taxes will go up, or a new surge of inflation will begin and prices will go up.",rep,1972,True,False,0,2330_0,77
2352,2353,2352,2442,"Thank you very much, Congressman Jack Edwards, Governor Wallace, Congressmen Dickinson, Buchanan, and of course your great coach, Bear Bryant, and all of you wonderful people from Mobile and the state of Alabama: What a grand conclusion of a super day, and I thank you from the bottom of my heart. I especially want to indicate my gratitude, Governor Wallace, for your accepting my invitation to come to Mobile and to give me a welcome in front of your wonderful friends from the state of Alabama. I have known Governor Wallace ever since I was the minority leader. He was your Governor. We worked together then; we worked together when I was Vice President.",rep,1976,True,False,0,2442_0,114
2644,2645,2644,2132,"VOICES:  Nothing! Now, friends, this campaign has only a few more days to run.  It is drawing to a close.  Pretty soon the balloons will all be deflated, confetti will all be gone, campaign slogans will fade away, and we come down to the issue--the one overwhelming issue that every mother and father and ever son and daughter must face up to--whom do you trust with the most powerful position on earth, and whom do you trust, and who are you going to trust for the future of this country.",dem,1968,True,False,9,2132_9,90
2905,2906,2905,939,"I have been wondering sometimes what that brutal battle in Chicago last July was all about. I am glad to note that not all of the crusaders who marched into battle against Senator Taft so gallantly are prepared to follow their leader in his inglorious retreat. Let me say to the good Republicans of New England: there is always a light in the Democratic window and a warm welcome awaiting you in the Democratic party. We know how to make people feel at home, and that's why we win elections.",dem,1952,True,False,6,939_6,90
3148,3149,3148,2130,"VOICES:  We want Humphrey! VICE PRESIDENT HUMPHREY:  Let me tell you that Humphrey wants you. And I want to let you go on like that, but you have paid television, and we just can't afford to have you say those things that long, you see.  Say it on election day, November 5th, that is the time that will count.  ",dem,1968,True,False,0,2130_0,59
3158,3159,3158,2130,"I wouldn't trust him five minutes with Medicare.  I will be glad to give him some, but I won't trust him with it. VOICES:  Sock it to `em!",dem,1968,True,False,10,2130_10,28
3159,3160,3159,2130,"VICE PRESIDENT HUMPHREY:  Who was it, my friends, that never once cast a single vote to help an unemployed man get a job, that never once lifted his voice for training, for a young teenager that might have dropped out of school and needed a chance, and who was it that only the other night on Face the Nation said, """"Let's do away with the Job Corps,"""" and as one of the American heroes at the Olympics, George Foreman, heavyweight champion, representing the United States, holding high the American flag, with the gold medal on his chest, and when he received that high honor, what does he say, and as Mr. Nixon is speaking on Face the Nation, he aid, """"I got my chance in the Job Corps,"""" and yet Mr. Nixon says do away with it. VOICES:  Sock it to `em! VICE PRESIDENT HUMPHREY:  And who is it that thinks that a little unemployment, not only a little, quite a little, 5.5 million, if you please, might be good for this economy, what kind of talk is this for a man that wants to be president of these United States, to talk in terms of statistics as if it was a bookkeeping operation?  We are talking in terms of human lives, we are talking in terms of families, we are talking in terms of human needs, and yet Mr. Nixon said that if it wasn't over 4.5 million, it wasn't dangerous, and he has raised his ante now, and his chief adviser says we could possibly go up to 5.5 million.  Whose job are you talking about, Mr. Nixon?  Maybe yours, because I intend to see that you are unemployed November the 5th. ",dem,1968,True,False,11,2130_11,284
3165,3166,3165,2130,"VOICES:  Sock it to `em! VICE PRESIDENT HUMPHREY:  Exactly 12 weeks from tonight that new president will have spent his first full day in the White House, and from--on January 20th, when the balloons have collapsed, the confetti is gone and the television commercials are silent and the crowds have gone home, on January 20th a president and a vice president will stand together on the steps of the Capitol in Washington and they will take the solemn oath as president and vice president of these United States of America, and under the president's leadership this country, this great country of ours, will take its direction and so will the world.  The choice that the American people make six days from no, just six days, will chart, I believe, the course for all mankind, because it is still true that Lincoln--as Lincoln put it, that America is the last best hope of earth, and when we vote here, we do not merely vote for ourselves or for the generation that is ours.  We vote for generations yet unborn, and above all we vote for mankind.  So I want to talk to you tonight about a course, about what kind of a president that I would hope to be if the people would give me that chance.",dem,1968,True,True,17,2130_17,216
3335,3336,3335,2118,Thank you very much.  Thank you.  VOICES: We want Humphrey!,dem,1968,True,False,0,2118_0,10
3336,3337,3336,2118,"VICE PRESIDENT HUMPHREY: Thank you, thank you.   May I first say to those that have chanted that you want Humphrey, that Humphrey wants you.  Thank you very much. ",dem,1968,True,False,1,2118_1,28
3367,3368,3367,2118,"Mr. WRENN: As you have questions, would you raise your hand, please, and then as I call on you, would you move to a microphone that you will find down in the aisles after you have been called on?   This gentleman up here, would you move to this microphone, please? QUESTION: In what role do you see the federal government play in financing or helping to finance education in private colleges and universities? ",dem,1968,True,False,32,2118_32,73
3368,3369,3368,2118,"VICE PRESIDENT HUMPHREY: We presently have what we call the Higher Education Act which aids institutions of higher education in the construction of the needed facilities, that is the physical plant.  Also--and by the way, the most recent bill in that area for the next five years represented a $7.3 billion commitment.  The Higher Education Act was passed in 1965.  It was one of the bills, by the way, which Mr. Nixon voted """"no"""" on when he had his chance as vice president can ever vote in the Senate is when there is a tie, and Mr. Nixon did not use his vote to break that tie in order to pass the Aid to Education bill.",dem,1968,False,False,33,2118_33,116
3372,3373,3372,2118,"MR. WRENN: The lady with the pink sweater.  Will someone give her a microphone? QUESTION: Vice President Humphrey, do you feel that your administration or the Republican administration could end the war in Vietnam in the near future?",dem,1968,True,False,37,2118_37,38
3373,3374,3373,2118,"VICE PRESIDENT HUMPHREY: It is my hope--and I say it is a very much live hope--that the present administration will be able to end this war.  There are more--very sensitive negotiations underway, as you know.  They have been exceedingly sensitive the last two weeks, and I hope and pray that these negotiations can be successful.",dem,1968,False,False,38,2118_38,55
3376,3377,3376,2118,"MR. WRENN: The boy right next to you. QUESTION: What is your opinion of the lottery system versus the present draft system? VICE PRESIDENT HUMPHREY: The present draft system to me is totally unacceptable.  I think that the lottery system is--and may I say that I have already talked to members of the Congress, and when I am elected your president one of the first pieces of legislation that we will offer will be to change this draft law so that it has come elements of fairness within it so that a young man knows whether or not he is going to be called.",dem,1968,True,False,41,2118_41,104
3378,3379,3378,2118,"You know, it is the draw of the lot, and I think most of the young people I have talked to feel that way about it, and we will get it done for you, my friends.  MR. WRENN: The lady to your immediate left. QUESTION: Mr. Vice President, will you please explain the ruling handed down by the United States Supreme Court regarding Bible reading and prayers in public schools?  Is it mandatory or flexible?  ",dem,1968,True,False,43,2118_43,75
3379,3380,3379,2118,"VICE PRESIDENT HUMPHREY: Well, frankly I am not a judge, and I am not trying to evade your question.  As I recall, as I recollect, the decision said to the effect that mandatory reading was not within the first amendment of the Constitution, and that is my recollection of it. I can't recall the case in particular.  I am not a lawyer, I regret to tell you, but it is my views that the court ruled that it could not be made by a school board mandatory within the schools.",dem,1968,True,False,44,2118_44,90
3380,3381,3380,2118,"MR. WRENN: All right.  The gentleman that is standing in the back or let's get that one first and then let's get the other gentleman standing in the middle here, the fellow with the white coat on. QUESTION: Mr. Humphrey, this summer you were elected as the nominee for the Democratic Convention in the infamous Chicago rally, and you took as your platform at that time the platform that the men set up for you.  At that time, you accepted Mr. Johnson all the way, you got the nomination because you wholeheartedly approved Mr. Johnson.  Since that time you have made two different types of speaking which have changed your Vietnam policy, the last one is in Salt Lake City.  Also since that time you have tried to divorce yourself, so to speak, from Mr. Johnson because that has been an infamous administration.  ",dem,1968,True,False,45,2118_45,143
3381,3382,3381,2118,"I would like to have your views on this.  Is it trying merely to buy votes? VICE PRESIDENT HUMPHREY: Well, first of all, let me say that the platform of the Democratic party was written by the members of that convention after heated debate.  Compared to the Republican party, there is no comparison.  Our convention was an open convention.  There were...",dem,1968,True,False,46,2118_46,61
3382,3383,3382,2118,"VOICES: No!  Boo! Well, there were four hours of debate, time equally divided, on the Vietnam plank.  The party platform also included within the modernization of the party structure the abolition of the unit rule.  Hearings were held in three cities, they were held for a period of two weeks, they were all open to the press.",dem,1968,True,False,47,2118_47,57
3390,3391,3390,2118,"MR. WRENN: The gentleman standing with the white coat. QUESTION: Mr. Humphrey, Mr. Wallace said he wants law and order, but is it not so that Alabama has had the highest murder rate in the country? VICE PRESIDENT HUMPHREY: Well, let me tell you what I think about Mr. Wallace's law and order.  If that were the kind of law and order that we were to have throughout this country, we could say God bless America as sort of a, well, I don't know, as a pitiful prayer, because Alabama does have the highest murder rate in the union.",dem,1968,True,False,55,2118_55,99
3394,3395,3394,2118,"MR. WRENN: Mr. Parks, the gentleman behind you with the blue shirt and the tie. QUESTION: Mr. Humphrey, the National Rifle Association Journal, and I don't support the National Rifle Association, but it quoted you as stating that you had changed your position four times on gun control in thirty-six hours, and also it was my understanding that Mr. Wallace, before he entered this race, was a Democrat.  So all those things occurred under a Democratic rule, right?  ",dem,1968,True,False,59,2118_59,78
3395,3396,3395,2118,"VICE PRESIDENT HUMPHREY: Well, first of all, may I say- VOICES: Boo! QUESTION: My question is about the Rifle Association, what is your position on gun control now?",dem,1968,True,False,60,2118_60,28
3396,3397,3396,2118,"VICE PRESIDENT HUMPHREY: My position on gun control first of all there should be registration of all guns.  That is number one--registration.  I spelled it out in particulars.  I have never changed my position.  I backed the legislation in the Congress.  We have now registration in terms of the mail order, but I believe that there ought to be very effective gun control registration laws.  I would hope that that could be accomplished by the states.  If it can't, then the Congress of the United States should set those standards.  I never changed it.  I know it is not a popular position.  I know it costs one votes, but I don't care.  I happen to think that the use--that the promiscuous use of lethal weapons in this country is one of the great sad things of present current day America, and I think we have got to have some way to keep these weapons out of the hands of people who are mentally disturbed, who are dope addicts or who have criminal behavior, and I know of no better way to do it than effective gun control and registration laws, and I support it, Rifle Association or not.",dem,1968,True,False,61,2118_61,198
3398,3399,3398,2118,"MR. WRENN: All right, in the back. QUESTION: Now that the election is so near, Mr. Nixon is beginning to talk about the survival gap.  Will you tell us something that you would like done in defense of this country?",dem,1968,True,False,63,2118_63,40
3399,3400,3399,2118,"VICE PRESIDENT HUMPHREY: The question was on the--Mr. Nixon's charges on the survival gap and security gap.  I have--I released a statement last night which I would like to just for a moment, if you don't mind--a page here--to read to you. On Thursday, Mr. Nixon charged that the Kennedy and Johnson administrations had created a """"security gap"""" which would become a """"survival gap"""" unless vast new military expenditures were undertaken.  Then he outlined what some of those projects would be.",dem,1968,True,False,64,2118_64,81
3406,3407,3406,2118,"MR. WRENN: All right.  Call on this gentleman with the red-checked coat, and before he comes to the mike, I want to say I am extremely sorry this is the last question, the Vice President has to be in Akron.  And after this question and the Vice President has given his answer, would you please stay in your seats until the Vice President has left the hall.  Thank you.",dem,1968,False,False,71,2118_71,69
3407,3408,3407,2118,"QUESTION: Mr. Vice President, Mr. Curtis LeMay several days ago made a statement to the effect that if he were elected, he would no longer tolerate conscientious objectors to war of any type.  Do you see in the future of our society a continued place for conscientious objectors on the basis of religion? VICE PRESIDENT HUMPHREY: I surely do, and I don't think Curtis LeMay has any chance whatsoever to be elected to office, so don't worry. ",dem,1968,True,False,72,2118_72,77
3408,3409,3408,2118,"MR. WRENN: Please remain in your seats, please. VICE PRESIDENT HUMPHREY: May I say just one final word to you.  I hope everybody will realize this week is a critical week.  This has been a hard fight.  We are on the march, we are on the upward trend.  I finally got Mr. Nixon to talk.  It took some time to do it.  His well-planned campaign is coming apart.  I now want you to go on out and work.  If you don't have a bumper sticker, make one.  If you don't have a pin, make one.  Call people on the telephone.  ",dem,1968,True,False,73,2118_73,100
3461,3462,3461,1377,"Third: We have learned during this campaign that in spite of the President's virtuous disclaimers, the Republicans are still playing election-year politics with the farmer for all it's worth. Again and again the President has said, with great show of self-righteousness, that the farm problem is something dreamed up by the """"politicians""""--he gets very indignant when he uses that word--to win votes. If the President is against playing politics, ask him what he was doing four years ago at Kasson, Minnesota.",dem,1956,False,False,12,1377_12,81
3564,3565,3564,1808,"I read it just a few days ago in the paper.  I call it to your attention tonight.  Dateline, Havana: Fidel Castro said: """"The two men running for president of the United States are a couple of beardless youths.""""",rep,1960,False,False,5,1808_5,39
