,text,label,annotated_at,Speech_id_x,party_x,term_x,comp_x,par_id_y
25,"See, we've got a different view about how we create jobs and prosperity in America. This country doesn't succeed when only the top are doing well. We succeed when the middle class is getting bigger and people have ladders of opportunity to live out their dreams. Our economy doesn't grow from the top down, it grows from the middle out and the bottom up. We don't believe that anybody is entitled to success in this country. But we do believe in something called opportunity.",not populist,11/4/20 15:36,2012-10-07-los-angeles-california,dem,2012,False,18.0
26,"Audience members. Boo-o-o! The President. When you're out gathering the vote, when you're out convincing people to go to the polls and vote, remind them of this fact: Only four United States Senators voted to authorize the use of force and then voted against funding our troops, two of whom are my opponent and his runningmate.",not populist,11/4/20 15:36,2004-09-23-bangor-maine-1,rep,2004,True,56.0
27,"The only war that would make less sense would be a nuclear war over Quemoy and Matsu.  The American people know this.  When their letters of protest were reported by the state department at the time of the 1958 crisis, Mr. Nixon complained that this was ""sabotage"" by a mere ""state department subordinate.""",not populist,11/4/20 15:37,1605,dem,1960,False,16.0
28,"They want a president who will restore their trust in government by trusting them--a leader who will neither distort the truth, nor loan away the government. They ask for a president who will tell them, not just what they want to hear, but what they have a right to know. They want a leadership that will return a basic sense of fairness to government--that will set not one standard for the powerful and one for those without power, but a single standard for us all.",not populist,11/4/20 15:37,2297,dem,1972,True,42.0
29,"Senator Edward Kennedy--Ted Kennedy, as we call him affectionately,Likewise, has many responsibilities, and he could not be here. So you have no idea the special joy that is mine tonight to be ableto be a substitute and to be able to fit into this program--and tospeak some words of praise for a great family, and some words ofcommendation to this city, to this community and this school boardfor this magnificent elementary school.  The architecture is something to behold.",not populist,11/4/20 15:37,2109,dem,1968,True,2.0
30,"All these years later – his teacher still treasures his memory. And this teacher wanted me to know – he wanted me to know that despite what Donald Trump may say, immigrants are not rapists and criminals. The truth is, this young man may not have been born here, but he represented the best values of our country.",not populist,11/4/20 15:37,2016-09-15-institute-washington-dc,dem,2016,False,21.0
31,"Then his third idea, as I mentioned earlier, was a government takeover of the greatest health care system in the world--right here--the health care power grab would have cost $1.5 trillion. It imposed a total of seventeen new taxes and created fifty new bureaucracies. And then he says he's not liberal. I don't believe it and the American people don't believe it, either. And on November 5th we're going to demonstrate what he really is.",not populist,11/4/20 15:37,3320,rep,1996,True,15.0
32,"It — — economy. That's why we're spending so much time talking about our economy, because everything we do diplomatically, culturally, militarily, flows from having a strong economy. And so we must rekindle the American economy. These last three years, this has not been a real recovery. Oh, it bumps up, it bumps down, you're going to see ups and downs over the coming months I'm sure. But this is not the trend you want to see. So far this year, America's economy is growing more slowly than last year. And last year, it grew more slowly than the year before. This is not the recovery we need. The Federal Reserve, bringing more money, doing everything that they can, trying to prop this things up. We need to rekindle the strong economy.",not populist,11/4/20 15:38,2012-10-04-committee-conference-denver,rep,2012,False,16.0
33,"Four years ago, when I traveled your State asking for the vote, I pledged to restore honor and dignity to the office to which I had been elected. With your help, I will do so for 4 more years. God bless. Thank you all. Thank you all. On to victory!",not populist,11/4/20 15:38,2004-10-23-remarks-lakeland-florida,rep,2004,True,64.0
34,"Now, what do we offer?  We offer a program of progress.  We offer a program which will also mean more federal action in the field of health, in the field of education, in the field of welfare, in the field of assistance to depressed areas.",not populist,11/4/20 15:38,1774,rep,1960,False,16.0
35,I will always stand with our troops. I want to thank the military families who have joined us today. And I want to thank the veterans who have set such a great example to those who wear the uniform.,not populist,11/4/20 15:38,2004-10-28-dayton-ohio-1,rep,2004,False,18.0
36,"With the help of my loving family we have been in forty-nine of the fifty states and we have tried so hard to be president of all the people, for all the people. We have tried to reason with the leaders of the world, and I saw 85 from 120 countries. We have tried to bring peace and brotherhood among our fellow men. ",not populist,11/4/20 15:38,1991,dem,1964,True,3.0
37,"And I want to be clear about exactly how I will pay for my plan. First, I will aggressively cut health care costs by reducing waste, greed and paperwork; lowering the cost of prescription drugs; and eliminating wasteful subsidies to private plans in Medicare. That will save a lot, but will still leave a cost of about $65 billion a year.",not populist,11/4/20 15:38,2008-10-04-newport-news-virginia,dem,2008,False,40.0
38,"In this enterprise which I describe, we are not trying to remake the world in the image of America.  We are not trying to force any man to our way if it is not his.  We are not trying to buy peace or bring peace with the sword.",not populist,11/4/20 15:38,1220,rep,1952,False,40.0
39,"My parents arrived in this country seventy-five years ago.  My father, unable to speak the language, worked hard and ran from his daytime job to take night courses in English.  Eight years later, he enrolled in medical school and went on to be the first American-trained Greek-speaking doctor in metropolitan Boston.",not populist,11/4/20 15:38,2888,dem,1988,False,4.0
40,"This country faces a perilous world situation. If we are to win through to peace, we must grow in strength--economic strength and moral strength. We have to continue to fight for equal rights and equal opportunities for every citizen in this country, no matter where his parents were born or what color his skin may be. Only if all of us in this country go forward together, arm in arm, can we preserve our freedom and bring peace in the world.",not populist,11/4/20 15:38,913,dem,1952,False,6.0
41,What if we do that? I know we can. We just have to believe in ourselves. Let's start making it happen twenty-two days from now!,not populist,11/4/20 15:38,2004-10-11-fe-new-mexico,dem,2004,False,25.0
42,"Fifth, we need to cut the deficit, but we've got to do it in an intelligent way. I've proposed cutting it by $4 trillion over the next 10 years, and I've already worked with Republicans to cut a trillion dollars of spending. But we can't get this done unless we also look at the other side of the ledger. We don't cut our way to prosperity. We've got to ask the wealthiest among us to pay higher taxes on incomes over $250,000, which is the same rate we had when Bill Clinton was President, our economy created nearly 23 million new jobs, the biggest surplus in history, and a lot of millionaires did well too. Because when we give tax breaks to middle-income folks, to lower income folks, they spend it. They need to to pay the bills, which means businesses end up with more customers, they make more profits, and that means they hire more workers.",not populist,11/4/20 15:38,2012-10-07-los-angeles-california,dem,2012,False,27.0
43,"And today, because they believed in the power of liberty, Japan is a democracy, and I sit down at the table with Prime Minister Koizumi talking about the big issues of the day and talking about how to keep the peace we all want. Think about that. Someday, if we're resolved and steadfast and strong, Iraq will become a democracy. And someday, an American President will be sitting down with a duly elected leader of Iraq talking about the peace we all want. And our children and our grandchildren will grow up in a better world for it.",not populist,11/4/20 15:39,2004-10-09-remarks-chanhassen-minnesota,rep,2004,False,51.0
44,"This is the world that can be for each child born November 6th, 1984--a world at peace and alive with freedom; a society of growth, opportunity, and progress. In speaking tonight of America's traditional values and philosophy of government, we must remember the most distinctive mark of all in the American experience: To a tired and disillusioned world, we've always been a New World and, yes, a shining city on a hill where all things are possible. Our alliances, the strength of our democratic system, the resolve of free people--all are beginning to hold sway in the world. We've helped nourish an enthusiasm that grows each day, a burning spirit that will not be denied. Mankind was born to be free. The tide of the future is a freedom tide.",not populist,11/4/20 15:39,2880,rep,1984,True,24.0
45,"Q: It's combined, both. NIXON: A combined question. The whole problem of the growth of crime with greatest respect for law. Well, basically, let me begin with this proposition, and I think it's terribly important, particularly for this young audience who has so much of America in your hands the future of America, that you understand, and I am sure you do understand, the difference between respect for law and order and the rights of dissent, where one ends, where the other begins.",not populist,11/4/20 15:39,2168,rep,1968,True,45.0
46,"I want to thank Bill White, the Texas State Democratic Chairman and the Co-Chair of our campaign. He did a magnificent job for all of you when he was the Deputy Secretary of Energy in our administration. And now that he's home in Texas, he's doing a great job for all of us again. And thank you, Gary Mauro, the Texas State Land Commissioner and my long-time friend, for co-chairing our campaign. Thank you, Senator Mike Montcrief and Representative Glenn Lewis.",not populist,11/4/20 15:39,3231,dem,1996,False,6.0
47,"Then they began to fear that my associates and I would bring about a depression, that we would like suddenly to see the United States broke, go into an economic collapse.  But it happens that we have been the ones who are preaching that the greater fear and the threat of our time is Communism, and the only way to fight Communism is with a prosperous America--an America that is fully employed, with working men and women at good jobs with good pay, with farmers prosperous.  We preached that and taught it and carried it everywhere.  So they had to abandon that.",not populist,11/4/20 15:39,1309,rep,1952,False,5.0
48,"I don't know how thick your hide is.  But it's my belief that most Americans are ready to say, ""This is too much.""  That is exactly what you and every other voting American will have the chance to say on November 4th.",not populist,11/4/20 15:39,1092,rep,1952,False,14.0
49,"We have to stop thinking of peace as just the absence of war or violence. We have to stop thinking of peace as something that is given, as something that is somehow dependent on what others do. And we must be certain that we do not mistake an illusion of peace for genuine peace.",not populist,11/4/20 15:40,2669,rep,1980,False,5.0
50,"One, we will act to put America on track to a balanced budget by eliminating unnecessary programs, by sending programs back to states where they can be managed with less abuse and less cost, and by shrinking the bureaucracy of Washington. Two, we'll produce more of the energy we need to heat our homes, fill our cars, and make our economy grow. We will stop the Obama war on coal, the disdain for oil, and the effort to crimp natural gas by federal regulation of the very technology that produces it. We will support nuclear and renewables, but phase out subsidies once an industry is on its feet. And rather than investing in new electric auto and solar companies, we will invest in energy science and research to make discoveries that can actually change our energy world. And by 2020, we will achieve North American energy independence.",not populist,11/4/20 16:03,2012-10-26-economy-ames-iowa,rep,2012,True,18.0
51,"But I will say this:  Mr. Nixon is making his ""extra effort"" to catch votes, is playing fast and loose with our national security. He is trying to mislead the American people.  Worse than that, he is undermining the confidence of our allies.  He is risking miscalculation by our enemies.  He is urging a mad escalation of the nuclear arms race.",not populist,11/4/20 16:03,2114,dem,1968,True,11.0
52,"The President. Thank you. It is good to be back. It is good to have all kinds of friends here today. I want to acknowledge a couple of people. First of all, outstanding Congressman Bobby Scott. A good man who's running to join him in Congress, Paul Hirschbiel. And I could not be prouder of a man who has served this country his entire life—as a marine, as Secretary of the Navy, as an advocate for veterans, as a United States Senator, somebody who is responsible for successfully passing the post-9/11 GI bill—my friend and a true patriot, Senator Jim Webb.",not populist,11/4/20 16:03,2012-09-27-virginia-beach-virginia,dem,2012,False,3.0
53,QUESTIONS AND ANSWERS [MISSING TEXT] MONDALE:I would do several things.  We should terminate that illegal war in Nicaragua.  I don't think it's any of our business.  That has strengthened the extremists in the Sandinista government.  It has been used by our enemies in the region and throughout the world to attack us for not pursuing the law and proper approach of nonintervention.  That should be stopped.,not populist,11/4/20 16:03,2744,dem,1984,True,35.0
54,"I have no doubt that if our voice can be heard and if we can describe those issues clearly that the American people will make the right judgment. But it's not easy to get that message across clearly, because of the circumstances I described to you just a few minutes ago--the confusion, the withdrawing, the muzzling, the lack of an adequate debate forum between the nominees of our two parties. It's a travesty to know that that has not been possible to arrange, when the American people need it and it ought to be offered to them. I'll do the best I can the next few weeks, and the weeks are not very long and not very many before the American people make a judgment about what kind of future this nation will have.",not populist,11/4/20 16:03,2573,dem,1980,False,16.0
55,"Since 1977, his administration has ignored the problems overly strict compliance schedules have caused the steel industry. Now, with American steel's competitiveness falling dangerously low in an election year, he wants to stretch out compliance times. It's a complete turnabout, a move, I suspect, designed more to provide political recovery for the Carter campaign than economic recovery for the steel industry. And America's labor union members--especially steelworkers--should ask themselves: Can you really believe it?",not populist,11/4/20 16:04,2663,rep,1980,True,14.0
56,"The old Mondale sponsored National Bible Week in the U.S. Senate. I can go along with that. And the new Walter Mondale, though, says there's too much religion in politics.",not populist,11/4/20 16:10,2830,rep,1984,False,22.0
57,"For now, at least, my opponent's chosen a very different strategy. Rather than talk about what he wants to do for America, he spends a lot of his time and his energy belittling my ideas and playing on fears. One example I want to talk about: ways to limit the growth of federal spending, which every expert will tell you must be done. But instead of offering any spending restraints on his own, Governor Clinton simply goes around saying, ""Watch out, senior citizens. Watch out, veterans. Watch out, disabled Americans."" The same old scare tactics that they use every four years, and it's not going to work.",not populist,11/4/20 16:10,3082,rep,1992,False,27.0
58,The third force is urbanization.  More of our people are crowding into cities and cutting themselves off from nature.  Access to beauty is denied and ancient values are destroyed.  Conservation must move from nature's wilderness to the man-made wilderness of our cities.  All of this requires a new conservation.,not populist,11/4/20 16:10,1896,dem,1964,False,21.0
59,"Thank you very, very much. Thank you friends. Thank you Frank. What a pleasure to be introduced by my friend Frank Stella. Thank you for that warm introduction. And thank you all for the great welcome--the former Prime Minister and Mrs. Craxi--our most distinguished guests--and to our great Secretary of State George Schultz--proud to be here with him. My worthy opponent, who's named Michael Dukakis--glad to see you again sir. Twice in one week, as he says, together. And we have two great ambassadors. One going east and one going west.",not populist,11/4/20 16:10,2977,rep,1988,False,0.0
61,"We tried this once before, combining the Democratic governor of a small southern state with a very liberal vice president and a Democratic Congress. America doesn't need ""Carter II."" We don't want to take America back to those days of malaise. But Americans want to know: where's proof that we will have better days in Washington?",not populist,11/4/20 16:10,3064,rep,1992,False,62.0
62,"The Democratic party, in a free and open convention, chose as our candidate for vice president, one of the great spokesmen in this country today for the rights of man--Senator Estes Kefauver. The Republican party, in a convention that was not free and not open, threw out Joe Smith and, with President Eisenhower's blessing, nominated Richard Nixon. The contrast between these two men and the contrast in the manner in which they were nominated tells much about the difference between our two parties.",not populist,11/4/20 16:13,1367,dem,1956,False,14.0
63,"I think the future is going to be a difficult one for us, but I have the greatest confidence in this country.  I have served it in the Congress now for fourteen years, and I must say after traveling to fifty states in the last two years and nearly every section of the United States from the Northwest to the Southeast, I believe that the United States can fulfill its function as the chief defender of freedom in a time of great danger for us all.  A strong defense, a strong economy, a strong society serves not only ourselves but serves freedom.",not populist,11/4/20 16:13,1574,dem,1960,False,6.0
64,"And I can't help making one more personal reference about Senator Kennedy's dear mother--ninety years old, recently also hospitalized, now fully on the road to recovery--and what she means to this nation. People in every community almost in the entire world look on her, epitomizing in a highly publicized but very personal way the meaning of a family and the meaning of faith and the meaning of confidence and the meaning of deep religious convictions that never change. Frank Manning, my mother, Mrs. Rose Kennedy are more famous than a lot of people. But they are examples of the courage and the commitment and the worth to our country of tens of millions of people just like you: men and women who, after they reach retirement age--and we've raised the mandatory retirement age, as you know, very much, and I think we might raise it some more--have a chance to start a new life in many ways, new interests, to make new friends, to continue to grow.",not populist,11/4/20 16:13,2588,dem,1980,True,4.0
65,"Today, I would like to spell out how I intend to respond to each of these three challenges to American security and respect, and how my approach differs from that of Mr. Bush. First, the issue of trade. The next president must understand what 7 and 1/2 years of voodoo economics had done to America's competitive position in the world.  By driving up the dollar, it placed a tax on every product we sell abroad; and a discount on every foreign car and radio and television we buy at home.  It has turned America from the world's largest creditor into the world's largest debtor; made Middle America a shopping mall for foreign investors; cost more than two million good American jobs; and placed our economic future in the hands of the bankers and finance ministers of other lands.",not populist,11/4/20 16:23,2894,dem,1988,True,4.0
66,"Senator Kerry has a different point of view on our schools. He voted for the No Child Left Behind Act but now wants to weaken the accountability standards. He's proposed including measures like teacher attendance to judge whether students can read and write and add and subtract. He voted against health savings accounts. He opposes association health plans. He voted 10 times against medical liability reform. He can run from his record, but he cannot hide.",not populist,11/4/20 16:23,2004-10-23-remarks-melbourne-florida,rep,2004,False,43.0
67,"Q. You may not remember this, but in 1964, when you were a freshman at Yale, my roommates and I came over and knocked on your door. This was Governor George Pataki——",not populist,11/4/20 16:23,2004-09-10-discussion-portsmouth-ohio,rep,2004,False,134.0
68,"And we will make America great again. Thank you, and God Bless!",not populist,11/4/20 16:23,2016-09-30-showplace-novi-michigan,rep,2016,True,49.0
69,"As president, I have a real energy plan to harness the full force of America's technology and make this nation independent of Middle East oil in ten years. My plan will increase fuel efficiency, lower energy prices, produce alternative and renewable sources of energy, and create new jobs here at home. I want an America that relies on its own ingenuity and innovation, not the Saudi Royal family.",not populist,11/4/20 16:23,2004-10-11-fe-new-mexico,dem,2004,False,15.0
70,"I'm running again because I want to make sure hope and opportunity spread throughout the land, through good economic policy, through encouraging ownership for all people in our society. I'm running again because I hold certain values dear that I think are important for this country. And I'm running again because I fully understand the risks we face, and I have a strategy to protect the American people.",not populist,11/4/20 16:23,2004-10-20-discussion-rochester-minnesota,rep,2004,False,110.0
71,"We are not winning that kind of respect--when the people of Western Europe tell the Gallup poll that the Soviet Secretary General is more admired than the President of the United States;--when massive budget deficits are yielding control of America's economic future to bankers in Tokyo and Bonn;--when American ideas and dollars are producing more jobs and better jobs overseas than here at home;--when an avalanche of drugs is pouring across our borders and thugs like Noriega can thumb their nose at diplomats and law enforcement officers here in the United States; or--when the highest officials of our land betray American ideals and values by selling arms to a terrorist nation. To regain respect, we must rebuild our strength.  And we must understand that that strength does not hang from a single thread; it is like a steel cable, drawn from several intertwining strands.  If one of those strands is allowed to fray, the whole cable is weakened.",not populist,11/4/20 16:23,2894,dem,1988,True,2.0
73,"Real change also means getting rid of the corruption in Washington. As you have heard, it was just announced yesterday that the FBI is reopening their investigation into the criminal and illegal conduct of Hillary Clinton. This is the biggest political scandal since Watergate, and it is everybody's deepest hope that justice, at last, can be delivered.",not populist,11/4/20 16:24,2016-10-29-center-golden-colorado,rep,2016,True,0.0
74,"For all Americans, these years in our history will always stand apart. There are quiet times in the life of a nation when little is expected of its leaders. This isn't one of those times. This is a time when we need firm resolve, clear vision, and a deep abiding faith in the values that make this a great nation.",not populist,11/4/20 16:24,2004-09-04-remarks-kirtland-ohio,rep,2004,False,50.0
75,"I would think that even they would have the respect to listen to the words that I'm going to say in quoting John F. Kennedy. He stood one cold January day before the members of your statehouse, and he said, ""I carry with me from this state to that high and lonely office to which I now succeed more than fond memories and friendships. The enduring qualities of Massachusetts, the common threads of the Pilgrim and the Puritan, the fisherman and the farmer, the Yankee and the immigrant, will not be and could not be forgotten in this nation's executive mansion. They are part of my life, my conviction, my view of the past and my hopes in the future.""",not populist,11/4/20 16:24,2863,rep,1984,False,38.0
76,"Ten million more Americans got an increase in the minimum wage. The average income is up $1,600 for the typical family in the last two years after twenty years of wage stagnation. Last month we found out--or just two weeks ago we found out that we had the biggest decline in income inequality among working people in twenty-seven years, since this administration came in; the biggest drop in childhood poverty in twenty years; the biggest drop in poverty in female-headed households in thirty years; the lowest recorded poverty levels ever for senior citizens and African Americans; the largest number of new businesses owned by minorities and women in the history of the country; the largest number of new small businesses owned by anybody in the history of the country. It makes a difference. It makes a difference.",not populist,11/4/20 16:24,3282,dem,1996,False,25.0
77,And how about this fourth idea? Let's give the Congress back to the people. Presidents have term limits. Let's have term limits on members of the Congress.,not populist,11/4/20 16:25,3167,rep,1992,False,18.0
78,"As more facts have emerged, we've learned just how disingenuous the White House has become. Here are the facts. The IAEA warned the Bush Administration and the UN Security Council before the war that this weapons site was critical and needed urgent protection. The US Commander who reached the sight was never told to stop, inspect and protect it. He was never even told what it was.",not populist,11/4/20 16:25,2004-10-27-sioux-city-iowa,dem,2004,False,5.0
79,"And if that argument sounds familiar, one of those candidates happens to be running for President right now. And it turns out, his math and their math was just as bad back then as it is now. Because by the end of Bill Clinton's second term, America had created 23 million new jobs, and incomes were up, and poverty was down, and our deficits had become the biggest surplus in history.",not populist,11/4/20 16:25,2012-11-01-rally-boulder-colorado,dem,2012,False,20.0
