,speech_par_id,text,label,annotated_at
10,1796_14,"What do I say we will do?  Well, first of all, my friends--and this will be particularly understood in this Long Beach area, which has such a great stake in, and has made such great contributions to, our defense installations--we've got to keep the United States the strongest nation in the world militarily.  Now this is going to cost money.  Some people would like me to say, """"Well, can we keep it right where it is and not increase our expenditures?""""",not populist,1/7/21 13:59
11,2012-09-21-rally-woodbridge-virginia_16,Audience members. No! The President. —or we can build on it. I'm not going to let oil companies write this country's energy plan. I don't want them to keep collecting another $4 billion in corporate welfare from our taxpayers.,not populist,1/7/21 14:00
12,1236_13,"These are primarily affairs for local administration.  We must keep them so.  Otherwise, an all-powerful Washington bureaucracy will robust one by one of the whole bundle of our liberties.  We must preserve and protect this matchless system of states united.",not populist,1/7/21 14:01
13,1296_3,"Now this is what we have been doing during these past few weeks.  We have been showing to the people of the United States what has been happening to them over these past seven years since the war was ended, and what the responsibility of your national leadership has been for those things that have not been good.  In short, we have been talking about the mess in Washington, and in this particular point, we did not have to talk in a whisper because the Democratic candidate himself has said there is a mess in Washington.  Part of that mess, my friends, has been subversion, disloyalty in government.  Part of it has been waste and extravagance in the expenditure of your tax money.  Part of it has been fumbling and stumbling in the foreign field, but another part of it has just been sheer dishonesty in numerous places where the United States cannot afford dishonesty.",populist,1/7/21 14:01
14,931_0,"I am glad to be here in Connecticut. I first came here to school not far from Hartford about thirty-five years ago as a small boy. I have always gratefully recalled the warmth with which your citizens took me in, and also the patience with which my teachers tried to educate me. Some of them are here tonight and I am deeply touched by their continued interest in this Democratic heretic from the prairies of the West. Or should I attribute it to the fact that the last twenty years have won most of the more enlightened to the Democratic standard.",not populist,1/7/21 14:03
15,2011_31,That is all I have got to tell you.  I just want you to get out of here now and bestir yourselves.  Don't depend just on everybody is going to do it.  We are going to do it together.  I have been together with you all my public life and we are going to stick together; and let's go on out now and finish this job.,not populist,1/7/21 14:03
16,1525_5,"I think this is the most dangerous time for all of us. I don't run for the office of the presidency saying that there are easy solutions to difficult problems. There are difficult solutions for difficult problems, but there are solutions. I have the greatest possible confidence in our system, because I think it fits in with the basic aspiration of people, not only in the United States, but all around the world to be free and independent, a common desire, possessed by people in Latin America, and Africa, and Asia, and Eastern Europe, and in the Soviet Union, finally, itself. That is the great force working for us.",not populist,1/7/21 14:03
17,2016-08-18-charlotte-north-carolina_53,"But we can never fix our problems by relying on the same politicians who created these problems in the first place. 72% of voters say our country is on the wrong track. I am the change candidate, Hillary Clinton is the failed status quo.",not populist,1/7/21 14:04
18,2008-09-27-north-carolina-1_26,"But I am running for President because we simply cannot afford four more years of an economic philosophy that works for Wall Street instead of Main Street, and ends up devastating both. I don't want to wake up in four years to find that more Americans fell out of the middle-class, and more families lost their savings. I don't want to see that our country failed to invest in our ability to compete, our children's future was mortgaged on another mountain of debt, and our financial markets failed to find a firmer footing.",not populist,1/7/21 14:04
19,2272_20,"It has stopped public power development in its tracks, handed one preferment after another to the oil and coal and power giants, allowed pollution to run wild, encouraged monopoly, and ignored the consumer. I think it's time to turn those policies around. The waters of this nation belong to the people. The energy resources of this nation belong to the people.",populist,1/7/21 14:05
20,2304_9,"I begin with an article of faith.  It has become fashionable in recent years to point up what is wrong with what is called the American system.  The critics contend it is so unfair, so corrupt, so unjust, that we should tear it down and substitute something else in its place.",not populist,1/7/21 14:05
21,1184_5,"Those things, in general, make up the crusade.  That kind of a government will be one of which you can be proud, one in which you can take pride, and which will attract to Washington the finest men this country affords to help in the further development of the farm program labor-management difficulties, so that throughout you will say the government is tending to its own business, but it is tending to it honestly and well.  It is our friend, not our master, and it is going to bring to us the opportunities and the security that the American people have a right to demand of their government.   All that this new administration can promise to you when this crusade has become a success is that it will approach every single problem from the standpoint of the welfare of 155 million people.  No one section, no one class, no one group can profit at the expense of everybody else.  That is good for America--that is all that can be promised.  Because everything else has been promised and most of those promises were no good anyway.",populist,1/7/21 14:08
22,3090_19,"In this election, I'm asking for a mandate to return power to the people, to let government give you the means and then give you the chance to do it your way. And if you believe in this mandate, if you believe in these ideas, then I ask you to pull together. For the next forty-nine days, I ask that you join me and fight for free trade, fight for great schools, fight for giving power to the people.",populist,1/7/21 14:08
23,2286_3,"Those are things which an administration that cared about working people simply would not do. For if we respect the worker's toil, why tax his earnings more, and reserve special loopholes for the rich? In four dismal years, the Nixon administration has fought down improvements in the minimum wage--improvements designed to lift six million full-time workers out of poverty. Mr. Nixon insists on a welfare program that would penalize people who want to work their way from a welfare check to a paycheck.",not populist,1/7/21 14:08
24,1422_21,Our partnership policy is designed to meet great and growing needs. Power requirements for the next ten years will cost some $40 billion. There is not--and there will not be--that much federal money allotted to be distributed in such a period. Only the partnership program can do the job that must be done quickly and efficiently.,not populist,1/7/21 14:09
25,3149_16,"Now, give me your help in this next term in reforming the government. Give me a balanced-budget amendment. Make us live within our means. Give me a check-off that says every taxpayer can check up to 10 percent of his tax returns to go to lowering the deficit, and make the Congress adjust. If they won't, cut it across the board. Give the people the power. And give me those line-item vetoes so I can cut out the pork and protect you, the taxpayer. While we're at it, I'd like to see term limits for the United States Congress. They've been around there too long. The president of the--the presidency's term is limited. Let's give the Congress back to the people by limiting those terms.",populist,1/7/21 14:09
26,2375_12,"And to close my remarks, I intend, with your help to change them. And I'm going to depend on you to help me. We ought to have a clear, constant vision of what our country can be. We ought not to lower our standards of excellence and greatness. We ought to be sure that we have cooperation with one another. And at the same time respect the differences among us. There ought to be some inclination between the president and the Congress to cooperate for a change, between a mayor and a governor and a president recognize that they represent exactly the same people. There ought to be some way for our free enterprise system--agriculture, manufacturing, and labor-to-work with the government, with mutual respect, achieving common goals, independent. Competition ought to be insured, tough competition, to protect the small businessman and not be a favor to the big businessman.",not populist,1/7/21 14:11
27,2653_1,"What does each candidate envision our nation should look like, not just five years from now, or ten, but well into the twenty-first century? Since the decisions we make this year will shape that future, it is important that each candidate let us know what he believes America can be--and what America should be. A candidate may offer voters complex and sophisticated programs that will delight the political scientist--but if those programs are not part of some controlling vision, some idea of what America should be, they are merely exercises in political gamesmanship. There is nothing more destructive of the faith of the American people in their government than leadership that knows a lot about the machinery of government but very little about what that machinery is supposed to do.",not populist,1/7/21 15:56
28,3352_20,"Our economic plan also includes regulatory reform. It costs the average family in America and Florida about $7,000 a year because of excessive regulations. We're going to protect the air and the water and the Everglades and everything else. In fact we've already taken steps way ahead of President Clinton on that, come to think of it. We're also going to help this broken-down legal system of ours to stop all these frivolous lawsuits that put people out of business. I was out in California about a month and a half ago and the railing gave way and I dove into the crowd. And on the way down my cell phone rang, and this trial lawyer says, """"Bob, I think we've got a case here."""" You know--we're going to stop some of those frivolous lawsuits that put small-businessmen and businesswomen out of business. Now I know they give millions of dollars to Bill Clinton,...[missing text]...the labor bosses, and the Hollywood elite. That's where the money comes from. Those are not the values we're trying to protect in this campaign. Those are not the values.",populist,1/7/21 15:56
29,2008-10-26-denver-colorado-3_6,"And that's one campaign promise they've actually kept. Senator McCain has been throwing everything he's got at us, hoping something will stick. He's even called me a socialist for suggesting that we focus on tax cuts, not for corporations and the wealthy, but for the middle class.",not populist,1/7/21 15:57
30,2008-10-25-reno-nevada-2_6,"And that's one campaign promise they've actually kept. Senator McCain has been throwing everything he's got at us, hoping something will stick. He's even called me a socialist for suggesting that we focus on tax cuts, not for corporations and the wealthy, but for the middle class.",not populist,1/7/21 15:57
31,2990_6,"For twelve years they have rewarded people who cut deals and cut corners; who make money by pushing paper instead of those who make money by investing in new plants, new equipment, new businesses; those who work hard, play by the rules and pay their taxes. And for the first time since the roaring twenties, the top 1 percent of the American people now control more wealth than the bottom 90 percent. But while the rich have been winners, no American would have begrudged them that since we all want, in this free enterprise system, to at least believe our children might grow up to be rich. No one would have begrudged that if the rest of us had been helped.",not populist,1/7/21 15:57
32,2012-09-22-milwaukee-wisconsin-0_25,"I've been very clear. One thing I'm not going to do, I am not going to slash investments in education and make young people pay more for college just to pay for a tax cut for millionaires and billionaires. I'm not going to kick them off of Head Start, I'm not going to shortchange our investment in basic research that could help us find cures for Alzheimer's and cancer, we're not going to turn Medicare into a voucher program in order to pay for tax cuts for the very wealthy. We're not going to eliminate health care for millions of poor and elderly and disabled Americans.",not populist,1/7/21 15:58
33,2016-09-07-philadelphia-philadelphia-pennsylvania_8,"Sometimes it has seemed like there wasn't a country in the Middle East that Hillary Clinton didn't want to invade, intervene or topple. She is trigger-happy and unstable when it comes to war. Hillary Clinton is just reckless – so reckless, in fact, she put her emails on an illegal server that our enemies could easily hack. Then Clinton's team used a technology called bleachbit to acid wash her emails. They even took a hammer to some of her 13 phones, to cover her tracks and obstruct justice. These email records were destroyed after she received a subpoena to turn them over.",not populist,1/7/21 15:58
34,2275_17,"     The director of the Long Island FHA office--the nation's largest, encompassing eleven counties and including this city--pleaded guilty a few days ago to charges of bribery. Five other FHA employees have also been indicted.      The director was hired by the Nixon administration supposedly to """"clean up"""" the Long Island office. But his appointment was a product of political patronage, in return for his """"contributions"""" to the party as the Republican committeeman from the town of Babylon.",populist,1/7/21 15:59
35,3353_30,"We need to get serious. We need the media to tell the American people the truth. And the truth is that Bill Clinton ought to be voted out of office in a landslide. The truth is he does not reflect the values of the American people. To him, this is all a power game. It's a game. It's a game. It's a game.",populist,1/7/21 16:00
36,2012-11-03-rally-bristow-virginia_24,"Now, let me tell you, we know what change looks like. We know what change looks like, and what Governor Romney's selling ain't it. Giving more power to the biggest banks isn't change. Another $5 trillion tax cut for the wealthy, that's not change. Refusing to answer questions about the details of your policies until after the election, that's definitely not change. Ruling out compromise by pledging to rubberstamp the Tea Party folks in Congress, that's not change.",not populist,1/7/21 16:00
37,2990_4,"And there I found young people, mostly Hispanics, some African Americans, some white, some Asian American, people you didn't read about after the riots, people who didn't riot, people who didn't burn, people who didn't loot, instead going to overcrowded makeshift classrooms bursting at the seams, dealing with all the cutbacks in student aid and programming and classes that all of you are experiencing here, struggling to make the American dream real for themselves, struggling to rebuild their communities. The President has said many times that there is a fundamental difference between us in this election, and he is certainly right about that, especially on the issue of education. The economic philosophy of this administration is that you make the economy grow by putting more and more wealth into the hands of fewer and fewer people at the top, getting government out of the way and trusting them to make the right decisions, to invest and to create jobs.",not populist,1/7/21 16:01
38,2004-09-24-temple-university-philadelphia_22,"I will make Afghanistan a priority again, because it is still the front line in the war on terror. As president, I will not subcontract the fight to warlords who are out for nothing but power and personal gain. I will help the government of Afghanistan expand its authority beyond Kabul to the rest of the country. I will lead our allies to share the burden, so that NATO finally provides more troops. I will show the world that America finishes what it begins.",not populist,1/7/21 16:05
39,2371_23,"Once the people rule again, we can have a foreign policy to make us proud again. It all depends on the people. This is why we are going to win. Because we have gone to the people. Because we have listened to the people and learned from the people. Because we take our strength and our hope and our courage from the people. Because we owe the special interests nothing. Because we owe the people everything.",populist,1/7/21 16:06
40,2352_22,"If this kind of growth were projected indefinitely into the future, the result would be catastrophic.  We would have an America top-heavy with bureaucratic meddling, weighted down by big government, suffocated by taxes, robbed of its soul. We must not and we will not let this happen to America.  That is why I oppose the unrestrained growth of big government in Washington.  That is why one of my first priorities in the next four years will be to encourage a rebirth and renewal of state and local government.  That is why I believe in giving the people in every community a greater say in those decisions that most directly affect the course of their daily lives.",not populist,1/7/21 16:06
41,2892_10,"In 1933, Congress approved the Securities Act; in 1934 it approved the Securities and Exchange Act; and in 1935, it passed the Public Utility Holding Company Act. Sam Rayburn had to fight to pass those laws.  Those laws reformed Wall Street after the last round of high-rolling frenzy led this country into the Great Depression.  The Republicans put together the biggest and most vicious campaign of propaganda, lobbying and intimidation ever seen.  They attacked Sam Rayburn and Franklin Roosevelt, and they called them Communists.",not populist,1/7/21 16:06
42,2683_12,"This is not just my opinion. Listen to the words of the GSA's former General Counsel, Irwin Borowski, who told the Associated Press that the change in leadership at GSA had """"basically brought to a halt"""" the investigation of internal corruption in that agency. Listen to William Clinkscales, the Chief of GSA Inspections, who said that the administration's new regime at GSA was busy """"removing people from office who might uncover something.""""",populist,1/7/21 16:07
43,2004-08-24-new-york-city_15,"It is a choice between the first Administration since Herbert Hoover to preside over a net loss of jobs – or new leadership with a plan to create jobs that pay people more, not $9,000 less than they earned before. Jobs where after a week's work, people can actually pay their bills, provide for their children, and lift up the quality of their lives. The choice in this election is between an administration that has turned the largest surpluses in American history into the largest deficits and new leadership with a real plan to cut the deficit in half in the next four years. We will do it by passing the reforms John McCain and I have fought for to end corporate welfare – and by making government live by the same rules our families have to follow: pay as you go.",not populist,1/7/21 16:12
44,2394_10,"The FBI has been shaken and demoralized by accusations of illegal conduct, and by efforts by the White House to use the FBI for political ends. The Drug Enforcement Agency, created in 1973, has already been tainted by scandals that forced its director to resign. Our overcrowded court system is now a major cause of crime. Career criminals take advantage of the system, often committing additional crimes and terrorizing potential witnesses while out on bail.",not populist,1/7/21 16:14
45,2008-09-16-remarks-golden-colorado_40,"But I am running for President because we simply cannot afford four more years of an economic philosophy that works for Wall Street instead of Main Street, and ends up devastating both. I don't want to wake up in four years to find that more Americans fell out of the middle-class, and more families lost their savings. I don't want to see that our country failed to invest in our ability to compete, our children's future was mortgaged on another mountain of debt, and our financial markets failed to find a firmer footing.",not populist,1/7/21 16:14
46,1249_30,"I have never been trapped by the illusion that there were valuable political deals to be made at the sacrifice of the interests of the people. At the very beginning of this campaign, I asserted that I was a """"no-deal"""" man, that I would make no arrangement or agreement of any kind that could be interpreted as even an implied promise of future political or other favor or benefit.  I have made none.  I am still a """"no-deal"""" man.",not populist,1/7/21 16:17
47,2012-11-03-rally-milwaukee-wisconsin_42,"The folks at the very top in this country, they don't need another champion in Washington. They always have a seat at the table. They'll always have access. They'll always have influence. The people who need a champion are the Americans whose letters I read late at night after my work in the office is done, the men and women I meet on the campaign trail every day.",not populist,1/7/21 16:17
48,2433_8,This is an attempt--this recommendation came from me because our middle-income taxpayers have been shortchanged over the last ten years. I believe that that group ought to get additional tax relief. I recognize fully that we are trying to get our federal finances in order. We are making headway as we reduce the deficits that were primarily caused by our recession in 1975. But let me say this: We cannot add to the expenditures of the federal government with a host of new programs unless you are willing to tighten your belts.,not populist,1/7/21 16:18
49,2281_5,"Isn't it time we had a president? Isn't it time the people who buy the gas and oil in this country had a president? The executives at ITT have a president. Mr. Nixon makes sure that there are men running the Department of Justice who will drop an important antitrust case against this huge conglomerate just about the same time it agrees to underwrite $400,000 of the cost of the Republican National Convention.",populist,1/7/21 16:18
50,1235_3,"Now, because of this kind of a future, the West has always been a forward- looking region.  I want to make a special reference to one point in which they were the first, and I mean in women's suffrage. The reason I bring up the point is that through this campaign I have been making a special appeal to the women of our country.  I have been making this appeal because I feel we are definitely engaged in a crusade.  A crusade must have a spiritual and moral basis.  Since women are the keepers of our homes in addition to all their other duties, theirs has been the responsibility for the influence of the home, paralleled to that in the schools and the church, to keep alive this sense of spiritual values on which our country was founded.  I firmly believe, therefore, that they in their jobs take an unusual interest in making certain that our government is the kind to arouse our pride.  We want to tell our youngsters that there is in Washington a government that is honest, that is straightforward, that is efficient, that has a regard for your tax dollars, and is not there merely to perpetuate itself in power.",not populist,1/7/21 16:24
51,2012-09-26-rally-kent-ohio_51,"And I'm thinking, what kind of inside job is he talking about? Is he talking about an inside job of rubberstamping a top-down agenda from this Republican Congress? Because if he is, we don't want it. Is he talking about the inside job of having oil companies write our energy policies or our insurance companies writing our health care plans or folks who are outsourcing jobs writing our Tax Code? Because if that's what he's talking about, we don't want it.",not populist,1/7/21 16:28
52,2008-09-04-national-convention-saint_19,"And let me just offer an advance warning to the old, big- spending, do-nothing, me-first, country-second crowd: Change is coming. I'm not -- I'm not in the habit of breaking my promises to my country, and neither is Governor Palin. And when we tell you we're going to change Washington and stop leaving our country's problems for some unluckier generation to fix, you can count on it.",populist,1/7/21 16:35
53,2963_16,I said when I began that there's a key question you should ask as you make your decision this year. It is: Does this man share my hopes for the future? Is the America he imagines the America I want?,not populist,1/7/21 16:35
54,1090_5,"Let me tell you something, ladies and gentlemen. Yesterday for two hours I sat with Senator Williams of Delaware. He told me of the tale of corruption and graft across this country that he has been able to unearth. I wish I had time to tell it this afternoon, but I have documented it and hope to tell it this evening. Not even all the taxes that you pay get to Washington, but they reduce your pay and they make your prices higher.",populist,1/7/21 16:37
55,2008-09-12-dover-new-hampshire_20,"We cannot afford four more years of out of touch, on your own, leadership in the White House. John McCain likes to rail against the Washington herd, but the truth is, when it comes to the issues that really matter in your lives, he's been running in that herd for 26 years, and they've run this economy into a ditch. This election is our chance to stand up and say - enough is enough.",populist,1/7/21 16:37
56,2016-10-18-colorado-springs-colorado_50,"We have to break the cycle of corruption, and we have to give new voices to change. And we have to—we have no—do we have a choice? So that we can have a government that works again and can function properly, which our government doesn't right now, including giving Iran $1.7 billion in cash.",populist,1/7/21 16:37
57,2016-10-03-theater-akron-ohio_18,"Today in Colorado, he claimed he brilliantly used the laws to avoid paying taxes. Well, that just shows, number one, he is the poster boy – the poster boy – for the same rigged system that he would make even worse. Just think about it. He paid zero at least for about 20 years, we believe now based on what we know. And he's advocating for huge tax cuts that would help him and his family even more. What's he want us to do, pay him to lose money? Really?",populist,1/7/21 16:38
58,2962_28,"Next, he wants to set up, with $500 million of taxpayer's money, a big pork-barrel """"Fund to Rebuild America."""" And I can just see the dollar signs flashing in those Democratic congressman's eyes--that fund will be billions as soon as they get their hands on it. Why should the government be picking business winners and losers--based on the strength of a company's lobbyist or PR man? My approach is totally different.",not populist,1/7/21 16:39
59,3204_22,"Now, you heard Rose Mofford say that I called her back in 1988. When I was a governor I was often appalled by what I saw coming out of Washington, frankly, because it seemed to me that the further you got away from the people and the closer you got to Washington, D.C., the more our politics became about rhetoric and the less about reality. There was more name-calling and less working in ways that would change people's lives.",not populist,1/7/21 16:40
60,907_5,"We believe above all else that those who hold in their hands the power of government must themselves be independent--and this kind of independence means the wisdom, the experience, the courage to identify the special interests and the pressures that are always at work, to see the public interest steadily, to resist its subordination no matter what the political hazards.  Now this simple principle is not peculiar to Illinois, nor is it foreign to the majority of those who participate in political activity. It's my common ground with those who are devoting their time and their effort and their money to the Volunteers for Stevenson, under whose auspices I speak here in Denver tonight. ",not populist,1/7/21 16:41
61,1163_3,"Here is a board.  This is fine white pine lumber.  In 1945 if you went to the lumber yard you paid 15 cents for this piece of lumber.  That is what it cost you, 15 cents.  Today if you went down to buy this 15 cents worth of lumber, I will show what you would get.  Here is what you would get today.  If this same cheapening of your money, this same inflation, goes on four more years --and remember that is the new lease that the Democrats are asking for in Washington this minute--I will show you what you would have.  Now 15 cents will buy that.  It would scarcely be any longer any use to carry 15 cents in your pocket.  I don't know what you could build with that.  That is what I am going to talk about tonight, to show you what is happening to your money through the mismanagement, the incompetence, the arrogance, the complacency and even sheer dishonesty on the part of many of your federal officials.",populist,1/7/21 16:43
62,1224_17,"Local and state governments should assume a greater influence in the planning, in the execution of plans, and in the administration of resource development projects. And when federal projects have demonstrated that they are paying for themselves, local and state governments should have an opportunity to take over the financing, take over the projects for their own people, and get their region out of hock to the federal government. To do this we need an administration which believes in keeping government close to the people. We need an administration made up, not of whole-hog men, but of men who are eager to see that the states and localities are allowed and encouraged to do their jobs.",not populist,1/7/21 16:43
63,2226_3,"You see that so sharply on the tax issue. And after all it is the taxes that we pay that determine what kind of programs and how extensive those programs are going to be, and that is how we finance the defense of the country, that is how we finance our schools, our health, our transportation, programs for our older citizens and the big question is whether or not we have a tax structure that is fair to the ordinary taxpayer or one that is weighted against him in favor of those who are most able to pay. I think that is the situation. At almost the time that the President was freezing the income of working people he was laying the plans for a $9 million tax bonanza to big business. Now that is not the way to build confidence in a people's democracy. It is not the way to build confidence in the leadership of this country and that is why I proposed a different form of tax structure in this country in which we close some of those big tax preferences and loopholes at the top of the income scale and use that money to relieve some of the burden on the ordinary taxpayer, to reduce property taxes, to assist our schools--to do some of these things which we are not now able to do in the states because of a lopsided and unfair tax structure.",not populist,1/7/21 16:44
64,2244_6,"And keep in mind that we did not run into trouble in this conflict because of the lack of bravery of our soldiers. We never sent a better fighting force abroad than we sent abroad--the best-trained, the best-equipped, the best-educated fighting men that this country has ever sent into combat. But we sent them to do an impossible task which is to try to prop up a politically corrupt political machine in Saigon that has never had the confidence and respect of its own people. And that is the reason we ought to disengage from this conflict. And that is the reason that never again should we send the young men of this country to try and prop up a corrupt dictatorship of that kind that does not have the respect of its own people.",not populist,1/7/21 16:44
65,3231_35,"And that's what we ought to do. But we ought not to have a tax cut we can't afford, even though it's popular at election time. And here's why. I tell this everywhere I go. Every time I leave town in Washington, some expert says, now, don't go down there again into the heartland and talk about the deficit; people are bored by the deficit. Nobody cares about balancing the budget when the economy is good. Here's why you ought to care about it.",not populist,1/7/21 16:45
66,2301_14,"It has been said recently that people will accept corruption and even criminal activity in the political process because they expect nothing better. That is tragic, if it is true. But if the next president demands integrity in every part of government, then so will citizens demand and expect a government that corrects evils instead of committing them.",not populist,1/7/21 16:45
67,2939_13,"We're on your side, we're on the side of the average American family, we're on the side of farm families in this country, and I mean farm families. We don't want agriculture in this country taken over by giant corporations.  We understand the importance of family farms.",not populist,1/7/21 16:45
68,1362_17,"This is not a question of excluding the private power industry from its full participation in the development of an atomic power reactor program, or even of competing with the power industry. Rather it is a question of helping private industry through the costly period of experimentation and of hastening the day when atomic power can be produced cheaply and safely--by private enterprise. If we are to maintain our technological position and leadership in the field of atomic power and fulfill our responsibilities under the atoms for peace program, we must build power reactors not only of the type which may be immediately useful to the private power industry in this country, but also of more experimental types which carry greater hopes for ultimate success, but also greater risks of immediate failure.",not populist,1/7/21 16:52
69,1092_24,"Given those three elements--a nation that is great in heart; a land that is rich in its resources; a government that is a ready instrument of popular will--why should we Americans any longer tolerate the doubtful, the fearful, the corrupt in high places. Let us retire them, at the first possible moment, to the rearmost rank where they will no longer affront our sense of decency while they betray our trust and besmirch our name among the nations.  Then we can, effective and united, resume our forward march to the horizon--a horizon bright with promise for ourselves and our children.",populist,1/7/21 16:52
70,2176_69,"And, being quite candid, I oppose busing, I oppose it not because I do not--not because I favor segregation, but because I am against it, but because I am for primarily education. And I believe that when you pick up children who are two or three years behind children in another area and cart them across town into a different neighborhood, you don't help their education, you hurt it. These are the views that I have and these are the views that I will implement with the Office of Education or any other agency that I have. In other words, putting it quite directly, and the South doesn't like this either, this will probably not satisfy the extremes on either side, federal funds should be withdrawn to any school plan which is found to be for the purpose of segregation.",not populist,1/7/21 16:52
71,1243_4,"Now, is it a crime, ladies and gentlemen, to want the local people who are affected by these great things to be satisfied with the way they are worked out, the way they are organized, the way they are administered, the purposes to which they are put?  It seems to me that anyone who advocates the tremendous monopoly that would come about if federal government controlled over every bit of power in this whole country has gone whole-hog on this business of federal control over our lives.  A constructive job can be done in every area with the cooperation of an administration in Washington that is devoted to the principle of decentralized government and to the principle of states' rights as well as to the full development our resources.",not populist,1/7/21 16:53
