text,pred_class,speech_par_id,speech_par_id_old
"Of course they don't mean to aid and abet our enemies; but the results are the same. Are these the men we want to lead our nation in the struggle against Communism today? All the while they proclaim ferocious anti-Communism. Indeed, the best way they can apparently find to obscure their retreat from the fight against Communism abroad, the fight to keep it distant from our shores, is by shouting and screaming every hour on the hour about how much they hate Communism at home.",0,1033_23,1033_23
"As I have said repeatedly in this campaign, if I find any Communists or fellow travelers or Soviet agents or dupes in our federal government, I will root them out promptly and ruthlessly. In fighting Communists at home, I shall rely on such experienced guardians of our security as J. Edgar Hoover of the Federal Bureau of Investigation and General Bedell Smith of the Central Intelligence Agency. These men fight Communism as it must be fought--with care, thoroughness, precision--and silence.",0,1033_28,1033_28
"Mayor Capeless and my friends: I hope the time will never come when I believe all of the nice things that introducers say about me. In all events, I am very grateful to all of you for being here this afternoon. I have just had a most interesting experience. I was presented on the rear platform of the train with an enormous placard--here it is--they are all of the Ike buttons, gathered by the Volunteers for Stevenson from people who have switched.",0,1035_0,3344_12
"Now there is no point in going over in detail the whole program of people's legislation which has been enacted in the past twenty years by President Roosevelt, by President Truman, and by the Democratic party. But that program of service to the people--of the meeting of the people's needs--is still far from complete. We face the immediate problem of counteracting the inflationary forces which have driven our cost of living up too high. So, we of the Democratic party support a strong and firm policy of direct and indirect cost of living controls, while at the same time the Republicans in Congress vote to punch holes in the price controls, in the tax laws, and to end rent controls completely.",0,1036_9,2228_4
"Now, you know, I wouldn't say, my friends, that this proves conclusively that the Old Guard Republicans are really Communists, but I suppose if I were an Old Guard Republican I would, because that is exactly the way they argue. The great transformation which has overtaken our country in these twenty years has come about, in great part, because we have had a new spirit and a new purpose in our government--you could almost feel the change from confusion to confidence, from fear to faith, when the election of 1932 produced a great new leader, Franklin Roosevelt. And that was only the beginning of the process by which America began to lift itself out of the depths, both economically and spiritually, and onto a new plane of social responsibility and of decency. Government assumed responsibilities to avert economic catastrophe and to assure reasonable levels of security for the people. By doing this, great new energies within the people were unlocked. Of course, this new activity on the part of government aroused resentment. The Old Guard began raising their tired old refrain of socialism, and regimentation; you have heard these cries against every new idea in American history since the post office and the public schools.",0,1037_2,2039_27
"First, we must recognize that not alone for Americans, but for men everywhere, body and spirit are co-principals of the same being. Each needs a special sort of ministry. Let us remember that, while Christ preached the doctrine of eternal salvation, he also did the work that needed to be done in the kingdom of man. He healed the sick, fed the poor, sustained the weak, and sheltered all those who were in want. So must we, I think, as Americans continue prudently to extend to the needy of this earth that material help which we almost alone can give. And we ought to do this not grudgingly, but with a clear recognition that it is far better to give than to receive. In a word, the first answer to Communism is not a lesser, but a fuller application of Judaic- Christian ethics to the neighborhood of nations around us.",0,1038_9,1038_9
"Mr. Chairman, I just happened to run across one thing that a group was doing in some town in Illinois which is illustrative of what I mean by the variety of possibilities. They were merely beautifying the state highway at the access point of the city, where it began to come into the city. And where it had been shabby and ugly and messy they were cleaning it up around there and developing a picnic area--that sort of thing--and an infinite variety of things. Also, of course, from the point of view of the public official, it is a wonderful access point to communities.",0,1039_3,1039_3
"I am frank to say we have had very little cooperation from some of the veteran's posts. They are awful keen about this law enforcement, but they continue to use all these devices in their own posts. So it is a little incongruous. They say, """"""""By gosh, we are going to clean up crime in this community and get those slot machines out of that corner saloon. But of course, as far as our Legion Post, or VFW, or whatever it is, that belongs to us and it is certainly a different situation. And after all, the device is set to give the fellow at least a sixty to a hundred chance of winning as against one chance in a hundred in the commercial device; and, after all, we own the machine, and it is not owned by a syndicate of operators and placed on a rental basis."""""""" And so on and so on.",0,1039_6,1039_6
"You know, they used to say in Washington in the early days of the war that you were likely to contract one of three diseases--either ulcers, galloping frustration, or a sense of humor. I have never felt better; I feel frustrated only by the difficulty I have had in engaging in any genuine debate with the Republicans; and, as far as my sense of humor is concerned, I hope it is intact. And I hope the time will never come when the Republican party gets into office and forbids any humor in political campaigns.",0,1040_8,1040_8
"There has been loose talk of a war of liberation to free the enslaved peoples of Eastern Europe. Such a war is unthinkable and would destroy the very people and the civilization that we seek to save. Yet the day of liberation will come, and there is much we can do in the meantime to help the unhappy people of Eastern Europe. Through the United Nations much is being done to rally the conscience of mankind. We can offer help and encouragement to those thousands of families and those individuals who are escaping, month by month, through the chinks in the Iron Curtain.",0,1043_11,1043_11
"We can make our society ever more productive and more abundant and our people ever more free, but only if we have the purpose, the vision and the determination to do so. We can win peace in the world without a third world war, but only by dedicating our minds and our hearts, our sweat and our blood to that great task for as long as may be necessary. I tell you that the way to our goal is not easy, but the goal is worth the price, for the goal is nothing less than a nation fair and productive beyond our dreams and a world of law and order where men of good will can live together in equal dignity and under God. This is the future that we seek and this is the future for which I know we are willing to work and to sacrifice and to labor with all of our minds and with all of our hearts, and this is the cause to which we call you. We don't call it a crusade--we just call it, """"""""Forward with America.""""""""",0,1045_13,1045_13
"There is some very important business before our nation, as you all know, and it encourages me to think that these many groups we see all the time have a strong feeling we had better leave the management of our affairs in the hands of the Democratic party. And one reason for this is that it has become harder and harder instead of easier and easier to tell precisely what the Republican party stands for in this campaign. I confess it is early in the morning to be harsh about anybody and to be very critical of anybody. I don't want to be critical or harsh. I have in mind that we are now only a week from our election and we still don't know precisely what the Republicans propose to do about much of anything. We know where they stand on the matter of a new labor relations law, for example. That is precisely where they stood for the past five years. That is an old Republican position.",0,1047_1,1047_1
"I have been surprised to find that in some of the northern sections of the country there is a certain suspicion of Southerners. There is a provincial assumption--and fortunately not very widespread--that any man in public life in the South is bound to be a reactionary, or worse. If anyone can dispel this illusion, once and for all, John Sparkman is the man to do it.",0,1051_14,1036_9
"I think, regardless of political considerations, that it is essential that if we are going to win in the long term this conflict with Communists--this conflict with a society that seeks to spread itself over the entire globe--that we must recognize that until we find the means--and until we find cooperation in the means of restoring a sense of well-being to peoples who know little of freedom in the terms that we understand it, that we will have a very threatening and a hostile enemy. That is why one can believe that the importance of bolstering our defenses by the foreign aid programs--Point Four, and things of that kind--are essential if we are going to hope to frustrate the designs of this godless tyranny throughout the world. I thank you so much for affording me this opportunity of participating even briefly in the ceremonies. I count you very fortunate indeed to have this splendid housing development in your neighborhood; and I can add that I am very jealous of it. I should like to be participating in a similar project in Chicago where we too have desperate need of the advantages of public housing.",0,1054_5,1054_5
"I don't believe that these changes in the nature of business have been adequately recognized by everyone in government. I think we must sweep out of the corridors of government, at all levels, national and state, those lingering suspicions which are a holdover from an earlier and very different time.  This is a problem which concerns me very deeply, for I am convinced that both government and business must learn to live together in harmony, before an era of bad temper turns into something infinitely worse. We must avoid at all costs the bitter struggle of class against class, which results inevitably in a drift either to the extreme left or to the extreme right. And you and I know that either kind of drift would end up at the same dreadful destination: a police state with all of the horrors that we have seen in Hitler's Germany and Stalin's Russia. ",0,1067_11,1067_11
"We must do nothing that might array class against class, or citizen against citizen, in quarrels which tear apart our blessed American family. I shall do all I can to sustain a feeling of mutual confidence and understanding among all segments of our society. I see the American people rejoicing in their strength and sure of their destiny--and I see them from coast to coast--and for such a brotherhood among our people, I think everything is possible. ",0,1067_14,1067_14
"I am most grateful to all of you for coming out here at this inconvenient hour and I appreciate your courtesy, and I am sure that your presence here is a good omen both for the Democratic party and for our country. When so many people get up so early in the morning to hear about the great issues on which we will make a decision next Tuesday, we can all feel confident that the future of America rests in responsible hands. It is a sign that every one of you is taking seriously your duty as a citizen; for, in our country it is the people who make all of the final decisions.",0,1068_1,1068_1
"We also have my sister Mrs. Ernest Ives. And now I should like to present to you a famous Pennsylvanian, a beloved and honored lady of this state, Mrs. Emma Guffey Miller. Have we got any more beauties to present?",0,1069_9,1069_9
"Greece and Turkey and the eastern Mediterranean were saved by prompt action by President Truman and the Congress and they were saved in spite of the blind obstruction of the Old Guard Republicans. Who gave us the Marshall Plan which prevented the Kremlin's bloodless conquest of Western Europe? Who faced up to the Russians in Berlin when they tried to strangle and seize that city? Who insisted on the heroic airlift and who was it that hammered out the North Atlantic Alliance, which banded together the free people of Europe in a united defense against Communist aggression?",0,1073_22,1073_22
"Then--then the people will vote on Tuesday. I understand that on Wednesday the newspapers plan to publish a Five-Star Final. Many thousands of our votes will come from rank-and-file Republicans who will vote with us. No doubt some Democrats will vote for the Republican candidates. We have already, for example, traded a couple of southern governors for the senator from Oregon and the vice chairman of the National Young Republicans. And I regard this as a profitable exchange for us. I would be happy to throw in a second baseman--but not Jackie Robinson.",0,1074_2,1074_2
"     We are not only, as I say, a moral country.  This is a brave and a generous country, I think we are bearing our responsibilities well as the strong leader of the free nations against the threat of Soviet communism.  We are doing the hard job that must be done if we are to have a secure place for ourselves and for those children.  We are following out the high ideals of Woodrow Wilson, who wanted to take us our full part--give us our full part--accept our full responsibility for securing the peace back in 1920 after the first World War.  The American people didn't listen to Wilson in those days.  We turned instead to people who led us away from the hard road of international cooperation to the easy  path of isolation.  If we had listened to him we might well have avoided the terrible trial of the second World War, in which 300,000 of our young men died.",0,1076_4,1076_4
"     We Democrats are for private and we are for profitable business.  We know America could not survive with any other kind.  We are for the dynamic system of enterprise which has grown out of the great partnership of public and private initiative in this country.  We are against socialism--creeping, crawling, loping, galloping, or even the make-believe kind that takes up so much space in the Republican oratory these days.",0,1081_7,1081_7
"     And their voting record on farm policy is open for everyone to examine.  It is a record of opposition and harassment for 20 years, not only on price supports, but on all of the other Democratic programs on the storage program, rural electrification, soil conservation, crop insurance, rural electric coops and so on.  The Republican Old Guard has never understood the philosophy behind these programs; it has never understood the programs themselves; it has never understood how they work.  The warning is plain; the Old Guard is hoping that the General can make his easy promises to farmers so convincing that they will forget about their own voting record.",0,1082_7,1082_7
"Democratic administrations have fought to bring these things to you, not because that would win votes, but because they were right and just and fair.  And we are going to continue to shout and do what we think is right to extend the gains that we have made here at home, and to fight for peace abroad. In the conduct of our foreign affairs we will suffer no tyranny over us, just as we will suffer no tyranny of one American over another.  We want to impose no tyranny on any other people.  We will remain free ourselves--more so.  We will find, as we have found before, the balance between the power we generate and the brakes that will check the power of those hostile to us.  In this way we can move in the wide open world as our fathers did when our nation was founded, and we can move unafraid.  I am reluctant to stop, although I have talked entirely too much, both here and all throughout this campaign.  All the same I have left much unsaid that is in my heart.  All I can do now is to thank all of you and, through you, thank all Americans for the privilege of your attention in these past months.",0,1083_5,1083_5
"I think you know and I know that they have never really been ahead at any time. They just throw so much confetti at each other, read so many of each other's editorials, and cheer each other's speeches so loudly, that they begin to think that everyone agrees with them. Well, they don't. And I think you can rely on the American people every time to tell who is really talking sense and who isn't. ",0,1084_9,2004-09-22-king-prussia-pennsylvania_21
"No, I've seen and heard the deep-throated courage and confidence and faith of strong men and women and happy children--people who still believe in one another, in spite of all the timid, doubting men. And I thank them every one for the reception they have given me--for their infinite courtesy and their heartening friendliness.  I have asked you for your support for my candidacy. I ask you now for support of our common faith in this country. The confidence we've inherited is our greatest wealth, the source of our strength. ",0,1085_15,2000-08-17-national-convention-los_45
"I am here just because I sympathize with that attitude, believe in it, and if this is revolutionary, then I must be a rebel. I am down here for one purpose--to help get rid of the administration in Washington, an administration that has been living on emergencies and crises, emergencies that it manufactures. It likes the emergencies because out of them it makes the rugs, and a rug is a handy thing under which to sweep the evidence of your own errors and mistakes. That is what we have been doing with emergencies.",0,1090_2,1090_2
"There is a whole lot you and I can do about this on Election Day, November 4th. We can make sure that the whole atmosphere of our government is one of common honesty. With honesty, we will have competence. We will set an example of industry and integrity which will again make free government the shining object of admiration and respect throughout the world.",0,1091_22,1156_41
"I don't know how thick your hide is.  But it's my belief that most Americans are ready to say, """"This is too much.""""  That is exactly what you and every other voting American will have the chance to say on November 4th.",0,1092_14,1092_14
"I started my troop duty in the days when we were digging trenches along the Mexican border.  In those days, war traveled no faster than a horse's jog.  I ended my last tour with troops in May of this year.  By then, the pace of war had stepped up to the speed of the jet plane and the impact of the atomic bomb.",0,1092_20,1092_20
"The next thing we must do is remember this:  There are many group tasks that must be done by us in our families, in our communities, in our states, and finally in the nation.  Lately it seems to be too much in the nation.  We do these things together because no one can do them for himself alone.  We must approach those group problems with a spirit of cooperation, a readiness to accept the responsibilities of each of us which are group in character.  If we do not do that then there comes that creeping tide of central law that finally results in the all-powerful state, and we do it because we are regimented.  Let us do our jobs at home, first in the family, then in the village, then in the state.  Let's not let the central government get any more of them than we have to.",0,1095_6,1095_6
"We are in that war because this administration allowed America, in a time when strength was needed, to become weak.  Consequently it felt compelled to take its forces out of that region. We are in that war because, having helped set up the Korean Republic, and knowing that strength was being massed against that republic north of its borders, there was a failure to build up adequate strength in Korea's own defense forces.",0,1101_15,1101_15
"My three days have carried me into quite a few corners of our country, so you may be interested in a few observations that I think are accurate. My first two days were spent in six southern cities. I was interested to see what were the subjects that seemed to interest them most, subjects involving national problems and the national scene, and then to compare those with similar reactions in the north. In my opinion they are identical.",0,1103_1,1103_1
"There is no other way to account for the reception given to a Republican nominee--and remember this, accompanied as his chief advisor by a Yankee Governor from almost as Yankee a state as you can find, New Hampshire--a reception in Atlanta, followed by Jacksonville, Miami, Tampa, Birmingham and Little Rock. It was always the same and usually, ladies and gentlemen, with the shout along the roadsides and in the crowds, """"""""Throw 'em out, Ike; give 'em Hell."""""""" That is a battle cry that has now been repeated vociferously, in Philadelphia, even more loudly in Minnesota, yesterday in Cleveland, and I assure you I heard it many times coming in from the airport only a couple of hours ago.",0,1106_4,1106_4
"Let me tell you plainly what I want to cast away, with the aid of a Republican Congress and Republican officials in the states. First, we shall cast away the incompetent, the unfit, the cronies, and the chiselers.  And it won't take years of Congressional investigation and a lot of tax money to clean out the mess.",0,1107_24,1107_24
"Mr. Chairman, ladies and gentlemen:  If I cannot be heard in the roar I have no objection to your crying """"louder,"""" but I do not want to put any more strain on these poor old vocal chords, that are unaccustomed to the kind and amount of talking I have been doing lately, than I have to.  It is a very, very great pleasure to be here with you this morning. Once before I visited the Republican National Headquarters, but under different circumstances and certainly in accommodations far less commodious than these.",0,1108_0,2008-09-25-new-york-city_18
"So, in all of our problems of the preservation of Constitutional forms, in the determination that Communism shall not take over our government, in the determination that Communism abroad shall not present to us an unbearable threat, let us remember this:  We are first of all defending the basic tenets of our Constitutional government that each man is a spiritual being created in the image of his God. Once we have gotten that thought in our minds so that we never forget it, ladies and gentlemen, we can clean out corruption.  Why, think of it, think of the votes we can roll up on November 4th.  We can bring down taxes; we can stop the terrific taxes that are piling up your prices.  An economist came into me the other day, one of these fellows, you know, that dig out the facts.  Every time you eat a boiled egg, unless you raise it yourself, you pay 100 taxes on that egg, one hundred taxes and then we wonder where the prices come from.",0,1114_3,3370_31
"I will not support any amendments which weaken the rights of working men and women.  In seeking desirable amendments, I will ask the advice and suggestions of all groups--public, management, and labor.  And, gentlemen, I assure you that this invitation of mine will be genuine and in good faith.  It will not be one of those empty theatrical gestures so often made in recent years.  In my own mind I have complete confidence that this job of amending the law can be worked out so that no fair-minded member of your group will consider the results unreasonable.  No such legislation must ever be regarded as final, and in considering amendments to labor legislation, labor will have an equal voice.  It is the American way to take what we have and constantly seek to make it better.",0,1127_31,2012-10-10-event-sidney-ohio_21
"A government in which the people can have faith will restore the people's faith in government, and strengthen their faith in each other. Here is something else we are going to cast out--governmental domination of the people it is supposed to serve.  When I talk about this you may get the idea that I am trying to be philosophical or highbrow, but believe me, this thing affects the lives of every one of us.  Like the rest of the things we will cast out, this too is a product of fear and lack of faith in the people.  This idea that government is the people's master is widespread in our world.  It is called by many names, but it always leads to the same destination.  It puts the gears of progress in reverse and carries society back to the days when the king was government and government was the final goal and the only power.",0,1130_11,1130_11
"Next, I want to see maintained the Constitutional relationship between the federal and the state governments.  My oath of office would demand that.  My convictions would require it.   The federal government did not create the states in this republic.  The states created the federal government.  The creation should not supersede the creator.",0,1130_24,1130_24
"The great question of our time is peace.  Are we going to have a kind of peace that will allow our nation to live tranquilly, prosperously, as it goes forward leading the free nations of the world, or is it going to live in fear, hysteria and doubt with our young men never knowing whether they are going to be home or going to be sent to a foreign shore, whether we are going to be calm and peaceful in our homes or whether we are going to live in this hateful fear.  I think the young men and women of today are really going to settle this question.",0,1132_3,1132_3
"Much of my life in the service of my country I have been forced to spend abroad.  It does one thing for you, ladies and gentlemen.  It makes certain that every time you come back you think more of this country.  If there is any veteran in this whole crowd who didn't have that same feeling when he came stemming into New York or San Francisco or Seattle or Norfolk, then I would be astonished because I have never yet met one who has not said, """"""""Well, one good thing a tour abroad does for you; it makes you understand how well worthwhile it is working here at home.""""""""",0,1137_6,1137_6
"These differences, ladies and gentlemen, are the issues of this campaign.  They are not issues to be taken lightly, or lightly treated.  They are serious for every American.  That is the way I shall continue to treat them.  Especially are these problems serious for what we oldsters call the younger generation.  Young people with their idealism, their faith and their hopes must have a fair chance to shape the nation which will be theirs.",0,1144_31,1144_31
"The British over on the left couldn't break out of the fortified town of Cannes, and we didn't know what we were going to do.  A little sergeant--Sergeant Kuhlen--I will never forget his name as long as I live--came up with an idea.  He found that he could put some knives on the front of our tanks that would go in and cut off these hedges.  The tanks could come through straight and come through shooting, and it wasn't very pleasant for the Germans. ",0,1146_2,2544_3
"I had a wonderful story told me about your town, that only last August in the midst of carrying on your fair you had a great storm that destroyed the buildings and tents and it looked like it was going to be disaster and no fair.  You people pitched in on your own.  You didn't even wait for a Washington bureaucrat to come down and do it.  You did it yourselves.  Moreover, I am told what you could expect in that little incident, that the elephant stayed on the job working until the last and the donkey played out--just too old, too tired.",0,1150_1,1150_1
"Ladies and gentlemen, the campaign in which I am now engaged is in conformity with the promises I made to those people.  I think that the administration in Washington has gone too far in damaging, indeed leading toward destruction of the kind of America we have known, loved and believe in.  That administration has not led us intelligently toward peace.  It is spending more than it earns.  Indeed, it earns nothing.  It is spending more than it takes from us in the highest taxes we have ever had, and leaves a deficit in the budget that further cheapens our money.",0,1155_2,1155_2
"The policies they are now pursuing are destroying your insurance policies, your government bonds, your savings accounts and it is making it so that every day you must carry more money in your purse to the grocery store in order to get a decent basket of groceries.  If we do not stop that kind of thing, ladies and gentlemen, then America cannot be what it has been in the past.  We must have a solvent America, an America that lives within its means, yet so far have they gone with these spendthrift policies that the government itself says that last year every city family had to spend $400 more than that family could earn to pay for its shelter, its food, its clothing and other necessities in the family.  If that goes on, not only is this government going to be broke but all the families in it are going to be broke.  That is not America.",0,1155_3,1155_3
"No one, not even the blindest partisan, can call this a proud record.  At times the pitiless pressure of Communism has been checked by brave emergency attempts that rallied men of all parties to make up the deficiencies in our national leadership.  These attempts have produced the economic help of the Marshall Plan and the program of military aid to Greece and Turkey.  Both were enactments of the Republican 80th Congress, the Congress so long vilified by the administration.  These measures have helped to steady both the economic and the nervous systems of our allies.  They could hardly have been expected to do more in the making of our foreign policy.  Dollars and guns are no substitute for brains and willpower.",0,1156_13,1156_13
"It is true, of course, that the American taxpayer is burdened heavily by Soviet threat.  But what the Democratic nominee confessed was that under the present administration policy the American taxpayer is dancing to the Soviet tune and not getting for his tax dollar a clear, coherent plan to do away with the menace of war.  The telltale wording of that statement reflects the surrender of initiative to the Communists.",0,1156_41,2288_13
"I get up early in the morning and I talk all day long.  By evening my vocal chords are showing the strain and my disposition and everything else.  But then I think of you people who work not only on an intensive basis like that part of the time, but all the time, keeping the party together, keeping it financed, keeping it presented properly before all the people, and I realize what public service really means.  It is not just the limelight, although sometimes these lights are pretty bright, at that.  It is the day by day chore.",0,1158_2,1158_2
"Finally, we come down to the source of trouble, the source of all this trouble, and the American people in my opinion are convinced, have reached a basis conviction that most of these troubles were avoidable, that we have been led down a garden path by an administration composed of men who were too little for their jobs, who did not have the intellectual capacity, the courage, the comprehension to come before the American people to admit a mistake and get to work to correct it, but they come before you with some new alibi for pretending the mistake never occurred.  They even call the great war in Korea a police action. Ladies and gentlemen, this all adds up to one simple thing--we have got to have a change and I am not expressing here just my individual opinion.  I am bringing to you what I believe I have seen in the faces and I know I have seen in the telegrams and the notes and the letters and the telephone calls of thousands of Americans.  We can no longer put up with that kind of leadership, a leadership that does not bring us closer to peace in the world and they well know that we can have no peace in the world as long as we have a government that cannot excite your pride.  Until it can excite your pride it is not going to earn the respect abroad that it must have if it is going to lead the world toward peace.  In my mind, that is the basic conclusion of American today.  Not only do we need a change, but we are going to have one.",0,1159_5,1159_5
"Now, the government has stumbled and fumbled in failing to bring us closer to peace.  In the last seven years look what has happened to us.  We stopped the shooting war in 1945 the strongest military nation in the world, to say nothing of our academic strength and our spiritual, intellectual, scientific and moral strength.  We were the greatest military nation on the globe.",0,1165_4,1165_4
"In short the entire government will work for the good of 155 million people, not just for this group, for that group, but for all Americans.  Now, in this crowd, ladies and gentlemen, there are numbers of men who are my old comrades in arms.  Some of them may have fought in the Far Pacific; some may have had duties that kept them in the U.S.; many of them went abroad with me.  And I used to see those fellows along the roads, in the camps, sometimes at reviews, in their barracks, in their kitchen, wherever; and we used to talk about why we were fighting.  And we came to the agreement in simple terms that we were fighting to keep America the kind of land that we believe it to be--a land of freedom and opportunity, not a land dominated by a Hitler or by any group of bureaucrats.  The reason I am in this political campaign, my friends, is in a continuation of that promise.  I am trying to do my part to keep America the kind of country we have always known, which means first of all that you must have a government you can respect and other nations will likewise respect it because you do.  ",0,1166_11,1166_11
"Now, that is the kind of recommendation that is easy to carry out.  What I am discussing as I go around is the incompetent leadership you have gotten over the past seven years from your administration in Washington.  And I go into the various subjects of our lack of progress toward peace, our excessive expenditures on the federal level, the deficits that are cheapening our money, the crises that are going up, the taxes that grow more and more burdensome; and, with all of the necessary expenditures for defense organisms that we must have, still a kind of incompetence in government that gets two airfields in North Africa for the price of five and the kind of thing going on in the Justice Department that led an ex-under secretary, a high official in the Justice Department, to say only yesterday, """"Why, if my ex-chief should tell all he knew, they would blow the White House so high that the power of gravity could not bring it back.""""",0,1170_2,2197_17
"The program I have outlined demands skilled and purposeful leadership. It demands harmony and understanding between the executive and legislative branches of our government. It will demand an end to what the Senate Preparedness Subcommittee has called """"""""abuse, misuse and disuse of power.""""""""",0,1174_32,1174_32
"Can this burden be lightened without endangering national security? A Democrat administration--stale and self-satisfied from being too long in power complacently says: No, nothing can be done. That is not an American answer. Our answer is: Yes, much can be done.",0,1174_9,1174_9
"Now it happens today is September 25th.  It is one of the significant days in our history that is not often celebrated.  It is the day that marked the adoption of the Bill of Rights, the first ten amendments to the Constitution.  In that Bill of Rights it specifies what are the rights of human beings as opposed to the power of government, the limits of what government can do to the individual today, and those ten amendments, possibly coupled with the organization our forefathers gave us, is the real genius of American government.  When those rights, any one of them, comes in peril from within or any threat from without, it is time for every loyal American, not just the rich, not just the farmers, not just the workmen, but everybody.  It is time for every loyal American to rise up, take a look, gird himself for battle, and fight off the encroachment.",0,1175_1,1428_27
"But informed people know that the plant is being located here because a careful investigation by a great private industry discovered that the waters of the Savannah River were peculiarly suitable for certain processes essential to the development of atomic energy.  Of course, it's possible--though I doubt it--that the Savannah River, itself, has its source in a Washington Bureau. This, my friends, is a good year for some straight political thinking.  It is a bad year to be fooled.  It would be a particularly bad year to be fooled into thinking that the Washington mess is the fault of you, the people.  And we will not be fooled into the belief that this great land of ours and the progress we have achieved here are blessings handed down by government.  We are going to think straight--straight through to the conclusion that America is what free Americans--with courage and sweat and drive--have made it.  ",0,1178_30,1178_30
"That record is a distinguished one.  It should be remembered that the negative votes on the North Atlantic Treaty, the Vandenberg Resolution and the Marshall Plan included negative votes of the party in power.  That is a tribute not just to a man but to a party.  Senator Vandenberg, if he were living, would be the first one to resent the suggestion that the votes to which I refer represented a personal triumph.  Rather, they represented to him the dedication of a party which, although it was an opposition party, subordinated partisan considerations to the national welfare.",0,1179_4,1179_4
"Ladies and gentlemen, my train was late, our time is short, but you have met a part of the Michigan team--Michigan members that must be on this great team to help in cleaning out the Washington mess.  Your governor, your new Senator, your Congressman--we must have them all--and with them and on behalf of all Republicans, I make these pledges to labor, to farmers, to businessmen, to every American:  first, if you want to change administrations this fall, if you want the group that the Republicans can put in the administration and in the Senate and in the House to take charge of this thing--clean it out and start us on a different road than we are now following--then they promise this:  There will be fairness, decency and justice prevailing in that administration, and they will serve you honestly as your servants and will not attempt to be your master.  That is the first pledge they make.",0,1181_9,1181_9
