Speech_id,text,length,par_id
1638,"Well, we can do better and we are going to have to do better if we are going to survive.  Africa today has one-fourth of all the votes in the General Assembly.  Do you know there are four countries in Africa without a single American diplomat representing us?  Do you know that we brought more students from all over the world to study here than we did ten years ago?  We offered at the time of the Congo in June 300 scholarships.  Do you know that was more scholarships to Africa and the Congo than we had offered to all of Africa the year before?  I believe we can do better.",577,998
1638,"I think it is time we stopped standing still.  I think it is time we started ahead as Americans and as believers in freedom.  I want to make it very clear that we stand on this issue.  We stand for moving ahead in the 1960s.  We stand for full employment, and better housing.  I stand where Franklin Roosevelt stood, and I come to Brooklyn, which supported him, and ask your help. ",381,999
3007,Thank you very much.,20,998
2319,"Just let me say, when anybody asks you what it is all about, when they ask you what politics is about, whether you are in it as a vocation or whether you are in it as an avocation, working for the candidate of your choice, here it is: It is their future, let's make it the best.",278,998
1176,"Such an administration will hope at the end of four years that every one of you people could meet here again and say honestly, ""We believe they were fair; we believe they were honest.  We believe they were friends of ours, not people trying to dominate us.  They were one of us.""  That, my friends, we hold is a worthy ambition and that is the only ambition we have.  Thank you very much for listening to me.",408,998
1162,"No Republican comes before you to out-promise Democrats.  In fact, they have made all the promises possible in the last 20 years anyway.  We do come before you with this pledge:  if you want to send this great group of Republicans in the Senate, in the Congress and in the executive department, to Washington, they pledge that every policy that they consider, everything they take up, will be decided on one yardstick and that yardstick will be what is good for the United States as a whole.  They are not going to talk in terms of sectionalism or of class or of group.  What is good for 155 million Americans--that will be the criterion by which they will measure every one of their actions.  If you want that you have got the answer in your hands, but don't forget to register tomorrow if you have so far been too busy to do it.",830,998
1162,"Now, ladies and gentlemen, before your own native Ohioans come before you, with your permission I should like to bring out my Mamie.  She would like to wave at you this morning.",177,999
3013,Thank you very much and God bless you all.,42,998
1604,"Today, Africa and America, black men and white men, new nations and old, are bound together.  Our challenges rush to meet us.  If we are to achieve our goals--if we are to fulfill man's eternal quest for peace and freedom--we must do it together.  And together we can and will succeed.",285,998
1943,We have saved on the things that we did not need to have so we would have the things that we needed to buy. We have a good poverty program. We have a good health program. We have a good education program. We have a good highway program.,236,998
1943,We are moving America forward. We need Pennsylvania's help. We need Genevieve Blatt. We need Jim Haggerty. We need Dan Flood. And Hubert Humphrey and I need you November 3rd.,174,999
2292,"I won't pretend that we have all the answers to the puzzles of our modern economy. We will make mistakes. But I can promise that we will put people first. And that is the soundest economics, the soundest public policy ever devised.",231,998
2292,"Franklin Roosevelt put it this way: ""Better the occasional faults of a government living in the spirit of charity than the consistent omissions of a government frozen in the ice of its own indifference.""",203,999
3198,Will you help me build that bridge?,35,998
3198,Thank you and God bless you. Thank you.,39,999
2286,"Let us win this year--and we will earn as peacemakers a longer life for our children and, in prosperity, a secure life for all of our people.",141,998
1957,"I know they are going to do their duty, and I know when they do their duty on November the 3rd that I am going to get a telephone call down at my little ranch on the banks of the Pedernales saying, ""Everything went all right in St. Louis and Missouri today.""",258,998
2251,"So I am back here in Columbus tonight because I believe very deeply in what we are attempting to do in this campaign to restore the government of our country to the hands of the people, to restore this nation to peace and to bring some semblance of common sense to the way we are handling our economic and social priorities here at home. This is the thing that keeps me going night and day and I know--I don't have to be told--that we are the underdog in this campaign, but remember that was the same thing that was said about John Kennedy in 1960, it was the same thing that was said about Harry Truman in 1948, and it is the same thing that has been said about other people who have undertaken this race for the presidency of the United States. And if you stand with us and persevere and don't pay too much attention to these public opinion polls, I have no doubt that when the votes are counted on November 7th, Ohio will be in the Democratic column. And if we win Ohio, we are going to win the nation and we are going to make America once again the great and good land that it ought to be. ",1094,998
2251,Thank you and God bless you.,28,999
1980,"On the strength we build today rests the outcome of the contests of this century between the way of freedom and the ways of darkness. A strong nation, a united nation, a nation committed to the education, the enlightenment and the advancement of its people is the nation that will succeed in the struggle to win those contests between a world of war or a world of peace.",370,998
1758,"Finally, may I say to you, then, consider what I have said, what my opponent may say, and then go out and work in this campaign for the man that you think--not that can do the best job for the party--but the one that can do the best job for America.  If you vote for what's best for America, you'll also be voting for what's best for yourself, and for these children as well.  Thank you very much.",397,998
2537,Thank you very much.,20,998
2523,Thank you.,10,998
2245,"Now here tonight--I would like to say to all within the sound of my voice and to Americans everywhere who share our love for justice and peace and a better future for our land--resume your stations, we are going to bring America home. ",235,998
2245,Thank you very much. Thank you. Thank you very much.,52,999
1764,Thank you very much.,20,998
3173,And may God bless the United States of America. Thank you very much. Thank you.,79,998
1002,That's it. That's the whistle in the whistle-stop.,50,998
1016,"My friends, before I go, I should like very much to say one further word. You have a candidate, a Democratic candidate for Congress, from this district, Mr. Harry Johnson. I think if I should go to Washington, it would be a great comfort if he went with me.",257,998
3167,"Now I ask for your trust. I ask for your trust. I ask you to take this great Ohio enthusiasm to the polls on Tuesday. We are going to show these crazy media talking heads wrong. We are going to win the election. And then we will lead America and lift these kids up. I don't need the job, but I want to finish the job because I want to help every child here. They're living in a world now far less fearful of nuclear war. We've changed the world. Now let's help us strengthen every family in America and lift America up.",519,998
3167,"Thank you, and may God bless you on this beautiful day in Ohio. This is fantastic. Thank you. Great rally, Strongsville, fantastic. Thank you very much. Great day. Work now: Go to the polls. Get out and vote. We need you.",221,999
1770,Thank you very much. ,21,998
2090,"I think we have a ticket, and I think you can be proud of it.  And I want you not only to give me your money--God only knows we need that--but I want you to give us your faith, I want you to give us your enthusiasm.  I want you to know that your country needs you.  I want you to know that this election can be won.  And I want you to know that I intend, with your help, to win it.",381,998
2090,Thank you.  ,12,999
1599,"I don't send Senator Hugh Scott of Pennsylvania to campaign for me in the North and Senator Barry Goldwater to come South, and say we don't need any of this.  All these are important issues, but I must say what is most important is that the United States recognize in the 1960s that these are difficult and dangerous times, that it is going to require the best of all of us, whether we live in Massachusetts or whether we live in South Carolina.  I do not go to the American people--and it is upon your shoulders that the great decision will rest--promising that if I am elected life will be easy.  I think to be a citizen of the United States in the 1960s is going to be a burdensome and hazardous occupation.  But I have the greatest confidence in this country.  I have the greatest confidence in our system of government.  I know we can meet our responsibilities.  And I do not agree with those who say that we downgrade the United States when we downgrade Republican leadership.  I am not satisfied, in our most dangerous years, to have our steel mills working 50 percent, to have 35 percent of our brightest boys and girls never get to college, to be turning out half as many doctors and nurses as we now need, to find the largest agricultural surplus, $9 billion, stored away rotting while more than 5 million Americans go to bed every night on a substandard diet of 5 cents a day of surplus foods.  I am not satisfied to see the United States stand still, to see farmers' income driven down and given only for relief the same promises of Mr. Benson, applied with new lighting and new makeup.  ",1600,998
1599,"These are dangerous days, but it is upon us that the hope of freedom lies; it is upon the United States, it is upon our vitality and our vigor and our willingness to embrace the future.  I come as the candidate of the oldest political party on earth, in direct succession from Thomas Jefferson, in direct succession and standing where Woodrow Wilson and Franklin Roosevelt and Harry Truman stood in this century, and saying that we also in our day have a rendezvous with destiny.  Our generation of Americans must meet its responsibility, not only to ourselves, but to all those who wish to trod on freedom's road.  I want Mr. Khrushchev to know that a new generation of Americans has taken over in this country, men who fought in Italy and the South Pacific in order to maintain this country's freedom, men who have the greatest confidence in our country, men who want to see it move again, men who want to set it going again.  And I come to South Carolina and ask your help in this campaign.  I ask you to join us in building a stronger America, an America which will serve as an example to a watching world as we sit on a most conspicuous stage.  We will give leadership if we are successful, and I can promise you this country will start to move again.  Thank you.  ",1270,999
2084,"""Who shall speak for the people?""  Carl Sandburg asked.  And I answer:  I shall speak and I shall act.",102,998
2084,I ask your help.,16,999
2912,"The best America isn't behind us, because with your help on November 8, we will make sure that the best America is yet to come.",127,998
899,"The fact that my captors generously assault one another reminds me of a story I heard about a scout who was captured by a group of Indian tribes, who soon began to argue among themselves about which tribe he belonged to. Tempers rose and so did the tomahawks. The rival tribesmen laid each other on the ground and Davy Crockett, or whoever he was, made his escape. Maybe there's hope for me! Meanwhile, it's not too uncomfortable to be captured by most everybody--except the Republican Old Guard! ",497,998
899,"But I have kept you much too long. Let me just add that I have often wondered how best to describe the essential difference between our two major parties. But when I think about the contrast between the speaker at the Fair yesterday and the speaker at the Fair today, the meat of the difference becomes obvious. The Republican party is the party which makes even its young men seem old. The Democratic party is the party which makes even its old men seem young. It is my pride and pleasure to present to you the youngest of them all, our beloved Vice President, Mr. Democrat himself--Alben Barkley. ",599,999
2053,So let's get to work.,21,998
3359,Thank you very much. God bless America.,39,998
2047,I have come here to ask your help.,34,998
1228,Again I say to each of you in this great throng:  Thank you very much for coming out.  You have honored me.  Thank you.,119,998
2721,"What Italy symbolizes on this side of the Atlantic is described in the last words of the book.  To me, they sum up the values that this evening is all about.  Let me close by quoting them:  ""The love of country, and the love of freedom, kept pure by the one thing that can tame and yet not weaken them:  the tenderest humanity for all mankind.""  Thank you very much.",366,998
1200,"Above all, that government would promise this: to be honest--just honest.  It would want to stand before you at the end of its term so that you could look at it from top to bottom and say, ""They were fair; they were just; they were friendly and they didn't cheat.""",264,998
1200,Thank you a lot.,16,999
2709,"I don't pretend the government can do it alone.  We must work together.  Teachers must teach and restore discipline to the classrooms.  Students must do their homework.  Parents must turn off those TV sets.  We all have to pay our fair share.  I am standing up to everybody here today.  But together we can provide the best education in the world to every young American in this next generation, not just the ones who can afford it by themselves or who need no extra help.  It's your choice.  It's your country.  It's your future.  Today I ask you to let me take you there.  Thank you very much.",595,998
3371,"Well, why give anybody a chance? He's had a chance. Let's take it on what the performance has been thus far.",108,998
3371,"But I ask you this: Go out and go to work. We've got four days, ninety-six hours, ninety-six hours on the road to victory. We're going to make it with your help. Thank you very much, and God bless America.",205,999
1572,"Now, in 1960, in this state, in Missouri, in Ohio, and Pennsylvania and Michigan and New York and New Jersey, this fight is going to be won or lost.  You can make the greatest possible contribution, and in return we will work, this country and this state, from one end to another.  We will carry our message.  We will inform the American people that the choice is between standing still and moving forward, between yes and no, between progress and mediocrity.  I hope that you will join us in this effort.  It involves us all.  A stronger America involves us all.  Every governmental action affects our lives for good and for bad.  Every movement forward moves us all forward.  A rising tide lifts all the boats.  I hope a new Democratic administration can lift all the boats and all the states and all the people therein.  We ask your help in this campaign.  Thank you.",870,998
3365,"I remember, back in Arkansas, when Clinton was running for reelection for governor. He was twenty-two points ahead. He lost. He lost. It's going to happen, it's going to happen. There are going to be a lot of surprised pundits wake up on the 6th of November.",258,998
3365,"So, if you will stand with us on November 5, we will stand with you the next eight years, sixteen years, however long we're going to be around there. Thank you very much, and God bless America.",193,999
1214,"And now because you have been so kind, may I impose on you one moment further and ask Mrs. Ike to come out and wave to you.",123,998
3364,"Well, thank you very much for coming--I want to get all the local candidates up here--Jeff/Cliff...[missing text]...come on up here. Sue...[missing text]...candidates here. I also want to thank Bo Derek for coming along--Bo Derek or a different woman: thank you.",262,998
3364,"Bo Derek's been on one bus, and everybody wanted to be on that bus. I don't know--I can't--we've got one guy who won't get off the bus. That guy named P. F. Bentley over there with Time magazine, he's taking her picture right now. We can't get him off the bus because that's the bus that Bo's on. He knows if he gets off we won't put him back on that bus again. But in any event, we've had a great time. We're very excited. We want a better America the next century and we can have it. Go to work.",497,999
1573,"This campaign is an important one.  The American people have the choice of whether or not they are going to give the green light to the sixties, whether they are going to move ahead, as Woodrow Wilson moved, and Franklin Roosevelt, and Harry Truman, whether we are going to say yes to the 1960s whether we are going to move ahead.  I ask your help in this campaign.  Thank you.",377,998
1215,"Now, let me tell you something.  If you are going to try to cover up your mistakes with that kind of charge, we will get nowhere.  All I plead for is honesty, decency, straightforwardness.  So when these youngsters now in the university, in high school or just out of the university and starting their professional lives take over, let them have honesty and candor and real information, real lessons drawn from all this history.  Of course, we have our moments of success.  When we won World War II we thought we were embarked upon a great and peaceful era.  But we did win the war.  We showed what an aroused America, a united America, could do.  Now, ladies and gentlemen, we have our problems of peace.  Let us get a government behind which we can unite, which can arouse the best in us, which will be honest with us, which will not try to conceal mistakes, and which will give us a chance to make America and the world what it can be.  America can be a safe, secure place for us.  It can be a leader toward peace and decency in the world.  And that is exactly what her destiny is, exactly the destiny that her people can achieve.  That is my faith in America, in her young, in her old, in all her citizens.  That is what we now must do.",1240,998
1215,"Ladies and gentlemen, for the very great honor you have done me, I thank you, and now with your permission I would like to bring out Mrs. Ike for just a second.",160,999
2708,"Thank you very, very much.  Thank you.",38,998
1201,"If that government will behave according to the principles of justice, fairness, friendliness and compassion, as we know them, then we can, with great pride and great confidence, get behind that government in these principles.  When that is accomplished, ladies and gentlemen, then our prestige abroad, the picture of a united America ready to stand behind principles of trust and integrity, and to stand firmly for its just rights in the world will lead the other nations that are still struggling desperately to stay free of Communist domination, will lead them to join with us under a truly mighty protective umbrella that will make us all safe.",648,998
1201,"Ladies and gentlemen, for the great honor you have done me in coming out here this morning I am truly grateful.  If I come through here again I trust it will be on a weekday when my address to you will be in a slightly different tone.  But at least I can do one thing here now that I do every day:  I can ask your permission to bring out Mrs. Ike who would like to wave to you.",377,999
3370,"The last time I fought around for--fought around the clock for my country was in Italy in 1945. It was worth it then, and it's worth it now, and we're going to make it happen.",175,998
3370,"Thank you very much, and God bless America.",43,999
2046,Let's do it. ,13,998
3358,"They're not trying to make money, not trying to make deals. They're trying to make a better America and that's what this election is all about.",143,998
3358,"I want to thank you again for coming. Thank you very much. God bless you. God bless America. Let's go to work to win California, fifty-four electoral votes. Thank you.",167,999
1229,"Ladies and gentlemen, I ask you, therefore, I ask you never to forget this one thought:  The United States government is not power in itself.  The United States government is a collection of individuals in the United States Senate, in the House of Representatives, in the executive departments.  They produce nothing.  They merely lead in accordance with constitutional processes of our country, the energy, the thoughts, the spirit, the product of 155 million people.  Consequently, unless they have that faith, they are helpless.  Now, your problem is to decide between now and November 4 what is the best way for you to get that kind of government--one that will inspire your faith, one in which you will believe, one in which your aspirations and your hopes, if they cannot be reached, at least progress will be made toward them.  More than that, no one can pledge you that they will try with all of the wisdom and justice and spirit of fair-play with which God endowed them, with a determination to be honest, square-shooting and straightforward, to lead the American people as well as they may in the paths of peace abroad and prosperity, happiness and tranquillity at home.",1180,998
1229,"Again, may I thank each of you from the bottom of my heart for coming out here this morning.  I am sure that as I leave this stand, several of my associates are going to say, ""General, you talked fifteen minutes too long,"" but please don't hold it against me.  I get interested in these ideas and I can't stop.  Good-bye and good luck.",335,999
2734,Thank you very much.,20,998
2052,"Out of this time of trouble, out of this time of uncertainty and unease, in this year of rage, the people must make a clear and responsible choice.  We can only vote for one man to be the president of us all.",208,998
2052,"I believe the United States is the greatest country in the world.  I want to build this nation, not tear it down.  I want to unite this people, not divide them.  I offer you no easy answers.  There are none.  But I make my appeal to reason, not to passion.  I appeal to hope, not to fear.  I choose to speak, not stand silent.  And I ask your help in this election.",365,999
2907,"Because we are one nation, one community, one family.  And I'm confident, as we look ahead to November 8, that the best America is not behind us; the best America is yet to come.",178,998
2913,"The best America isn't behind us, because with your help on November 8, we will make sure that the best America is yet to come.",127,998
2085,I ask you to stand with me on that line this summer--this fall--next January--and in the years beyond.,102,998
1598,"So I come here to old Georgia and ask Georgia to join us again in 1960, in building a better state here, in building a better country recognizing in the last words of Franklin Roosevelt that the only limitations of our realizations of tomorrow are our fears and doubts of today.  I think we must move.  I think we must push the United States ahead again.  I think we must give this country leadership.  I think America must move again.  Thank you.  ",449,998
1017,"The early years of the United Nations have been difficult ones, but what did we expect? That peace would drift down from the skies like soft snow? That there would be no ordeal, no anguish, no testing, in this greatest of all human undertakings? ",246,998
1017,"Any great institution or idea must suffer its pains of birth and growth. We will not lose faith in the United Nations. We see it as a living thing and we will work and pray for its full growth and development. We want it to become what it was intended to be--a world society of nations under law, not merely law backed by force, but law backed by justice and popular consent. We believe the answer to world war can only be world law. This is our hope and our commitment, and that is why I join all Americans on this anniversary in saying: ""More power to the United Nations.""",574,999
1771,"I would be the last to be so presumptuous to say that I could fulfill that responsibility, but when people sometimes say: Why can't we get rid of this campaigning?  Why can't we do it all by television so we can save our candidates the physical and the mental stress--and it could be done by television?  I could make a speech from Washington and hit 40 million people in a half hour with preparation for three or four days, which is more than I would talk to in the course of a period of eight weeks, live, in the course of this campaign.  The answer is this:",560,998
1771,"A campaign is good for the country, but it also is good for the candidate.  He gets the feel of the country.  He gets the feel of the people.  He sees farmers and wage earners and children and teachers and religious leaders and others.  He knows the fiber of America as he moves around and also he realizes, over and over again, what a tremendous responsibility we have.  Our national leaders, our state leaders, our senators, our congressmen, our legislature members, city councilmen, the thing they must avoid above everything else is to get too big for the people, to get away from people and that's one of the reasons why, even when I'm pretty tired at night, or a little grouchy in the morning when I get up after too little sleep, that I know that a campaign is necessary, that it serves a good purpose and I particularly feel so as I look out here and see all those Kansas sunflowers shining on Missouri, as well as Kansas, with the hope that we're going to pick up both of these states in this election.  Thank you.",1023,999
3166,"Now I ask, on Tuesday, I ask you to go to the polls and get your friends to the polls. I ask for your support. I ask for your vote to let me finish the job of lifting up the young lives here and giving America a prosperous four more years.",239,998
3166,May God bless the United States. Thank you all very much.,57,999
2278,"In 1969, the Democrats fought for a 15% rise. Mr. Nixon opposed it. In 1970, the Democrats passed the overdue 15% rise. Mr. Nixon threatened to veto it. In 1971, the Democrats fought for a 20% rise. Mr. Nixon opposed it. This year, the Democrats passed a 20% rise. Mr. Nixon tried everything he could do to torpedo it.",318,998
2278,"When Mr. Nixon signed this bill finally on July 1st, he denounced it as ""fiscally irresponsible and inflationary."" But now he points to it with pride in his note to older people in today's mail. It's like Scrooge trying to take credit for Christmas.",249,999
3172,"So as we drive down the wire, the train rolling, I look you in the eye, and I say, I ask for your support. And I ask for your vote, based on character and trust. Let's lead the world to new heights of prosperity for every single American. Don't let them tear it down.",267,998
3172,God bless America. Thank you all very much. Thank you.,54,999
1765,Thank you very much.,20,998
1003,"To use Seneca's phrase, ""Man is more than a rational animal."" And invoking the guidance of Providence, rational men animated by the destiny of greatness can think and can act, and can do, greatly.",196,998
1003,Thank you.,10,999
2244,Thank you very much.,20,998
1995,"And I say to America.  Put aside recrimination and dissension.  Turn away from violence and hatred.  Believe--believe in what America can do, and believe in what America can be, and with the vast--with the help that vast, unfrightened, dedicated, faithful majority of Americans, I say to this great convention tonight, and to this great nation of ours, I am ready to lead our country!",384,998
1981,"So I just want to leave this thought with you: Between now and Tuesday--and I will be waiting Tuesday night to hear from Wichita--you ask yourself what in your heart is right for you and your family. You ask yourself what course, what leadership, you think would be safer and saner for your nation. And then, by all means, you and your family go and register your vote, that priceless privilege that is not enjoyed in many lands today, and you select the kind of leadership that you think will weather the storm and that will carry us forward to peace abroad and to prosperity at home. And whatever your judgment, whatever your decision, it will be all right with me.",667,998
1981,I will be waiting to hear from you. Thank you and good night.,61,999
2250,"So as we move into the closing weeks of this 1972 presidential campaign let us recognize that what we are asking ourselves is the question of what kind of a nation it is that we want to be. Let us register that we want America to be a country that stands for peace, that stands for justice, that stands for a fair opportunity for every citizen and if we do that, then American, once again, will become the great and good land that we want it to be. ",449,998
2250,Thank you very much.,20,999
1956,"Well, I will tell you what kind you are going to select. You are going to search your conscience, and regardless of what party you belong to, you are going to do what your conscience tells you is best for your country; and whatever your decision is, it will be satisfactory to Hubert Humphrey and to me.",303,998
1956,Thank you very much.,20,999
2287,"But since Mr. Nixon refuses to debate, and since he refuses to appear in face-to-face discussion of the issues, about the only way we can get a debate of any kind going in this campaign is for me to reply to the charges of those who speak for him. And I want you to listen carefully to this: not one of these Republican spokesmen has yet claimed that my program would fail to achieve the goals that I set as our first priorities in Southeast Asia. What are those goals? First of all, to end the fighting and end the killing; secondly, to bring our prisoners home. And let's be clear--the only way we are ever going to see those prisoners again is to stop the bombing and stop the war that put them in prison in the first place. Now it has been four years ...",758,998
3199,"Let's not wait. For the safety of our troops, and to fight terror here and around the globe, the Senate should ratify the Chemical Weapons Convention now.",154,998
3199,Thanks for listening.,21,999
2293,"So, during this campaign and afterwards, let us remember history. And if we do, I am convinced that we will find a new unity in the very diversity of America, in the strands of humanity that have made us what we are and have made us so proud of our country.",257,998
2293,"As John Kennedy said, speaking at this dinner twelve years ago: ""When this happens, then the bitter memory of 1928 will begin to fade, and all that will remain will be the figure of Al Smith, large against the horizon, true, courageous, and honest, who served his country well, and, having served his country well, nobly served his God.""",337,999
1605,"""These islands,"" said Admiral Yarnell, former commander of our Asiatic Fleet, ""are not worth the bones of a single American.""  And I intend to see that not a single American dies on those islands--that firmness and reason characterize our stand around the world--and that we accept the Biblical injunction to ""pursue peace.""",324,998
2318,"Inflation was running at a cruel 6.4 percent in Dallas in 1969, while the nationwide rate was 6.1 percent. The rise in prices has been reduced in the past year to 2.3 percent in Dallas and to 2.9 percent nationally. These statistics remind us what it was like when this Administration first took office. It then was necessary for the average U.S. worker to get a raise of more than 6 percent just to stay even in purchasing power--any smaller increase meant his family actually fell behind on the inflation treadmill of the late 1960s.",535,998
2318,"We have made solid progress in the battle against inflation, but that battle is not yet won. We are determined to cut the rate of inflation even more than we have, in Texas and in the nation.",191,999
3006,Thank you and God bless you all. Thank you. Thank you.,54,998
1177,"Now, with your permission, may I bring out Mrs. Ike to wave to you.",67,998
2456,AIR ,4,998
2330,"Beyond this, the new budget I am preparing for next year will be a no-new-tax budget.  Further, to enable me to keep that promise, I shall make no promises in this campaign which would require an increase in taxes.  Federal spending can be held down, and, in my budgets this year and for the next four years, spending will be held down.  But a president, any president, must have a partner in controlling spending, and that partner must be the Congress.My fellow Americans, this government does not need any more of your income, and it should not be allowed to take any more of your salary and your wages in taxes.  America needs not a tax increase but tax relief.  The spending ceiling will get us started toward that goal.  One quarter of a trillion dollars for 1973 is enough.Thank you and good afternoon.",808,998
1639,"I would like to have you meet--you all know former Congressman O'Toole.  I served in the Congress with him fourteen years ago.  And here is going to be your next congressman from this district, Congressman-to-be Carey.  And Judge Ughetta, who is running for the court of common pleas. And Assemblyman Turpin.  And Al Burns.  I want to thank you very much, and I appreciate your coming out.  I would be glad to shake hands with anybody. ",436,998
2442,Thank you.,10,998
2495,"Thank you very, very much.",26,998
1822,"My colleague, Cabot Lodge, and I say to you: we know the dangers we face, and they are certainly dangers that cannot be passed off.  We do not tell you that the sailing will be smooth, because we will have rough seas as well as smooth.  But we do say this: backed by a united American people, with faith in God, with faith in our country, with recognition of our ideals, we can and we will lead a crusade to bring freedom to all the world and to keep the peace for the world, with your help.",491,998
1822,Thank you.,10,999
1836,Thank you.,10,998
1188,"There is a deep difference between the slogan, ""You never had it so good,"" and the pledge that you can and will have it better.  It is the difference between a man who is satisfied to stand still, and a man who is dissatisfied unless he is moving forward.  It is the difference between fear and confidence.",306,998
1188,"It is a difference which you people alone can decide upon, and which you must decide upon, in November. ",104,999
2481,"I am going to come down and have the privilege and honor of shaking hands with as many of you as I possibly can. But while we are doing that, while I am trying to do that, we have some very honored and very prominent and special guests on board this train who have come from faraway places in our country to show their support for me. I am going to ask your outstanding United States Senator, Chuck Percy, to introduce them to you, and then they will come and join me in extending the warm hand of friendship to all of you--Chuck.",530,998
3210,"And I saw where one of our friends in the other party the other day was saying, boy, we really need to jump on this affirmative action out in California; we can take the President down on this, this is one of those wedge issues. Well, let me tell you something, folks, those wedge issues nearly did us in. We have had about all the wedge issues we need. And I'd like them to take their wedges and go someplace else and let those of us who believe in unity get on with the business of making America a great place for every American to live in. And I want you to help me build that kind of bridge to the twenty-first century.",624,998
3210,Thank you and God bless you. Thank you.,39,999
