,Unnamed: 0,speech_par_id,text,label,annotated_at,high_pride_yl,low_pride_yl,auth_yl
10,10,2507_8,"One of the most significant achievements of this administration is that we have now reversed that slide. And as long as I am president we are going to have an Army, a Navy, an Air Force, and a Marine Corps that are unsurpassed in military capability. I know it is very costly. As President Eisenhower once said, and I quote, """"A good defense is never a cheap defense,"""" end quote. But for the sake of peace and freedom we must be willing to make the sacrifices that maintain America's military might.",none,2021-01-19 10:53:52,1,0,0
11,11,2636_39,"The administration which has brought us to this state is seeking your endorsement for four more years of weakness, indecision, mediocrity and incompetence. No American should vote until he or she has asked, is the United States stronger and more respected now than it was three and a half years ago? Is the world today a safer place in which to live?",none,2021-01-19 10:54:44,0,1,0
12,12,2016-11-07-grand-rapids-michigan_31,"And one of the things I've heard all over America, especially from young families, really from all families but particularly young families, is how hard it is to do so many of the things that are expected - like where do you find affordable quality childcare? In lots of states, it's more expensive than college tuition. We're gonna get the cost of childcare down. We're going to have a paid family leave program so that when you have a sick relative or you're sick you won't lose your job.",none,2021-01-19 10:54:50,0,0,0
13,13,3012_4,"I want to thank Barbara Holt and Joe Carr and my good friend Tom Allen, and there are lots of other people who are here, but I especially want to recognize the group of people who are Veterans for Clinton/Gore over here--Mayor Charlie Harlow, Senate President Charles Pray, my good friends Jim and Libbie Mitchell are here, and all of you who have come today. Let me say, I have had a wonderful day. I was in Boston yesterday. We had 45,000 people according to the morning paper there.",none,2021-01-19 10:55:13,0,0,0
14,14,2004-10-20-waterloo-iowa-0_5,"But now that we're fighting two wars, we must... and we will... prevail in both. In Iraq, because the President's miscalculations have created a terrorist haven that wasn't there before. And in the worldwide struggle against the terrorists, because they attacked us ... and because they represent the greatest threat to security in our time.",none,2021-01-19 10:55:19,0,0,0
15,15,3077_20,"I cannot do much about Harrisburg, but this week Congress will consider my legislation to give teachers more flexibility in using federal funds, as long as they achieve results. Congress wants to give flexibility to just 300 schools. I want to give it to all 110,000 schools. We've got to relieve these teachers of federally mandated paperwork requirements. I trust the teachers, not the government, to do what's right for our students.",none,2021-01-19 10:55:26,0,0,0
16,16,2012-09-27-event-springfield-virginia_22,"And there's a long-term threat to our military capability and to our national security, and it relates to something that fuels and builds our military, and that's our economy. You have to have a strong economy in order to build a strong military. Russia tried for a while — the old Soviet Union tried for a while to maintain a grade A, if you will, military, but they had a grade B economy, and they couldn't keep up. They finally had to — well, they collapsed. We have to have a strong economy.",none,2021-01-19 10:55:55,0,0,0
17,17,2012-10-13-remarks-portsmouth-ohio_13,"AUDIENCE MEMBER: Love you! MR. ROMNEY: There are five things — there are five things I know we can do to get this economy going. Some will have an immediate impact. Number one, we're going to take full advantage of our oil, our coal, our natural gas —",none,2021-01-19 10:56:03,0,0,0
18,18,2873_35,"And I believe that, well, my generation--and there were a few other generations between mine and yours--our sacred trust is and what we must do for you. We grew up in an America where you could dream, you could make your dreams come true, you could fly as high and as far as your own ability and strength and talent would take you. And we--myself and those generations I mentioned--our sacred trust is, and we pledge to you--when it comes your turn, we're going to turn over the reins of an America that is free in a world that is at peace. And it will be an America in which you can dream and make your dreams come true and fly as high and far as your own strength can take you.",none,2021-01-19 10:56:06,0,0,0
19,19,2012-09-17-columbus-ohio-0_41,"So, Ohio, what I'm offering, and I need your help. I need you to help me recruit 100,000 new math and science teachers and improve early childhood education and give 2 million workers the chance to learn the skills they need at community colleges and help us work with colleges and universities to keep tuition down so that our young people have a chance at a future without taking on tens of thousands of dollars' worth of debt. We can meet that goal, but I need your help.",none,2021-01-19 10:56:34,0,0,0
20,20,2944_25,"The stakes in this election are very, very high.  The next president will probably appoint two, three, or maybe four new members to the Supreme Court of the United States. Mr. Bush the other day said he thought the nomination of Robert Bork was an outstanding appointment.  We don't need a Supreme Court full of Borks.",none,2021-01-19 10:56:55,0,0,0
21,21,2004-10-21-hershey-pennsylvania-0_32,"But we need to worry about our children and our grandchildren. See, we need to worry about whether or not the Social Security trust will be solvent when they need help in retirement. I think younger workers ought to be allowed to take some of their payroll taxes and set up a personal savings account that earns a better rate of return, an account they call their own, an account the Government cannot take away.",none,2021-01-19 10:56:57,0,0,0
22,22,1928_21,"If you want to, do away with these gains that you have made, this progress that we have made, over thirty years. In this country I believe in full employment. I think that every man and woman who wants to work and is willing to work ought to have a chance to work. I believe in full education.",none,2021-01-19 10:57:05,0,0,0
23,23,2004-10-17-conference-washington-dc_29,"And that is why John and I both applaud the work of the National Women's Philanthropy and United Jewish Communities. In you, we see more than a great organization. We see hope-hope for our country, for the promised land of Israel, for the worldwide Jewish community, for women, and indeed for people all around this troubled globe of ours. You illustrate what can happen when strong women embrace their power and their wisdom, and come together to make their voices heard.",inclusion,2021-01-19 10:58:10,0,0,0
24,24,2651_14,"Now I am one who believes that states should handle most of their problems, but not if those problems are caused by the policies of an irresponsible and indifferent federal government. That is the case with the new Cuban refugees. The federal government must share the financial burden they have brought to America in their flight to freedom.",none,2021-01-19 10:58:25,0,0,0
25,25,2703_26,"Any nation that sees softness in our prosperity or disunity in our sometimes noisy arguments with each other; let such nations not make the mistakes others have made--let them understand that we will put aside in a moment the fruits of our prosperity and the luxury of our disagreements if the cause is a safe and peaceful future for our children. Let it always be clear that we have no dreams of empire, that we seek no manifest destiny, that we understand the limitations of any one nation's power. But let it also be clear that we do not shirk history's call; that America is not turned inward but outward--toward others. Let it be clear that we have not lessened our commitment to peace or to the hope that someday all of the people of the world will enjoy lives of decency, lives with a degree of freedom, with a measure of dignity.",none,2021-01-19 11:01:34,0,0,0
26,26,2640_16," With your help, with your vote--and I need and want both, and do not hesitate to ask for them--we will start that task in January 1981. Every generation is critical of the generation that went before. In recent years our generation has been blamed for much of what seems to be wrong in the world today. Well I will not apologize for our generation. We have known four wars in our lifetime and a Great Depression that changed the face of the world.",none,2021-01-19 11:02:08,0,0,0
27,27,2800_37,Our approach in all these areas will be designed to take into account concerns the Soviet Union has voiced. It will attempt to provide a basis for an historic breakthrough in arms control. I'm disappointed that we were not able to open our meeting in Vienna earlier this month on the date originally proposed by the Soviet Union. I hope we can begin these talks by the end of the year or shortly thereafter.,none,2021-01-19 11:04:15,0,0,0
28,28,3025_32,"My fellow Americans, this is a debate about whether we can do better and whether we are better. This is a great country. But we are going in the wrong direction and our people, who have worked hard and played by the rules, have been punished long enough.",none,2021-01-19 11:06:17,0,1,0
29,29,2004-09-23-the-american-indian_9,"The National Museum of the American Indian shows how your ancestors once lived, and it does much more than that. It affirms that you and your tribal governments are strong and vital today and provides a place to celebrate your present achievements and your deepest hopes for the future. It allows all Americans to experience the rich culture of the American Indian.",inclusion,2021-01-19 11:11:00,0,0,0
30,30,1714_7,"The Soviet Union is working night and day.  They are bent on our destruction.  Can we possibly afford to divide our influence, our responsibility?  Do you think the Democratic party which will control the House and Senate is going to be able to work with a president who goes around the country today saying, """"All is well, we have never had such great prosperity""""?  I believe the United States is going to have to move in the 1960s, and I believe a responsible, forward-looking president and vice president, working with Democratic majorities in the House and Senate, can move this country forward, can provide prosperity for our people, education for our children, security for our older citizens, a better deal for our farmers, the development of our natural resources.  These are the issues of this campaign.  These are the only issues.  ",none,2021-01-19 11:12:02,0,0,0
31,31,2003_9,"What has made this country what it is, is a great depth of consciousness about people, consciousness that motivates men and women throughout the many generations of our history to do something just a little bit better than was done before, and this nation is characterized by leaders who came from the ranks of people, not an elite born to ride herd on others, but, rather, the people who raise up out of their own ranks their own leaders, so that we have government by the consent of the governed, so that we have government of law, not government of edict, so that we have government that is compassionate, on the one hand and firm in its justice on the other. I think that is what we exemplify by this meeting tonight.  I think that is what you come to pay your respects to, and am I ever glad to be there.  I always like to be where there are good people. I go away feeling just a little better.",none,2021-01-19 11:12:59,1,0,0
32,32,1588_5,"Exploiting the twin themes of human misery and Yankee hatred, Castro's campaign has met with success in almost every country - in Brazil, where both presidential candidates found it politically expedient to appeal to pro-Castro and anti-American elements in the electorate - in Mexico, where anti-American riots followed pressure on a pro-Castro spokesman - in Guatemala, where Castro-equipped revolutionaries are a real menace - in Uruguay, where a general strike was threatened if Castro was not supported at the San Jose Conference.  And--at the same foreign ministers' conference--the United States suffered one of its few diplomatic defeats in the history of inter-American relations, when it was forced to withdraw its protest over Communist efforts in this hemisphere. This is a critical situation--to find so dangerous an enemy on our very doorstep.  The American people want to know how this was permitted to happen--how the Iron Curtain could have advanced almost to our front yard.  They want to know the truth--and I believe that they are entitled to the truth.  It is not enough to blame it on unknown state department personnel.  Major policy on issues such as Cuban security is made at the highest levels--in the national Security Council and elsewhere--and it is the party in power which must accept full responsibility for this disaster.",none,2021-01-19 11:13:56,0,0,0
33,33,2008-10-01-remarks-independence-missouri_6,"Crises often have a way of revealing our better selves - of showing what we are made of, and how much we can achieve when we are put to the test. This is true as well of the grave challenges we face in Washington. Yet it should not require extreme emergencies - when the future of our entire economy is on the line - to bring out the best in us, or to bring us together in service to the common good. We are supposed to do that even in the calmest of times. And if we worked together more often in that spirit, perhaps there would be fewer crises, close-calls, and near-disasters confronting our nation.",none,2021-01-19 11:15:00,0,0,0
34,34,2082_60,"My friends, I am asking you tonight--I am asking tonight--I am asking the young people of America a special plea to them and I am asking you, my friends, out here with the honor roll, I am asking the working people of America tonight to help me--to help me and help yourself and help your families. I am asking you to help me raise a little of the money to match Mr. Nixon's TV time and I am asking you to go door to door and house to house and fight for yourself and for your family and your country. I am asking you to get out to work, to roll up your sleeves like you have done when you built this union and to make the decision on November 5th, a decision for your family, for your union, for your country and for your world.",none,2021-01-19 11:16:10,0,0,0
35,35,2008-10-28-remarks-chester-pennsylvania_22,"When it comes to jobs, the choice in this election is not between putting up a wall around America or allowing every job to disappear overseas. The truth is, we won't be able to bring back every job that we've lost, but that doesn't mean we should follow John McCain's plan to keep giving tax breaks to corporations that send American jobs overseas. I will end those breaks as President, and I will give American businesses a $3,000 tax credit for every job they create right here in the United States of America. We'll create two million new jobs by rebuilding our crumbling roads, and bridges, and schools, and by laying broadband lines to reach every corner of the country. And I will invest $15 billion a year in renewable sources of energy to create five million new energy jobs over the next decade - jobs that pay well and can't be outsourced; jobs building solar panels and wind turbines and a new electricity grid; jobs building the fuel-efficient cars of tomorrow, not in Japan or South Korea but here in the United States of America; jobs that will help us eliminate the oil we import from the Middle East in ten years and help save the planet in the bargain. That's how America can lead again.",none,2021-01-19 11:16:43,0,0,0
36,36,3241_8,"And I was determined to see this country continue to lead the world for peace and freedom. But four years ago you took me on faith. You don't have to do that anymore. Now, there's a record: 10.5 million jobs, record numbers of new businesses, record exports of American products, 4.5 million new homeowners, ten million homeowners who refinanced their homes at lower interest rates, four years of declining crime rates, child support up 50 percent, welfare rolls down two million, out-of-wedlock births dropping for the first time in twenty years. This country is on the right track to the twenty-first century.",none,2021-01-19 11:17:00,1,0,0
37,37,1875_14,"I ask you, those of you who shop in this shopping center: do you want to have your prices increased? Can you take it? What about your budget? Let me ask you, particularly those of you who are older here, living on Social Security, living on pensions or planning to: Do you want the value of your dollars cut in half? That happened once. It happened in the Truman years.",none,2021-01-19 11:17:08,0,0,0
38,38,2016-10-13-palm-beach-florida_13,"What's happening to me is no different than what happened to other innocent people, like the story written in Rolling Stone Magazine – and that magazine should be put out of business. Six months ago, the New York Times wrote a massive story attacking me, and the central witness they used said the story was false, that she was quoted inaccurately. She said I was a great guy, and never made those remarks.",none,2021-01-19 11:17:30,0,0,0
39,39,2004-10-09-st-louis-missouri_18,"Much as he tried to obscure it, on issue after issue, my opponent showed why he's earned the ranking, the most liberal Member of the United States Senate. And several of the statements just don't pass the credibility test. With a straight face, he said, """"I've only had one position on Iraq."""" He must think we've been on another planet. In the spring of 2003, as I ordered the invasion of Iraq, Senator Kerry said, """"It was the right decision."""" Now he says, """"It's the wrong war."""" And he tries to tell us he's had only one position. Who is he trying to kid? He can run, but he cannot hide.",none,2021-01-19 11:17:37,0,0,0
40,40,2492_7,"My idea of tax reform is tax reduction. I'm sure you recall that I submitted to the Congress a proposal to increase the personal exemption from $750 to $1,000. That is meaningful tax reduction to the long shortchanged middle-income taxpayers. Congress didn't pass it, but I make a pledge to you: I'm going to keep the pressure on the next Congress until they do, and if they don't, they'll hear about it in the next election.",none,2021-01-19 11:18:34,0,0,0
41,41,3180_13,"In education, Governor Clinton wants to think the same old way, same old bureaucratic way. We've got a good program, America 2000. It literally revolutionizes American education. It puts the power not in the head of the teachers' union but in the head of the teachers and the families and the parents, and that's where it belongs. One thing we're going to do is provide--like it's working in Milwaukee--provide school choice so the parent can decide private, public, or religious schools. We've done well. One out of every two college students has financial aid; Pell grants are up. And we are going to keep fighting until every student has a share of the American dream by a good education.",none,2021-01-19 11:18:53,0,0,0
42,42,3231_33,"I want to ask you to help me to continue this work to build that bridge to tomorrow. The future of this country represents our best days if we do the right things. The kids in this audience, they'll be doing jobs that haven't been invented yet. A lot of the children in this audience will be doing jobs that have not been imagined yet--if we do the right things.",none,2021-01-19 11:19:23,0,0,0
43,43,2008-10-23-indianapolis-indiana-3_6,"Just yesterday, Senator McCain strongly defended the Bush policy of lavishing tax cuts on corporations that ship American jobs overseas. He made the peculiar argument that the best way to stop companies from shipping jobs overseas is to give more tax cuts to companies that ship jobs overseas. More tax cuts for job outsourcers. That's what Senator McCain proposed as his answer to outsourcing.",none,2021-01-19 11:19:27,0,0,0
44,44,2190_7,"One of the great issues of the 1970s will be to determine the distinctive role of each level of government in the enterprise of education. I believe that our philosophy of encouraging the maximum local control and local participation will provide the answers the times demand. I consider education a federal concern, a state responsibility and a local function. The federal government, with its ability to raise funds on a national basis, should aim at reducing the discrepancies among the various states in their resources for the support of education. State government must bear the legal responsibility of setting standards for attendance, teacher certification, per-pupil expenditure and the development of long range plans. Local school systems should be responsible for developing specific projects and programs, and they should be permitted maximum flexibility, subject only to the broadest of policy definitions.",none,2021-01-19 11:19:41,0,0,0
45,45,2804_2,"It's great to be back in your proud city of Milwaukee and great to be with all of you here at Old Heidelberg Park. You know, Old Heidelberg Park--I can remember when they called it just plain Heidelberg Park. Of course, that was back when if somebody said, """"Hey, kid,"""" I answered.",none,2021-01-19 11:19:54,0,0,0
46,46,2012-09-27-event-springfield-virginia_5,"And so — — we were able to take care of all those things and make sure that it was legitimate. But what a — what a privilege to be able to be there and to send off men and women who love their country. I am — I'm privileged today in the presence of those who have served their nation, who, in the words of that wonderful hymn, """"O beautiful for heroes proved in liberating strife, who more than self their country loved and mercy more than life.""""",none,2021-01-19 11:20:15,0,0,0
47,47,2012-09-23-event-denver-colorado_38,"Now, I knew it was coming because as the guy in charge of the Olympics, I chose the version of the national anthem they sang. And I chose a version from the 1930s by Robert Shaw. And in this version, you repeat the last line as a reprise and the sopranos go up an octave and the orchestration is much greater — o say does that Star-Spangled Banner yet wave, o'er the land of the free and the home of the brave.",none,2021-01-19 11:20:50,1,0,0
48,48,1357_16,"The most obvious weakness, of course, is the ease with which our national forests, our wildlife refuges, our parks and streams, and public lands have been invaded and turned to selfish private purpose. But more important even than that, perhaps, is the shunting aside of men who are experienced and trained in a lifetime of conservation work, in favor of politician appointees. The agency that looked at tomorrow's needs for minerals has been disbanded--and nothing put in its place. The Soil Conservation Service has been weakened--and must be revived. We need the leadership that will look at the nation's needs for water, for areas of recreation in the great open country, for land, and forest, and streams. We need, in other words really to look together at the needs and resources of our common future.",none,2021-01-19 11:21:31,0,0,0
49,49,1775_16,"We say the way to progress is not to rely on an all-powerful federal government, to weaken the individual, to weaken the state, but to tap all the resources of America, to get the most out of l80 million free Americans, the most out of our strong state and local governments, and the most out of the federal government, but with the federal government doing only those things that cannot be done and will not be done by the states and the local government and by the people themselves. This, I say, is not Republican doctrine alone.  It represents the thinking of millions of Democrats in this country because it has made America great and it will make her greater in the years ahead.",none,2021-01-19 11:21:54,1,0,0
50,50,2787_2,"Americans of Hispanic descent are moving into the business and professional community as never before. They--and that includes some of you with us today--are playing a major role throughout this administration. This generation of young Americans of Hispanic descent, due to an expanding economy and increasing opportunity, will have it within its grasp to achieve more and advance further than any generation of Hispanics at any time, in any country of the world.",inclusion,2021-01-19 11:22:50,0,0,0
51,51,3083_8,"So I simply came out to congratulate you on this; to tell you of this determination, this decision I have made, which I am certain is in the interest of world peace, salute you for your work; and thank you for this worm welcome. May God bless each and every one of you.  Thank you very, very much.",none,2021-01-19 11:23:29,0,0,0
52,52,3064_17,"Let me make an aside. This is a political year, but there's a lot of danger in the world. You can be sure, I will never let politics interfere with a foreign policy decision. Forget the election: I will do what's right for our national security. And that is a pledge from my heart.",none,2021-01-19 11:23:40,0,0,0
53,53,1937_8,"We have a Bill of Rights. We are also developing a Bill of Responsibilities, and that will be the guidepost of my administration. Article I of the Bill of Responsibilities is that government must be prudent. I am in favor of government that doesn't take in a cent it doesn't need and doesn't spend a cent it doesn't have to. Instead of increasing government expenditures, my first budget, the first Johnson budget to the Congress, calls for lower expenditures--$1 billion lower--and it is only the second budget in ten years to be lower. Instead of increasing the number of Government employees, the Johnson budget calls for a reduction, and it is the first budget to reduce Government employees in eight years.",none,2021-01-19 11:24:42,0,0,0
54,54,1860_15,"All these things sound so far away sometimes, here in Syracuse or in Erie or in Lancaster, but, my friends, we can have the best Social Security and the best housing and the best jobs and it will make no difference if statesmanship fails to avoid the next war. It must not happen. It will not happen, and Cabot Lodge and I believe we have the kind of leadership that will avoid it happening, as President Eisenhower has avoided it happening. ",none,2021-01-19 11:24:47,0,0,0
55,55,3302_38,"So I would just say, before I conclude, I'm honored to be here today, as I was in Boston a couple of years ago. I want to say to all those in the audience--the men and the women, the young, the middle-aged, and maybe a few seniors here--this is a great organization. You've been at the forefront, you understand the problems. You understand freedom. You understand liberty. You understand we're the greatest nation on the face of the earth--make no mistake about it, we are the greatest nation on the face of the earth, and I think we even have better years ahead.",none,2021-01-19 11:24:56,1,0,0
56,56,2845_9,"If it were up to my opponent, I'm afraid Rockwell might still be building the B-25--that is, if you were building anything at all. The truth is, if all his votes had prevailed, America would barely have any defense, any real means to protect the peace, any chance to preserve freedom. And we can't afford that kind of protection.",none,2021-01-19 11:25:12,0,0,0
57,57,908_12,"And, most of all I feel what could happen to all of the 20th century progress, the social revolution at home and our firm directions in the great world revolution of this age, under Republican leadership. You remember how the two Republican parties pulled out their six-guns and went after each other in Chicago. Well, there is still today the same divided, confused, quarreling bunch we all saw on the TV screen when they had their scrimmage out there in the stockyards at Chicago.",none,2021-01-19 11:25:27,0,0,0
58,58,2423_2,"But the most important consideration on this issue or any other issue in a government like ours is, what is the will of the people involved? It should not matter whether the people involved are rich or poor, famous or anonymous, powerful or not. And it is clear that in this key case, the people wanted the New River like it is.",none,2021-01-19 11:26:24,0,0,0
59,59,2692_52,"Our failed energy policies have caused many of our allies to blame the United States for the world's energy problem as much as OPEC. Neglect of energy realities diminishes our diplomatic strength. But worse, our dependence on imported oil also weakens our strategic position.",none,2021-01-19 11:26:58,0,0,0
60,60,2988_46,"An America where we end welfare as we know it. We will say to those on welfare: you will have and you deserve the opportunity through training and education, through childcare and medical coverage, to liberate yourself. But then, when you can, you must work, because welfare should be a second chance, not a way of life. That's what the New Covenant is all about.",none,2021-01-19 11:27:05,0,0,0
61,61,2016-10-27-salem-north-carolina_11,"And don't just take it from me because I think you've heard some really compelling voices say the same thing, and one of them is here with us today, right? There are so many things I admire about our First Lady. Michelle reminds us to work hard, stay true to our values, be good to one another and never, ever stop fighting for what we believe in.",none,2021-01-19 11:27:56,0,0,0
62,62,2771_22,"Today our troops have newer and better equipment; their morale is higher. The better armed they are, the less likely it is they will have to use that equipment. But if--heaven forbid--they're ever called upon to defend this nation, nothing would be more immoral than asking them to do so with weapons inferior to those of any possible opponent.",none,2021-01-19 11:28:01,0,0,0
63,63,3097_16,"You know, Bill Clinton talks a very good game. He's got more statistics than there are problems out there, but his actions betray his words. In Arkansas, individual income has slipped; crime is up relative to the nation; children's test scores get weaker; while streams of air get more polluted. If you go swimming in that Arkansas River, keep your mouth closed and hold your nose. They are doing a terrible job on pollution. ",none,2021-01-19 11:28:12,0,0,0
64,64,2812_20,"Winston Churchill once said--when he changed parties in his country, he said--""""Some men change principle for party, and some men change party for principle."""" Phil has proven himself a courageous representative of--in all of this, as I say, in what we fervently believe. Well, those values are attracting millions to our cause. We're reaching out to rank-and-file Democrats and Independents, asking them to come with us and walk down this new path of hope and opportunity. I know there are many here tonight. I'm very proud to know that you would come here. There was a certain sacrifice at the box office for you to do so. But to have you here--and I just want to say to all of you, having been a Democrat most of my life myself and found that there came a day when I could no longer follow the policies of the leadership of that party, I know that throughout this country there are millions of rank-and-file, patriotic Democrats who love this country, who want the same things that we want for the country, and yet who find themselves unable to bless the decisions of the policy-makers at the head of their own party today. Come with us on this particular march, and we'll truly have a bipartisan victory that will set this country to going forward again, with your help.",none,2021-01-19 11:28:56,0,0,0
65,65,2004-10-26-dubuque-iowa-0_38,"I remember coming to eastern Iowa during the congressional campaigns in 2002. I said that I understand Iowa's hospitals are not being treated fairly under Medicare. Nussle, you might remember—I stood and looked right in the camera. I said, """"I'm going to work with Congressman Nussle and Senator Grassley to make sure Iowa's rural hospitals, in particular, are treated fairly."""" The bill I signed not only helps our seniors but it helps Iowa hospitals. I kept my word.",none,2021-01-19 11:29:06,0,0,0
66,66,2004-10-28-dayton-ohio-1_7,"But most of all, I want to thank you all. I want to thank the grassroots activists, the people putting up the signs, the people making the phone calls, the people doing all the hard work. I want to thank you for what you have done, and I want to thank you for what you're going to do. With your help, with your hard work in turning out that vote, there is no doubt in my mind we'll carry Ohio again and win a great victory on November the 2d.",none,2021-01-19 11:29:42,0,0,0
67,67,2081_44,"You know, it is very easy sometimes to talk about the things you plan on doing today--to talk about the great, great programs of tomorrow--but I find it very easy to support Hubert Humphrey, not only because he is the man he is today, not only because he promises great promises for tomorrow, but even greater than that, and I think that what he has done in the past makes the individual much more predictable in terms of what he will do tomorrow, and his record as a mayor, as a senator, as vice president, makes it even more important that we cast our vote for him, because he is a man that will lead America in the right direction, will make America what it should be for all Americans, whether they are black or white, rich or poor, from the North or South. I thank you for this support and I hope you continue to do so.  Thank you very much.",inclusion,2021-01-19 11:31:20,0,0,0
68,68,1313_9,"Every single member in this crusade is pledged to this idea: That at the first sign of any approaching depression, the full power of private industry, of local and state government, and all resources of federal government will be mobilized to see that never again will we have mass unemployment.  We are committed to the expansion and improvement of social security programs, particularly to saving what is left of our dollars so that your insurance policies, your old age insurance, your unemployment insurance and the rest of itdon't run out of your pocket through that big hole they call inflation.  Unless we stop that, there is no hope.",none,2021-01-19 11:31:49,0,0,0
69,69,2385_8,"Is he proud of the 6 percent annual inflation rate that he and his advisers are trying to convince us is normal? The fact is that during the eight Kennedy-Johnson years the inflation rate averaged 2 percent, a third of the 6 percent rate that Mr. Ford now runs on so proudly.  Have you ever listened to Mr. Ford and his advisers try to explain away their economic mismanagement? Whenever they think they can get away with it, they tell us, """"You've never had it so good!"""" And when that won't wash, they fall back on, """"Trust us--prosperity is just around the corner."""" ",none,2021-01-19 11:32:00,0,0,0
70,70,2004-10-26-richland-center-wisconsin_51,"The President. That sounded like a big one to me. You see, good tax policy says to businessowners, """"Invest,"""" because you know what investment means? Investment means jobs. And so in our tax policy we said to small-business owners that you're able to deduct up to $100,000 for equipment expensing in the year in which you buy it, as opposed to $25,000. And why did we do that? Because we want to encourage Eric to invest. And so he says he buys a 400-ton——",none,2021-01-19 11:32:05,0,0,0
71,71,1033_23,"Of course they don't mean to aid and abet our enemies; but the results are the same. Are these the men we want to lead our nation in the struggle against Communism today? All the while they proclaim ferocious anti-Communism. Indeed, the best way they can apparently find to obscure their retreat from the fight against Communism abroad, the fight to keep it distant from our shores, is by shouting and screaming every hour on the hour about how much they hate Communism at home.",none,2021-01-19 11:34:03,0,0,0
72,72,2012-10-23-delray-beach-florida_37,"By the way, I just want to point out, in the same way that Governor Romney didn't mention the Afghan war or our troops in his convention speech, Governor Romney didn't even mention our veterans last night. Audience members. Boo!",none,2021-01-19 11:34:26,0,0,0
73,73,2033_29,"The protections and the legal procedures of the National Labor Relations Act should be available to farm workers like every other worker.  Now, we're not talking about the family farm.  We're talking about the kind of agriculture that's corporate agriculture, big agriculture, where there are many workers.  And I want to go on record here once again, as I have a hundred times, the National Labor Relations Act is in the best interests of order, of an orderly economy.  The National Labor Relations Act should apply to every kind of worker that wants to organize, and they should have those protections.",none,2021-01-19 11:35:07,0,0,0
74,74,1872_1,"The same thing happened when we got to the Alamo in San Antonio a little later in the day. The same thing happened in Houston last night--not only the biggest crowd ever in Houston, but it was probably the greatest night rally of this campaign which has been held by either candidate, from the reports I have received. Then we came in at the airport at 11 o'clock last night. I know, because I didn't get much sleep last night. Neither did you if you were at the airport. There was a massive crowd with flashlights welcoming us. It was a sight we will never forget.",none,2021-01-19 11:35:46,0,0,0
