,Speech_id,text,party,term,comp
22471,2776,"The other thing is reducing government spending. I still think that the federal government has a higher overhead than is necessary. We haven't made all the gains that we wanted. As a matter of fact, had we gotten all that we asked for in our first submission of our program, the deficit would be between $40 billion and $50 billion less right now.",rep,1984,False
5348,2848,"And America's best days are yet to come. And I know it galls my opponents, but you ain't seen nothin' yet. Thank you very much for your support. Thank you all, and God bless all of you.",rep,1984,True
41390,1769,"Now, in addition to that military strength, America must continue to be, and I again say ""continue to be,"" what she is today, the strongest nation in the world economically.  Why is this so essential?  Because the race in which we are engaged, this competition, is not only military in character, it is economic in character.  Mr. Khrushchev has challenged us to competition.  I remember that he told me when I visited the Soviet Union that he intended to catch us--he admitted he was behind, but he intended to catch us and that he intended to pass us, and he said: ""When we pass you, we're going to wave to you and then say, 'Come along, follow us and do as we do or you're going to fall too far behind in this race.'""  And our answer to him is this: we will not fall behind.  Mr. Khrushchev will not catch us, not in the seven years that he says, nor in seventy years, provided we stay true to the principles that have made America the most productive nation on the face of the world today.  ",rep,1960,False
16074,2016-10-25-coconut-creek-florida,"And you know, in addition -- in addition to making the economy grow and making sure people are ready with the skills to do these jobs, I want to make it fairer. That's why I want to raise the national minimum wage. If you work full-time, you shouldn't still be in poverty. And don't you think it is finally maybe past time to guarantee equal pay for women's work?",dem,2016,False
15698,2008-10-16-downingtown-pennsylvania-1,I felt those things once before. I will never let them in again. I'm an American. And I choose to fight.,rep,2008,False
34253,3225,"3225 And in that four years you have to pay them at least $6 an hour above the minimum wage, but let's say the welfare check is worth $2.00 an hour, or $2.50--you keep that, and that's what we pay you for helping us give those folks a new life, for training them, for investing in them, for dealing with people who may have never been in the workforce before and all the little problems that may mean, but we want you to give them a new chance.",dem,1996,True
8760,1749,"Now, what I have just suggested, of course, isn't the simplest way--at least not the simplest to explain.  It is much easier to go before an audience, I can assure you, and say: you don't have a job--the government's going to give you one.  If your schools aren't adequate the federal government is going to provide it.  If you don't have the right kind of health care, the federal government will set up a program that will do it.  And you don't have to worry about it.  Your state government, your local government, doesn't have to worry about all these things; the federal government will do all these things.",rep,1960,False
25851,1308,"Now, let's review this political campaign for just a moment.  You will recall that only a few months back we were promised by the opposition that this campaign was going to be conducted on a high level.  It would be one to elevate and educate the American people.  Well now, ladies and gentlemen, if you are going to educate the American people you have to drag out the record, don't you?  Now, how would you like to have to defend the record of the past seven years in Washington? ",rep,1952,False
28848,3283,"I believe it's a better country because we passed the Family and Medical Leave Law and twelve million people got to take some time off from work when a baby was born or a family member was sick. I believe it's a better country because we passed a crime bill and we're putting 100,000 more police on the street. I believe it's a better country.",dem,1996,False
5337,2848,"More recently, he failed to repudiate the Reverend Jesse Jackson when he went to Havana, stood with Fidel Castro, and cried, ""Long live Cuba! Long live President Fidel Castro! Long live Che Guevara!""",rep,1984,False
24527,2953,"Well, that caused a revolution in Washington. Lots of people were aghast. We were told that our interests in the region would be jeopardized. That even the use of the expression would set off drastic diplomatic repercussions. Well, they were wrong and we were right.",rep,1988,False
10950,3058,"You know, when I was a kid my mother used to tell me, ""If you fool me once, shame on you. If you fool me twice, shame on me."" We're not buying it this time. We're not going to buy it.",dem,1992,False
11616,2756,"We got some business to do today, folks. We've got twelve or thirteen days to go before the election. This is the most important election in modern history, and for farmers and rural Americans, it may be the last significant election that they have to turn things around, to strengthen family farming, to strengthen rural America.",dem,1984,False
28827,980,"There are the Old Guard reactionaries who own the Republican party, hoofs, hide, and tallow. They control the Republicans in Congress; the Republican candidate for the presidency does their bidding, by conviction, persuasion or intimidation, I know not which; they have grabbed control of the Republican campaign--and they are quite frank about their plans to dominate the White House and the Congress if they ever get a chance. Endorsing Senator Jenner of Indiana, the defamer of General Marshall, Senator Taft said just last Friday that the General should have a Republican Congress ""so we can control the committees.""",dem,1952,False
13560,2004-10-15-remarks-oshkosh-wisconsin,Audience members. Four more years! Four more years! Four more years!,rep,2004,False
29180,2809,"The choice between us and our opponents is the cleanest our country has faced in more than fifty years. According to them, America's future is grim and getting grimmer. They say our people are despairing, that we have nothing to hope for but fear itself. Well, America has fallen on hard times, they claim, and they place the blame squarely on our administration. You know, sometimes I get the feeling that they don't like me very much. ",rep,1984,False
38248,2048,"Now, there aren't any instant cures.  The only time you get any instant cures is in some of these patent medicines that do not work.  And I say that as an old pharmacist.",dem,1968,False
11011,2434,"Thank you very much. Again, thank you all very, very much. We are very grateful for your contributions and your support, and we will be continuing to sustain this effort which is so important.",rep,1976,True
30857,3109,"3109 May I salute the Monarchs, the Wildcats, and the Panthers. ",rep,1992,True
31671,983,983 These are tested and proven policies of twenty years. They were initiated by the boldness and vision of a great Democrat--Franklin Roosevelt. They ere enlarged and consolidated by another great Democrat--Harry Truman.,dem,1952,True
17352,2016-11-01-valley-forge-pennsylvania,"It's time for new leadership. I've led a great life and I truly love our country. So now I want to give back to the country that's been so good to me, that's why I'm doing this.",rep,2016,True
37387,1353,"The Flood-Douglas bill was taken up in the Senate, debated, and passed by a vote of sixty to thirty. Forty-four Democrats voted for the bill and only three against it. Sixteen Republicans voted for the bill and twenty-seven against it.",dem,1956,False
13163,2806,"But our diversity is not only ethnic. You'll find, if you haven't already, that this country is full of different and, sometimes, conflicting ideas and philosophies. Walk by a newspaper stand, and you'll see scores of magazines and newspapers arguing this point and that. Listen to television and radio, and you'll hear more than enough opinions with which to agree and disagree. In fact, if you don't, over the next several years, find one time, at least, when you feel like taking off your shoe and throwing it at a television screen, then you will have missed out on one of the great American moments. ",rep,1984,False
18784,2016-08-19-complex-dimondale-michigan,"And if we can't make a much, much better deal than we have right now, we will walk. I'm not in any way, shape or form an isolationist. I don't believe in it, but we have to make great deals for our country. We're losing in our whole trade negotiation with all countries over $800 billion a year. That's our trade deficit. Who negotiates these deals? We want great trade deals and we will have them.",rep,2016,True
41626,1972,"1972 And I also knew that one morning at an Air Force site in Europe the boys had completed their fifty missions and were ready to come home to see their wives, sweethearts, and mothers when a commanding officer walked in and said, ""We have a most dangerous mission that must be performed today, and we want volunteers. All of you have already finished your missions, but we need some volunteers.""",dem,1964,True
20991,993,"993 When Texans talk of states' rights, I think that what they are saying is that they believe in good government--clean, economical government--government which is both as limited in scope and as local in character as possible. In Illinois I have had a chance to put these convictions into practice. My first job there was to clean up a Republican mess, to use their favorite phrase, and I mean to clean up after an apathetic, ill smelling, corrupt holding operation that they chose to call a government.",dem,1952,True
9067,2004-10-16-sunrise-florida-0,"We have differences when it comes to defending our country. Take, for example, the proposed ""global test"" that the Senator proposed before we defend ourselves. Audience members. Boo-o-o!",rep,2004,True
20850,1487,"1487 These are the weakest and least constructive slogans in the history of American political thought. Contrast those slogans with the slogans which we Democrats are proud of: Woodrow Wilson's New Freedom, Franklin Roosevelt's New Deal, Harry Truman's Fair Deal, and Adlai Stevenson's New America. And you can contrast the slogans of this campaign, the Republican slogan, ""You Never Had It So Good,"" with the Democratic slogan of the ""New Frontier.""",dem,1960,True
4905,3207,"And I just want you to think about those children who were up on the stage tonight because whenever I finish speaking and I go down to those crowds and I look at young people who believe in their own potential and who do not like the idea that we have to be divided and we have to leave some behind and who do believe it takes a village to make the most of all of our lives, I know why we're all doing this. That's why you're here tonight. And from the bottom of my heart, I thank you. And I ask you to remember that there are still fifty-four more days before anybody can celebrate anything--fifty-four more days of fighting for the future of the children who closed this wonderful performance tonight.",dem,1996,True
11333,2004-09-23-bangor-maine-1,"My only regret is that Laura is not here with me. She was a public school librarian in Texas when I asked her to marry me. She said, ""Fine, I'll marry you, just so long as I never have to give a political speech."" I said, ""Okay."" Fortunately, she didn't hold me to the promise. The other night in New York City, the American people got to see Laura at her best, her— decent, strong, compassionate woman. She's a great mom, a great wife. She needs to be the First Lady for 4 more years.",rep,2004,False
37753,3008,"Now, every time I say this, those people who attack me say, there they go again, they want to ration health care. I don't want to ration health care. That's why I want a sensible system. We are rationing health care today. If you don't believe it look at the infant mortality rate. Look at the low birth weight rate. Look at the people who don't have long-term care who need it. Look at the people who don't get medicine who need it. We are rationing health care today, but we are doing it in sneaky, bureaucratic, confusing, absolutely indefensible ways, and we ought to change it.",dem,1992,False
1385,2012-10-17-rally-athens-ohio,"Now, for all the progress we've made, we've got more work to do. There are too many folks out there still looking for work. There are too many folks out there who are still having trouble paying the bills. And that's why we've got to keep moving forward to build on what we've already done.",dem,2012,False
16340,1926,"It makes you feel so much better to have faith than to have doubt. You are a lot happier if you love than if you hate. So let's look to the future with hope and faith and courage. Let's extend a helping hand to those that have not been quite as fortunate as we have been here at home and abroad. Let's try to find the areas which can unite America instead of the few, petty things that divide America.",dem,1964,False
27609,2770,"2770 We can clean up those toxic dumps; protect our air, our water, our land, our public health; and we can make sure that no James Watt or Ann Gorsuch ever gets their hands on our environment again.",dem,1984,True
580,2012-09-06-national-convention-charlotte,"I recognize that times have changed since I first spoke to this convention. The times have changed, and so have I. I'm no longer just a candidate. I'm the President.",dem,2012,False
21749,1281,"Now, if we are going to be all of those things and we are going to unite that strength behind the cause of peace, to lead the cause of peace in the free world, how do we realize the maximum of that strength?  Because we are so diversified in activity, in customs, we must have the unity that comes from the support of common principles.  That means support of a government.",rep,1952,False
10424,2187,"But this year we have to think of the country, we have to think of whether either man, one of the two and only one of the two is going to be elected president of the United States, one of the two nominees of the major parties, which one of those two men can provide the new leadership that America needs. Each is a new man. The question is who is going to bring a new policy. And I am going to put it quite bluntly today. When a man helped to make the policies of the last four years, when he has always supported those policies, when he has never disagreed publicly with any one of them, when he has never criticized either the foreign policy or domestic policy either then or now, I say that when the nation is in as much trouble as we are in at home and abroad, no peace abroad, no peace at home, no progress without inflation, you don't turn to a man that helped to get you into trouble to get you out of trouble. It's as simple as that. But now, my friends, I want to accept a challenge here today. It didn't occur to me until I arrived here and heard the remarks that were made. Ed Brooke brought it home quite, I thought, effectively and bluntly. He pointed out that the American people are not going to vote for the third-party candidate because as they vote for that third-party candidate, the American people will be aware of the fact that they are voting first for a man who can't win, and that through those votes they may create a crisis in terms of the Constitution of this country. And the wheeling and dealing in the House of Representatives that could certainly have a very detrimental effect on that new leadership image that the nation needs, not just the image, but the reality of leadership. We are all aware of that.",rep,1968,False
10572,2004-09-22-king-prussia-pennsylvania,"First of all, do you realize most small businesses pay tax at the individual income-tax level? Think about that: 90 percent of small businesses are organized as Sub-chapter S corporations or limited partnerships. Therefore, if you talk about raising the top two brackets of the individual income tax, you're talking about taxing them. That makes no sense. Seventy percent of new jobs in America are created by small businesses. And when my opponent says he's going to tax the rich by raising the top two brackets, it means he's going to tax about a million small businesses that are creating new jobs. It makes no sense to tax the job creators when this economy is beginning to recover.",rep,2004,False
21131,2000-08-17-national-convention-los,"Within the next few years, scientists will identify the genes that cause every type of cancer. We need a national commitment equal to the promise of this unequaled moment. So we will double the federal investment in medical research. We will find new medicines and new cures not just for cancer but for everything from diabetes to HIV/AIDS.",dem,2000,True
7109,1950,"1950 I want to see the day when every man and woman who wants to work will have a job. I want to see the day when heart disease, cancer, and strokes will be banished and everyone can live to the ripe, old age of 100--and we are going in that direction.",dem,1964,True
39646,2868,"We knew that economic freedom meant paying less of the American family's earnings to the government. And so, we cut personal income tax rates by 25 percent. And that was across the board. That wasn't any favor for some particular segment of our society. It was ""even-Steven"" all the way.",rep,1984,False
14284,2004-09-07-discussion-sedalia-missouri,"Mr. Lamb. Started it in 1976, so we're almost 28 years old. The President. This wasn't one of those deals that started in your garage, was it?",rep,2004,True
37091,2879,"2879 Well, we support the space shuttle, and we've committed America to meet a great, new challenge. And that is to build a permanently manned space station and to do it within a decade. What America needs is high tech, not high taxes.",rep,1984,True
42289,2857,"I'm proud to say that during those last four years, not one square inch of territory was lost to Communist aggression anyplace in the world. And the United States is more secure than we were four years ago. And yet my opponent sees a different world.",rep,1984,False
8259,2491,"I have outlined some of the things we've done, but let me quickly tick off some of the other things I think are accomplishments. Farm exports and farm income are at an all-time high. A major effort is already underway to cut red tape in the federal bureaucracy. We are working for peace and justice in the Middle East and throughout the world.",rep,1976,False
30996,1722,"This state nourished the great Republic.  Its leaders protected this country during our early years, and I do not believe the citizens of Virginia would choose in 1960 to place their confidence in a leader who is not wholly frank with them, who does not tell them the truth, the truth with the bark off. This state and country is going to have to do better.  That is the real issue of our times.  If you are satisfied, if you believe that everything that needs to be done is being done, in its proper measure, if you believe that our power and prestige is increasing around the world, if you are satisfied, if you are confident, Mr. Nixon is your candidate.  But if you share my view that the Republican party is not equipped by its very nature, by the interests it represents, to lead our country in a changing and vigorous time in the life of our country, in a world of change, in a world of revolution, in a world which sees new countries rising and old countries falling, which sees the Communists carrying on a steady offense against us--I believe that whether the struggle is in outer space or whether it is for the economic survival of this country, I believe the Democratic party, made up of men of commitment, made up of men who look to the future--I believe you should place your confidence with the Democratic party once again.  And I believe the presence on this platform of Governor Battle and Governor Almond, and distinguished members of Congress I believe that that indicates better than anything their good judgment that Virginia should go Democratic in 1960.",dem,1960,False
17614,2016-10-29-center-phoenix-arizona,We Will Make America Strong Again. We Will Make America Safe Again.,rep,2016,True
22603,2548,"I grew up on a Georgia farm, and I remember what TVA and the rural electrification program meant to people. I was thirteen years old when the lights came on in our house. If you're too young to remember, ask your parents about it. Ask them what Franklin D. Roosevelt and the Democratic party and the Tennessee Valley Authority did for this valley. There were a lot who opposed it. The Republicans opposed it. But the TVA and the REA didn't just create energy; it opened up new opportunities of all kinds; it allowed farms to prosper, businesses to prosper; it created jobs where there were no jobs; it gave us a better life.",dem,1980,False
8968,2004-09-03-west-allis-wisconsin,"That means we must have an energy policy in this country. I submitted a plan to the Congress 2 years ago that encouraged conservation, encouraged the development of renewable sources of energy, encouraged clean coal technology, encouraged using our resources at home more wisely. In order to keep jobs in America, we must become less dependent on foreign sources of energy.",rep,2004,False
29511,2389,"And the pardon of Richard Nixon is just one example of how there is a different standard of treating crime. If somebody steals a 30-cent loaf of bread and gets caught, he's going to prison. If somebody embezzles $50,000 from a bank, I guarantee you that they won't go to prison, unless it's extraordinary circumstances. That ought to be changed. And we have a responsibility, those of us who are influential, or successful in government, or Democrats, to be both competent and compassionate in dealing with other people.",dem,1976,False
38877,2539,"2539 But it is great to be in Akron, Canton, Massillon, and Alliance. What an area in the great state of Ohio.",rep,1976,True
5968,2012-09-21-las-vegas-nevada,"I don't want to have a government getting bigger and bigger, more intrusive, telling us what kind of health insurance we have to have. I don't want to have a government that becomes so large that it smothers the American dream. I don't want to have a government that takes from some and gives to others. What I want to do is restore the principles of freedom that made America's economy work in the first place.",rep,2012,False
15048,2004-10-27-remarks-vienna-ohio,"I want to remind the American people, if Senator Kerry had his way, we would still be taking our ""global test."" Audience members. Boo-o-o!",rep,2004,True
19246,3317,"Buddy, thank you very much. I've been looking at your prices and it's a short haul. You know, it's only about four minutes.",rep,1996,False
31165,3069,"And when it comes to renewing the American economy, my loyalty lies with small business. I've actually held a job in the private sector, something my opponent has not done. Half my life in the private sector and half in public life, and I started a small business, built it from the ground up, know what it is to go out and work with partners and employees, and I know what it's like to sweat out a tough deal, to shop for credit, to try your darnedest to meet the next payroll. And even, I've got ulcers to prove it. And I believe that meeting a payroll is a good qualification for president of the United States of America.",rep,1992,False
11324,2004-09-10-west-virginia-1,"Well, people did care. See, they cared because they had a vision of the future. And because they worked to help Japan become a democracy, today, Japan is an ally. Prime Minister Koizumi and I sit around the table talking about the peace. We're talking about using our influence to make the world a better place, not only for the people in our own country but for people around the world. We talk about peace in North Korea. We talk about peace in Iraq. We talk about feeding the hungry.",rep,2004,False
227,3211,"They talked a lot about welfare. Finally they passed a bill I could sign. But while they were talking, we were working on it. There are nearly two million fewer people on welfare today than there were when I was here four years ago--two million people moving into jobs, working, supporting their families.",dem,1996,False
19344,3303,"3303 Saddam's latest brutality against the Kurds further demonstrates that America's friends and allies in the region will never truly be safe as long as this bloody dictator remains in power, and as long as America fails to lead.",rep,1996,True
20119,3074,"Well, I believe that one statement sums up a lot of what is wrong in America today. You pick up the newspaper, and the stories roll on out at you. Like the story, true story, about a basketball referee who made a controversial call at the buzzer of a Purdue-Iowa basketball game. Purdue won, and an Iowa souvenir company was suddenly left with a lot of victory souvenirs that weren't in all that much demand. So what did the company do? They sued the referee. Sound crazy? Well, it took two years and a lot of money before the case was dismissed by the state supreme court.",rep,1992,False
716,2012-10-08-monument-keene-california,"That's the story of my ancestors; that's the story of your ancestors. It's the promise that has attracted generations of immigrants to our shores from every corner of the globe, sometimes at great risk, drawn by the idea that no matter who you are or what you look like or where you come from, this is the place where you can make it if you try. Today, we have more work to do to fulfill that promise. The recession we're fighting our way back from is still taking a toll, especially in Latino communities, which already faced higher unemployment and poverty rates. Even with the strides we've made, too many workers are still being denied basic rights and simple respect. But thanks to the strength and character of the American people, we are making progress. Our businesses are creating more jobs. More Americans are getting back to work.",dem,2012,True
14598,2004-10-09-remarks-chanhassen-minnesota,"This election will also determine how America responds to the continuing danger of terrorism. Since the terrible morning of September the 11th, 2001, we've fought the terrorists across the Earth, not for pride, not for power, but because the lives of our citizens are at stake. Our strategy is clear. We're defending the homeland. We're strengthening the intelligence services. We're transforming the All-Volunteer Army, which will stay an all-volunteer army. We will stay on the offensive. We will strike the terrorists abroad so we do not have to face them here at home. We will continue to work to spread liberty in the greater Middle East and around the world. And we'll prevail.",rep,2004,False
780,1016,"Our platform calls for fair, for equal treatment for the working man, for the businessman, for the farmer, for all of the people that compose our American society. For no group can ultimately prosper and find contentment, find security in our democracy unless all of us do. And, most of all, it calls for a steady resistance to our enemies abroad and for a patient and persistent effort to build a peaceful world. Now, if that was all you know about me and about our Democratic platform, I will have to admit that you wouldn't know very much; for, it is easy to get up here on the back platform like this of a campaign train and say some nice sounding words. But you have had a lot more than a few high sounding words and phrases in the record of twenty years of performance--of performance by the Democratic party in the interest of all the people.",dem,1952,False
31542,2175,"I rode a few years ago along a road in the Urals in Russia and I remember children throwing into the car flowers, and as they threw the flowers into the car, they shouted the word ""Friendship,"" and my interpreter said that friendship was the first word they learned of English. I was in Poland just a week later, and as I rode through the streets of Warsaw 250,000 Poles threw flowers into our car, and they cried, ""Niech zyje Amerika""--long live America. Why?",rep,1968,True
8899,2004-09-09-remarks-colmar-pennsylvania,"We want jobs here in the Philadelphia area. We want to make sure the manufacturing sector is robust. Congress needs to get an energy plan to my desk now. I submitted a plan 2 years ago. It's a plan that encourages conservation, expands renewables, uses clean coal technologies. Listen, we must become less dependent on foreign sources of energy if we want jobs to remain in America.",rep,2004,False
11733,3312,"And let me make it clear at the outset. This is a contest. They're our opponents. They're not our enemies. We have a vision and they have a vision. They have a vision that places government at the center of your lives. If you just send more money, of your money to Washington and give up more freedom, then the government will take care of us. Now, Jack Kemp and I have a different vision. We say the government's already taken too much of your money and too much of your authority and too much freedom from the American people. And it's time to give it back. That's our vision of America.",rep,1996,False
771,2008-10-31-moines-iowa-1,"The choice in this election isn't between tax cuts and no tax cuts. It's about whether you believe we should only reward wealth, or whether we should also reward the work and workers who create it. I will give a tax break to 95% of Americans who work every day and get taxes taken out of their paychecks every week. I'll eliminate income taxes for seniors making under $50,000 and give homeowners and working parents more of a break. And I'll help pay for this by asking the folks who are making more than $250,000 a year to go back to the tax rate they were paying in the 1990s. No matter what Senator McCain may claim, here are the facts - if you make under $250,000, you will not see your taxes increase by a single dime - not your income taxes, not your payroll taxes, not your capital gains taxes. Nothing. Because the last thing we should do in this economy is raise taxes on the middle-class.",dem,2008,False
35229,3192,"3192 Just since I have been here today in Wisconsin I had one person come up to me and say, I'm so glad that I live in a country where we're all helping each other to make the most of our lives. I had a terrible accident in my family; I have someone in my family with a disability now. I know that the only way we can maintain our lifestyle and our work is to have the kind of help that makes this the great country it is. And we're working hard to build strong families and to be productive.",dem,1996,True
14991,2004-09-14-greenwood-village-colorado,"I don't think you can pro-doctor, pro-patient, pro-hospital, and pro-trial-lawyer at the same time. See, I think you have to choose. My opponent made his choice. He put him on the ticket. I made my choice. I'm standing with the docs and patients. I am for medical liability reform—now.",rep,2004,False
1453,2913,Mainstream Americans should be able to send their kids to college without going broke.  That's why I want to open the door of college opportunity to every youngster in America who is qualified to go to college.  What does George Bush have to say to these young people and their families?  Not one word.,dem,1988,False
2786,2008-08-28-national-convention-denver,"I will cut taxes – cut taxes – for 95% of all working families. Because in an economy like this, the last thing we should do is raise taxes on the middle-class. And for the sake of our economy, our security, and the future of our planet, I will set a clear goal as President: in ten years, we will finally end our dependence on oil from the Middle East.",dem,2008,True
6226,2012-10-18-new-york-city,"We have very fundamental and sound principles that guide both the president and me. He and I of course feel the pressures and tensions of a close contest. It'd be easy to let a healthy competition give way to the personal and the petty. But fortunately, we don't carry the burden of disliking one another. Our president has had some very fine and gracious moments. Don't tell him when I said so but our 44th president has many gifts and a beautiful family that would make any man proud. You can oppose —.",rep,2012,False
15864,2008-10-06-albquerque-new-mexico,"Senator Obama and I both have differences with how President Bush has handled the economy. But he thinks taxes are too low, and I think spending is too high. The government's out of control spending has resulted in a weaker dollar, raising the cost of groceries and gasoline, and killing jobs.",rep,2008,False
39489,2115,"Now, what are the choices here?  What are the issues?  May I have your attention?",dem,1968,False
12266,2004-09-15-heritage-month-reception,"I also want to say something, as we gather, about Hurricane Ivan. I talked to the Governors of Mississippi and Alabama and Louisiana, tambien mi hermano, el Gobernador de Florida. I told him the people of this country—I told all four Governors the people of this country are praying for their safety. We pray that the storm passes as quickly as possible without any loss of life or loss of property, and that— I told them that the Government is ready to help.",rep,2004,False
15679,1488,"Our purpose is not to buy friends or hire allies. Our purpose is to defeat poverty. Our primary weapons must be long-term loans, technical assistance, and regional development plans, and our goal is to again influence history instead of merely observing it.",dem,1960,False
2359,2012-10-19-fairfax-virginia-0,"I want us to control more of our own energy, cut oil imports in half, create thousands of clean energy jobs. I want every child to have the same chance at a great education that Michelle and I received. I want to hire more teachers in math and science, train 2 million workers at community colleges, bring down the cost of college tuition.",dem,2012,True
8082,2004-10-26-richland-center-wisconsin,"Ready to go, Greeley? Jim Greeley. I'm ready for you, I think.",rep,2004,True
15779,3260,"3260 And let me say a special thanks to the Valley Forge High School Band for being here. I am not so old that I do not remember what it's like to play one of those instruments in the rain. It's not easy, and let's give them another hand. Come on.",dem,1996,True
6511,1549,"It was not until the crisis in the Congo that the U.S. government promised 300 scholarships to the Congo and yet there are less than fifteen people having college degrees among the natives of the Congo. How can they maintain a democratic society on that basis? We offered 300 scholarships, which is more than we have given Africa from the federal government in the United States for the last two years combined for all the countries of Africa. You cannot possibly move in an area overnight when the crisis comes. We have given in aid or at least have promised it, to Latin America, 500 millions of dollars passed by the last session of the Congress, not an appropriation but an authorization. And why did we do it? Because our relations with Castro became so sour they came to the breaking point, and because the OAS was going to meet and we wanted them to take a firm stand against the Communism in the Latin American hemisphere and the hemisphere of the whole western world, and because a Bogot Conference was being held which was going to discuss the economic future of Latin America. Therefore, after years had passed in which we were totally indifferent to the needs of Latin America we came forth with a program at the point of Mr. Castro's pistol.",dem,1960,False
7462,2004-10-24-alamogordo-new-mexico,"Audience members. Boo-o-o! The President. It's part of a pattern. All told, during his 20 years in the United States Senate, he's voted to increase taxes 98 times. That's five times for every year he's been in the Senate. I'd call that a predictable pattern.",rep,2004,True
15317,2008-10-24-denver-colorado-2,"We cannot spend the next four years as we have spent much of the last eight: hoping for our luck to change at home and abroad. We have to act. We need a new direction, and we have to fight for it.",rep,2008,False
18655,2016-08-05-green-bay-wisconsin,"Did you notice she gave a speech, she said, I will use it. She called it, I think, radical Islam. But she said, I will use it. I will. Just like the Trans-Pacific Partnership. She called it the gold standard. It is a horror show.",rep,2016,False
3893,2012-10-08-rally-san-francisco,The President. We have a different vision about how you create jobs and prosperity in America. We have to change our Tax Code so it stops rewarding companies that are shipping jobs overseas. I want to reward small businesses and manufacturers who are investing and taking root right here in the United States of America.,dem,2012,False
38626,3343,"And we get letters day after day after day saying, I would like to do something. I'd like to expand my business or whatever. But, we can't do it because of the capital gains rate. So, we're going to cut it in half. Cut it 50 percent from 28 percent to 14. That is a start. That would create lots of jobs in the private sector. A lot of activity in the private sector.",rep,1996,False
17569,2016-10-04-prescott-valley-arizona,"58% of African-American youth don't have jobs. More than 3,000 have been shot in Chicago since the beginning of the year. Homicides are up nearly 50% in Washington, D.C. and more than 60% in Baltimore.",rep,2016,True
34442,2846,"Average monthly mortgage payments more than doubled. Young people couldn't buy homes. Car loans were hard to get and expensive. The automobile and homebuilding industries were brought to their knees. It's little wonder that the American people yearned for leadership in 1980. And after all this economic punishment, our opponents blamed you, because you lived too well. And they told you you had to sacrifice more and that we were now in an age of limits.",rep,1984,False
38587,1540,"I think parties mean something. They tell something about the candidates and they tell something about what the candidates will do if they are elected to office. Mr. Nixon never would have been the unanimous choice of his party unless they felt they understood where he was going, what he believed, and that he believed what they believed, and I don't.",dem,1960,False
