,Predictions_prob_1,Predictions_prob_0,text,speech_par_id,uncertainty,already_annotated,already_sampled,drawn,label_bb,label_yl,agreement
8,0.036146355,0.963853645,"Here, you. You're going to have to come a little closer. Q.: Can you beat Mondale?",2808_6,0.92770729,FALSE,NA,uncertainty,neither,neither,1
9,0.839874762,0.160125238,"So when Donald Trump promises to rip that all away on Day One, when he promises to round up and deport all of the 16 million people living and working among us, including American citizen children who were born here to parents who are undocumented, these are the faces I see. I picture Astrid Silva – who I met in Las Vegas. Many of you know her story: She came to this country from Mexico at the age of four with nothing but a doll, a cross, and the dress she was wearing. Now she's in her 20s, advocating for the rights of everywhere.",2016-09-15-institute-washington-dc_18,0.679749523,FALSE,NA,uncertainty,neither,neither,1
10,0.016761939,0.983238061,"Yesterday four of these extraordinary Americans were killed in an attack on our diplomatic post in Benghazi. Among those killed was our Ambassador, Chris Stevens, as well as Foreign Service Officer Sean Smith. We are still notifying the families of the others who were killed. And today the American people stand united in holding the families of the four Americans in our thoughts and in our prayers.",2012-09-12-mission-benghazi-libya_1,0.966476123,FALSE,NA,uncertainty,neither,neither,1
11,5.42E-05,0.999945787,"And we can look, now, ahead into the future for another half a century, and as far as we can see Social Security is on a solid footing. But all through all of that discussion, I made it plain that I would never hold still for any change in Social Security that pulled the rug out from the people that were depending on it or from those who are looking forward in the next several years to going on Social Security.  So, I can make that pledge. And I've said repeatedly that the president should never say """"never,"""" but I will never hold still for, as I say, pulling the rug out from those people that are dependent on that program. ",2838_14,0.999891574,FALSE,FALSE,random,neither,neither,1
12,9.75E-05,0.999902498,All this year--all... Thank you. Okay. All right.,2829_19,0.999804996,FALSE,FALSE,random,neither,neither,1
13,0.070549449,0.929450551,"And we need an America like President Johnson, who has told this nation what it needed in terms of its children and its health, of its consumers, of its environment, of its cities, and of the world in which we live. I stand before this audience today proud to be a Democrat, but prouder to be an American. And I stand before this audience today asking you but one thing: If you want a united America, if you want a country that is one nation under God, indivisible, and with liberty and justice for all, if you want it, we can get it.",2044_33,0.858901101,FALSE,NA,uncertainty,neither,neither,1
14,0.962386432,0.037613568,"We are also going to end government corruption. Hillary Clinton is the most corrupt person ever to run for President. Newly-released FBI documents made public today reveal just how deep the corruption goes. The under-Secretary of State, Patrick Kennedy, pressured the FBI to un-classify emails from Hillary's illegal server. In other words, the State Department was trying to cover-up Hillary's crime of sending classified information on a server our enemies could easily access by trying to reverse the classification.",2016-10-17-bay-wisconsin-0_2,0.924772865,FALSE,NA,uncertainty,neither,neither,1
15,6.27E-05,0.999937282,"You know, we have a difference of opinion on Social Security. My opponent said he's going to protect Social Security, but what he forgot to tell you is he's voted eight times for higher taxes on Social Security benefits. That's part of that record. See, that's just—see, he doesn't want you to know the record. He can run, but he cannot hide. That's what I say. He can run from it, but he can't hide from it.",2004-10-26-cuba-city-wisconsin_37,0.999874563,FALSE,FALSE,random,neither,neither,1
16,6.19E-05,0.999938112,"Truly, the lesson for our times is that deployments work better than freezes if you want to get the Soviet Union to the table, if you want to get equitable arms reduction. That strength works better than weakness if you want to get both peace and security. The members of B'nai B'rith know this lesson, too. Not so long ago, the Jewish people paid a horrible price for the weakness of the Western democracies. I say, never again. Never again.",2953_4,0.999876224,FALSE,FALSE,random,neither,neither,1
17,5.56E-05,0.999944355,"Now, you decide between now and November 4 what you want to do, what you think about these things.  But above all, you remember this:  You try to get the best government that you, the one you will most highly respect, because that will be for the good of America, which means for your good.  And now, again my thanks for coming out.  You have been very fine and for the warmth of your welcome, I am deeply grateful.  Good night.",1252_12,0.99988871,FALSE,FALSE,random,neither,neither,1
18,0.02085305,0.97914695,"Right now, 750,000 undocumented young people in America are going to school, working, and planning for their future. They're DREAMers in much more than name. I've met so many. I've listened to their stories. They've done everything we've asked of them and made our country stronger in return.",2016-09-15-institute-washington-dc_17,0.958293901,FALSE,NA,uncertainty,neither,neither,1
19,0.705253104,0.294746896,"The problems they create as well as the sudden influx of 100,000 immigrants are more than just a Miami problem, more than just a Dade County problem, more than just a Florida problem. They are a national problem. The President of the United States is ducking this issue and is to a large extent trying to shift the burden on to the backs of Florida residents.",2651_13,0.410506208,FALSE,NA,uncertainty,exclusionary,exclusionary,1
20,0.024410914,0.975589086,"We, as Americans, have fought harder, we've paid a higher price, done more to advance the freedom and dignity of man than any other people who ever lived on this earth. Ours is the land of the free because it is the home of the brave. And America's future will always be great because our nation will be strong. And our people will be free because we will be united--one people, under God, with liberty and justice for all.",2863_36,0.951178173,FALSE,NA,uncertainty,neither,neither,1
21,0.011713027,0.988286973,"Brian Sandoval, donde esta? Anyway, he's here somewhere. He got a lousy seat—",2004-09-15-heritage-month-reception_10,0.976573947,FALSE,NA,uncertainty,neither,neither,1
22,0.103261341,0.896738659,"The old Mondale called the space shuttle a horrible waste, a space extravaganza, and he personally led the fight in the United States Senate to kill the shuttle program. The new Mondale praises American technological achievement. I had the privilege just a little while ago from the train of calling those people that are up there going around the Earth right now while I'm riding on the train, those wonderful heroes of ours.",2829_29,0.793477319,FALSE,NA,uncertainty,neither,neither,1
23,0.946903611,0.053096389,My opponent supports giving tax breaks to companies that ship jobs overseas. But what will work is giving those tax breaks to companies that create jobs here at home. My opponent supports tax havens that let companies avoid paying taxes here in America - tax havens that cost $100 billion every year. But what will work is shutting those tax havens and closing corporate loopholes.,2008-10-03-remarks-abington-pennsylvania_6,0.893807221,FALSE,NA,uncertainty,neither,neither,1
24,0.745682317,0.254317683,"The mandate of this election is going to be a mandate to unite this nation. It is going to be a mandate to bind up our wounds and to heal our history, and to make this nation whole as one nation, as one people, indivisible, under God. Let me remind you that you are the mightiest, most advanced nation in the world. Here in Tennessee, you developed the awesome and mighty power that makes us the undisputed strongest nation in all the world.",1958_18,0.491364633,FALSE,NA,uncertainty,neither,neither,1
25,5.57E-05,0.99994435,"Cedar Rapids itself became a dynamic city, making breakthroughs in agricultural marketing and management, and helping develop the radio and electronics industries, and establishing fine high schools like Washington, Jefferson, and Kennedy, and Prairie, and great colleges like Coe, Mount Mercy, Kirkwood Community College. And you've shown the world that with opportunity there's no limit to what Americans can accomplish. Yet in recent years, we must remember, the light of opportunity in our country almost went out. In just five years, taxes nearly doubled; average monthly mortgage payments more than doubled; and the real, after-tax income of the average American began to decline. In foreign policy we saw strength replaced with weakness, and America lost the respect of friend and foe alike. They imposed a grain embargo that made you farmers pay for their mistakes. How do you show that you're strong by punching yourself in the breadbasket? You'll forgive me for this one, but their foreign policy went against the grain. ",2793_7,0.999888699,FALSE,FALSE,random,neither,neither,1
26,0.016781168,0.983218832,"As a people, we have fought harder, paid a higher price, done more to advance the freedom and dignity of man than any other people on Earth. Ours is the land of the free because it's the home of the brave. And our future will always be great because our nation will be strong. And our nation will be strong because our people are free. And our people will be free because we're united--one people, under God, with liberty and justice for all.",2879_42,0.966437664,FALSE,NA,uncertainty,neither,neither,1
27,0.044285359,0.955714641,"But she didn't do it. The ICE officers, who endorsed me – their first endorsement of a candidate ever – issued a lengthy statement on Hillary Clinton's immigration plans. Let me read from it.",2016-10-05-center-reno-nevada_19,0.911429281,FALSE,NA,uncertainty,neither,neither,1
28,0.07961515,0.92038485,"But as a people, we Americans have fought harder, paid a higher price, done more to advance the freedom and dignity of man than any other people who ever lived on this Earth. Ours is the land of the free because it is the home of the brave. America's future will always be great because our nation will be strong. Our nation will be strong because our people will be free. And our people will be free because we will be united, one people under God, with liberty and justice for all.",2864_30,0.840769699,FALSE,NA,uncertainty,neither,neither,1
29,0.014198828,0.985801172,"We're also going to declare a war on drugs. I tell all the young people in this audience, and their parents and their grandparents--we're going to cut down drug use. Now keep one thing in mind. From ages twelve to seventeen in the Clinton administration, since it started, drug use has doubled. Drug use has doubled--marijuana up 141 percent--He had a surgeon general who said maybe we ought to legalize marijuana. Cocaine use is up 160 percent, a lot of it coming from Mexico, a lot of it coming across the border. In my administration we'll use the National Guard if necessary to stop it at the border, stop it from coming into America in the first place.",3345_22,0.971602345,FALSE,NA,uncertainty,neither,neither,1
30,0.518377434,0.481622566,"In 2014, ISIS was operating in seven nations. They were in seven nations. Terrible, but that's what it was.",2016-08-15-university-youngstown-ohio_15,0.036754867,FALSE,NA,uncertainty,neither,neither,1
31,0.483567734,0.516432266,"But to be a rich country, we must also be a safe country. Hillary Clinton unleashed ISIS onto the world, you know that story. And spreading violently, it's spreading now into the United States. There are now 1,000 open ISIS investigations in the United States. ISIS is on a campaign of genocide against Christians in the Middle East, or what they call the Nation of the Cross. OK. The Nation of the Cross.",2016-10-27-expo-springfield-ohio_26,0.032864533,FALSE,NA,uncertainty,neither,neither,1
32,0.977413881,0.022586119,"And I'm going to fight for the inner cities, and for the African- American community, and the way they're forced to live in the inner cities with no jobs, no education, and no safety. I'm going to fight for every person in this country who believes government should serve the people, not the donors, and not the special I'm going to fight to bring us all together as Americans. Just imagine what our country could accomplish if we started working together again as one people under one God, saluting one American flag.",2016-10-27-expo-springfield-ohio_55,0.954827762,FALSE,NA,uncertainty,exclusionary,exclusionary,1
33,0.975024108,0.024975892,"But now, with all that talk about his in-and-out, old-and-new style, there--and just when you could begin losing faith, still you find there is some constancy. The old Mondale increased your taxes. And you can count on him--the new Mondale will, too.",2832_23,0.950048215,FALSE,NA,uncertainty,neither,neither,1
34,0.096088464,0.903911536,"But just when you're beginning to lose faith, you find there is some constancy. The old Mondale increased your taxes, and the new Mondale will increase them again. You know, in our debate I got a little angry all those times he distorted my record. And on one occasion I was about to say to him very sternly, """"Mr. Mondale, you are taxing my patience."""" And then I caught myself. Why should I give him another idea? That's the only tax he hasn't thought about. ",2828_24,0.807823072,FALSE,NA,uncertainty,neither,neither,1
35,0.019099446,0.980900554,"But here's what I want to say. If anything else in our country were killing as many people, people of good faith, people who believe, like we do, in the Second Amendment, people who own guns, people who go hunting, people who are collectors, we would say, hey, wait a minute. This can't go on. We need comprehensive background checks to close the gun show loophole, close the online loophole. And we know here in Ohio a majority of gun owners support these common-sense steps to prevent gun violence because they know we can respect the Second Amendment and keep our kids and communities safe at the same time. And we need to keep guns out of the hands suspected terrorists. If you are too dangerous to fly, you are too dangerous to buy a gun, period.",2016-10-31-park-cincinnati-ohio_12,0.961801109,FALSE,NA,uncertainty,neither,neither,1
37,0.929965761,0.070034239,"With that being said, the rest of my speech is going to be so boring. Should I even make the speech? We will talk about borders, right? We will talk about trade. We'll bring back our jobs, we'll strengthen our military and let's get going, OK?",2016-10-28-manchester-new-hampshire_4,0.859931522,FALSE,NA,uncertainty,neither,neither,1
38,0.424807903,0.575192097,"How is Barack going to get past the Muslim ban? Now, Republicans in particular seem frustrated with their nominee. Paul Ryan told the Republican members of the House, you — you don't have to support the top of the ticket. Don't worry about anyone besides yourself. Just do what's in your own best interests. So I guess Donald really has unified his party around his core philosophy.",2016-10-20-the-waldorf-astoria_22,0.150384193,FALSE,NA,uncertainty,neither,neither,1
39,0.039339949,0.960660051,"We Americans, as a people, have fought harder, paid a higher price, done more to advance freedom and the dignity of man, than any people who ever lived on this Earth. Ours is the land of the free because it is the home of the brave. And America's future will always be great because our nation will be strong. And our nation will be strong because our people will be free. And because we--we're free because we're united--one people, under God, with liberty and justice for all.",2873_38,0.921320103,FALSE,NA,uncertainty,neither,neither,1
40,0.055742734,0.944257266,"I'm inspired by Astrid. I met her in Las Vegas last summer. She was brought to this country from Mexico at the age of four with nothing but a doll, a cross, and the dress she was wearing. Now she's in her twenties and advocating for the rights of undocumented Americans and comprehensive immigration reform. We should all join her in this.",2016-09-19-university-philadelphia-pennsylvania_15,0.888514533,FALSE,NA,uncertainty,neither,neither,1
41,0.98056648,0.01943352,"Hillary has nobody but herself to blame for her mounting legal troubles. Her criminal action was willful, deliberate, intentional and purposeful. Hillary set-up an illegal server for the obvious purpose of shielding her criminal conduct from public disclosure.",2016-10-29-center-golden-colorado_1,0.961132959,FALSE,NA,uncertainty,neither,neither,1
42,0.011951516,0.988048484,"I told you what I'd believed all my life: The greatness of America doesn't begin in Washington; it begins with each of you--in the mighty spirit of free people under God, in the bedrock values you live by each day in your families, neighborhoods, and workplaces. Each of you is an individual worthy of respect, unique and important to the success of America. And only by trusting you, giving you opportunities to climb high and reach for the stars, can we preserve the golden dream of America as the champion of peace and freedom among the nations of the world.",2880_2,0.976096967,FALSE,NA,uncertainty,neither,neither,1
43,0.466991943,0.533008057,Clinton said her lawyers reviewed all of her emails before destroying them. One more Hillary Clinton lie. Lie after lie after lie.,2016-08-23-arena-austin-texas_31,0.066016115,FALSE,NA,uncertainty,neither,neither,1
44,0.014096916,0.985903084,"I say to this audience: we have invested billions to explore outer space where man may live tomorrow.  We must also be willing to invest to develop inner space right here on earth where man may live today. And now the third reality, essential if the other two are to be achieved, is the necessity, my fellow Americans, for unity in our country, for tolerance and forbearance for holding together as a family: and we must make a great decision.  Are we to be one nation, or are we to be a nation divided, divided between black and white, between rich and poor, between North and South, between young and old?  I take my stand--we are and we must be one nation, united by liberty and justice for all, one nation under God, indivisible with liberty and justice for all.  This is our America.  ",1995_36,0.971806167,FALSE,NA,uncertainty,neither,neither,1
45,0.986101732,0.013898268,"Hillary Clinton is a criminal who destroyed 33,000 emails after a Congressional Subpoena. She ignored hundreds of requests for security in Benghazi, causing the deaths of four brave Americans – and then she lied to the faces of the grieving parents about the reason for the attack. She defended a man who violently and viciously raped a 12 year-old girl by horribly smearing and blaming the victim – and the she laughed about getting the rapist off the hook.",2016-10-13-hotel-columbus-ohio_8,0.972203464,FALSE,NA,uncertainty,neither,neither,1
46,0.326348663,0.673651337,"Hillary Clinton would rather provide a job to a refugee from overseas that to give that job to unemployed African American youth in cities like Detroit, who have become refugees in their own country. It's time to get our country back to work and that includes an all out effort. To help young African Americans get the good paying jobs that they deserve.",2016-08-19-complex-dimondale-michigan_25,0.347302675,FALSE,NA,uncertainty,exclusionary,exclusionary,1
47,0.98165302,0.01834698,"To make life safe in America, we must also address the growing threats we face from outside the country: We are going to defeat the barbarians of ISIS, and we are going to defeat them fast. Once again, France is the victim of brutal Islamic terrorism. Men, women and children viciously mowed down. Lives ruined. Families ripped apart. A nation in mourning.",2016-07-21-national-convention-cleveland_37,0.96330604,FALSE,NA,uncertainty,neither,neither,1
48,0.012459254,0.987540746,"Let me say this, and I don't want you ever to forget it: Fritz Mondale is the best vice president any president has ever had. We faced a lot of problems together. We've worked together. We've prayed together pretty often, and tomorrow with your help we're going to win together.",2630_1,0.975081491,FALSE,NA,uncertainty,neither,neither,1
49,5.99E-05,0.999940099,"Let's take this country back economically. Let's use the defense build-down to build up for people that won the Cold War, not to throw them out of work. It means that we're going to become the last, but I hope still the best country, to finally have a nation that controls health care costs and provides basic health care to all our people. Not with some big government bureaucracy but with grassroots teamwork among the American people to provide basic health care to all.",3035_11,0.999880198,FALSE,FALSE,random,neither,neither,1
50,0.853297225,0.146702775,"An Iraqi immigrant who later applied for and received U.S. citizenship was arrested for lying to federal agents about pledging allegiance to ISIS, his travels to Syria, and how many Americans he wanted to kill. Two immigrants from Pakistan who later applied for and received U.S. citizenship were sentenced to decades long prison sentences for plotting to detonate a bomb -- and a very big bomb, in the middle of New York City. An immigrant from Yemen who later applied for and received U.S. citizenship was arrested for trying to join ISIS. He was also charged with attempting to illegally buy firearms to try to shoot as many American military personnel as possible.",2016-08-05-green-bay-wisconsin_97,0.70659445,FALSE,NA,uncertainty,exclusionary,exclusionary,1
52,0.018468159,0.981531841,"And I want to say to you today that I only hope I can be worthy of that. I hope I can be worthy of that kind of trust; but, above everything else, may I ask you: strengthen the faith of America. See that our young people grow up with faith in God, recognizing that this is a great country, recognizing that the ideals that we have belong not just to us, but to the whole world, recognizing that America has a mission, and that mission is to keep the peace. That mission is to stand for freedom for ourselves and for others as well. That mission is to lead the world to a world in which all men can live together in friendship, in which all men can have the right to worship God, in which all men can have freedom.",1851_21,0.963063682,FALSE,NA,uncertainty,neither,neither,1
53,0.160206938,0.839793062,"Thank you. Thank you. Those who have left to seek entry under this new system -- and it will be an efficient system -- will not be awarded surplus visas, but will have to apply for entry under the immigration caps or limits that will be established in the future.",2016-08-31-center-phoenix-arizona_109,0.679586125,FALSE,NA,uncertainty,exclusionary,exclusionary,1
54,0.710163075,0.289836925,"And my view is, the federal government cannot close the border. We shouldn't punish the taxpayers in California. The federal government ought to pick up the tab.",3359_38,0.42032615,FALSE,NA,uncertainty,neither,neither,1
55,6.29E-05,0.999937062,"I believe in the transformational power of liberty. The wisest use of American strength is to advance freedom. I believe that America is called to lead the cause of freedom. You know, I spend time with Prime Minister Koizumi of Japan. He's a friend. Not all that long ago, though, his country was at war with us. Matter of fact, my dad, I'm sure your dad or granddad fought a bloody war against the Japanese. But because my predecessor Harry Truman and others believed in the power of liberty to transform lives and nations, after World War II, we worked with Japan to develop a democracy, and today I sit down at the same table with Prime Minister Koizumi to discuss the peace.",2004-09-03-remarks-moosic-pennsylvania_56,0.999874123,FALSE,FALSE,random,neither,neither,1
56,0.2521541,0.7478459,"All this year Mr. Mondale has lavished his campaign with promises that staggered even his Democratic opponents. Senator John Glenn was heard to say in frustration that Mr. Mondale, and I quote, """"has just promised everything to everybody, with no thought of how it's going to be paid for."""" And Gary Hart said, """"Fritz, you cannot lead this country if you've promised everybody everything.""""",2846_19,0.495691801,FALSE,NA,uncertainty,neither,neither,1
57,0.965617263,0.034382737,"We will be one people, under one God, saluting one American flag. America will be a prosperous, generous and inclusive society. We will discard the failed policies and division of the past, and embrace true American change to rebuild our economy, rebuild our inner cities, and rebuild our country.",2016-09-07-philadelphia-philadelphia-pennsylvania_38,0.931234526,FALSE,NA,uncertainty,exclusionary,exclusionary,1
58,0.035695112,0.964304888,"Well, I found out that it's not so much that Mr. Mondale has a poor memory of his ruinous past; he's just got a darn good """"forgetory."""" And now he says, """"I'm ready to be president."""" Well, forgive me, but.... ",2846_13,0.928609776,FALSE,NA,uncertainty,neither,neither,1
59,0.985890447,0.014109553,"It's like Sergeant Bergdahl, right? So, we trade a dirty, rotten traitor where five or maybe even six people were killed when he deserted, and we knew that they were killed and we knew that he was a traitor. We trade for five of the greatest killers, the greatest killers in the Middle East, the five people that they wanted the most. That is our deal.",2016-08-05-green-bay-wisconsin_141,0.971780893,FALSE,NA,uncertainty,neither,neither,1
60,0.785497527,0.214502473,"Now, in all fairness, we want to help people. Can't take a chance. San Bernardino, they walk in. They start shooting. Paris, the best, the toughest gun laws in the world, Paris, France. They walk in. They kill 130 people. They wound so gravely hundreds of people.",2016-08-12-arena-erie-pennsylvania_87,0.570995055,FALSE,NA,uncertainty,neither,neither,1
61,0.023542567,0.976457433,"The great strength of our cause reflects our devotion to values that are so dear to the American people: respect for work; love of family, neighborhood, and country; and faith in God. And if all of us remain true to these values, nothing can hold America back. Between now and November 6th, don't let up. I know that I can count on all of you.",2812_21,0.952914866,FALSE,NA,uncertainty,neither,neither,1
62,0.046824927,0.953175073,"Yes. The old Mondale called the space shuttle a horrible waste, a space extravaganza, and he personally led the campaign in the Senate to kill it. Now the new Mondale praises American technological achievement. And while you and I are standing here, and I'm riding across your state in this train, we know that several young men and women of ours are riding several times around this Earth in the Challenger. And God bless those young heroes for what they're doing.",2831_23,0.906350147,FALSE,NA,uncertainty,neither,neither,1
63,0.015732779,0.984267221,"Let me close with a little story about the new pride in America. It's about a little company in New Jersey--they make American flags. Back under Jimmy Carter and Walter Mondale, times were tough. Flags weren't selling that well.",2958_22,0.968534443,FALSE,NA,uncertainty,neither,neither,1
64,0.92110496,0.07889504,"It is a very serious social problem which I think tells us a great deal about our schools, our family life, our community life, and whatever we do in this country, I think needs to be resolved around how does it strengthen the family institution and what does it do to give a better sense of responsibility to our young. Now, the drug traffic is a cruel and criminal business and what can we do about it?  Well, first of all, we ought to be negotiating much--very, very severe ad tight compacts and agreements with neighboring countries and other countries with strict enforcement, with large numbers of enforcement officers on all sides of borders, to prevent the flow of drugs, harmful drugs and drugs of addiction.",2006_44,0.842209921,FALSE,NA,uncertainty,neither,neither,1
65,0.513852124,0.486147876,"We've admitted 59 million immigrants to the United States between 1965 and 2015. Many of these arrivals have greatly enriched our country. So true. But we now have an obligation to them and to their children to control future immigration as we are following, if you think, previous immigration waves.",2016-08-31-center-phoenix-arizona_95,0.027704248,FALSE,NA,uncertainty,exclusionary,exclusionary,1
66,0.531014345,0.468985655,"And look. There is a very clear difference. Donald Trump won't stand up to the gun lobby. He's sold out to them. In fact, the gun lobby is spending more on ads to get Donald Trump elected than any other group, more than $7 million in Ohio alone. And in return, Donald Trump has promised to repeat President Obama's actions to strengthen criminal background checks. Donald says guns should be allowed in nightclubs that serve alcohol. He's even said, on his very first day in office, he would require every school in America to let people carry guns into our classrooms. How can anyone think our schools would be safer with more guns?",2016-10-31-park-cincinnati-ohio_13,0.06202869,FALSE,NA,uncertainty,neither,neither,1
